Model,Date,Basin_Subb,Basin_Numb,Basin_Name,Basin_Su_1,ET,Pixel_Count
PTJPL,2009-05-01,4-005,4-005,ACTON VALLEY,ACTON VALLEY,64.42515,668
PTJPL,2009-05-01,6-010,6-010,ADOBE LAKE VALLEY,ADOBE LAKE VALLEY,,0
PTJPL,2009-05-01,1-054.01,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - ALEXANDER AREA,109.394787,39743
PTJPL,2009-05-01,1-054.02,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - CLOVERDALE AREA,113.096401,9502
PTJPL,2009-05-01,5-002.01,5-002,ALTURAS AREA,ALTURAS AREA - SOUTH FORK PITT RIVER,129.52696,159794
PTJPL,2009-05-01,5-002.02,5-002,ALTURAS AREA,ALTURAS AREA - WARM SPRINGS VALLEY,127.702277,74425
PTJPL,2009-05-01,5-010,5-010,AMERICAN VALLEY,AMERICAN VALLEY,146.195773,9746
PTJPL,2009-05-01,7-016,7-016,AMES VALLEY,AMES VALLEY,,0
PTJPL,2009-05-01,7-034,7-034,AMOS VALLEY,AMOS VALLEY,,0
PTJPL,2009-05-01,1-019,1-019,ANDERSON VALLEY,ANDERSON VALLEY,128.514042,5982
PTJPL,2009-05-01,1-049,1-049,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,118.138972,2353
PTJPL,2009-05-01,5-091,5-091,ANTELOPE CREEK,ANTELOPE CREEK,75.890966,1605
PTJPL,2009-05-01,6-044,6-044,ANTELOPE VALLEY,ANTELOPE VALLEY,80.043334,137884
PTJPL,2009-05-01,6-007,6-007,ANTELOPE VALLEY,ANTELOPE VALLEY,115.52647,48489
PTJPL,2009-05-01,3-034,3-034,ARROYO DE LA CRUZ VALLEY,ARROYO DE LA CRUZ VALLEY,90.392193,538
PTJPL,2009-05-01,2-031,2-031,ARROYO DEL HAMBRE VALLEY,ARROYO DEL HAMBRE VALLEY,,0
PTJPL,2009-05-01,4-007,4-007,ARROYO SANTA ROSA VALLEY,ARROYO SANTA ROSA VALLEY,90.275858,7870
PTJPL,2009-05-01,7-037,7-037,ARROYO SECO VALLEY,ARROYO SECO VALLEY,,0
PTJPL,2009-05-01,5-054,5-054,ASH VALLEY,ASH VALLEY,134.64563,12106
PTJPL,2009-05-01,6-026,6-026,AVAWATZ VALLEY,AVAWATZ VALLEY,,0
PTJPL,2009-05-01,3-020,3-020,A�O NUEVO AREA,A�O NUEVO AREA,90.72456,1877
PTJPL,2009-05-01,9-022,9-022,BATIQUITOS LAGOON VALLEY,BATIQUITOS LAGOON VALLEY,123.218801,617
PTJPL,2009-05-01,8-009,8-009,BEAR VALLEY,BEAR VALLEY,98.182648,219
PTJPL,2009-05-01,5-064,5-064,BEAR VALLEY,BEAR VALLEY,117.703922,510
PTJPL,2009-05-01,5-020,5-020,BERRYESSA VALLEY,BERRYESSA VALLEY,,0
PTJPL,2009-05-01,7-015,7-015,BESSEMER VALLEY,BESSEMER VALLEY,,0
PTJPL,2009-05-01,6-025,6-025,BICYCLE VALLEY,BICYCLE VALLEY,,0
