Model,Date,Basin_Subb,Basin_Numb,Basin_Name,Basin_Su_1,ET,Pixel_Count
DISALEXI,2023-01-01,4-005,4-005,ACTON VALLEY,ACTON VALLEY,12.901198,668
DISALEXI,2023-01-01,6-010,6-010,ADOBE LAKE VALLEY,ADOBE LAKE VALLEY,,0
DISALEXI,2023-01-01,1-054.01,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - ALEXANDER AREA,22.709156,39743
DISALEXI,2023-01-01,1-054.02,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - CLOVERDALE AREA,21.634498,9502
DISALEXI,2023-01-01,5-002.01,5-002,ALTURAS AREA,ALTURAS AREA - SOUTH FORK PITT RIVER,,0
DISALEXI,2023-01-01,5-002.02,5-002,ALTURAS AREA,ALTURAS AREA - WARM SPRINGS VALLEY,,0
DISALEXI,2023-01-01,5-010,5-010,AMERICAN VALLEY,AMERICAN VALLEY,14.727031,7510
DISALEXI,2023-01-01,7-016,7-016,AMES VALLEY,AMES VALLEY,,0
DISALEXI,2023-01-01,7-034,7-034,AMOS VALLEY,AMOS VALLEY,,0
DISALEXI,2023-01-01,1-019,1-019,ANDERSON VALLEY,ANDERSON VALLEY,26.18308,5981
DISALEXI,2023-01-01,1-049,1-049,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,13.715257,2353
DISALEXI,2023-01-01,5-091,5-091,ANTELOPE CREEK,ANTELOPE CREEK,13.682243,1605
DISALEXI,2023-01-01,6-044,6-044,ANTELOPE VALLEY,ANTELOPE VALLEY,15.10916,137880
DISALEXI,2023-01-01,6-007,6-007,ANTELOPE VALLEY,ANTELOPE VALLEY,,0
DISALEXI,2023-01-01,3-034,3-034,ARROYO DE LA CRUZ VALLEY,ARROYO DE LA CRUZ VALLEY,10.831551,374
DISALEXI,2023-01-01,2-031,2-031,ARROYO DEL HAMBRE VALLEY,ARROYO DEL HAMBRE VALLEY,,0
DISALEXI,2023-01-01,4-007,4-007,ARROYO SANTA ROSA VALLEY,ARROYO SANTA ROSA VALLEY,17.589072,7870
DISALEXI,2023-01-01,7-037,7-037,ARROYO SECO VALLEY,ARROYO SECO VALLEY,,0
DISALEXI,2023-01-01,5-054,5-054,ASH VALLEY,ASH VALLEY,17.890451,3770
DISALEXI,2023-01-01,6-026,6-026,AVAWATZ VALLEY,AVAWATZ VALLEY,,0
DISALEXI,2023-01-01,3-020,3-020,A�O NUEVO AREA,A�O NUEVO AREA,13.965753,146
DISALEXI,2023-01-01,9-022,9-022,BATIQUITOS LAGOON VALLEY,BATIQUITOS LAGOON VALLEY,10.479032,620
DISALEXI,2023-01-01,8-009,8-009,BEAR VALLEY,BEAR VALLEY,,0
DISALEXI,2023-01-01,5-064,5-064,BEAR VALLEY,BEAR VALLEY,15.198039,510
DISALEXI,2023-01-01,5-020,5-020,BERRYESSA VALLEY,BERRYESSA VALLEY,,0
DISALEXI,2023-01-01,7-015,7-015,BESSEMER VALLEY,BESSEMER VALLEY,,0
DISALEXI,2023-01-01,6-025,6-025,BICYCLE VALLEY,BICYCLE VALLEY,,0
DISALEXI,2023-01-01,1-027,1-027,BIG LAGOON AREA,BIG LAGOON AREA,,0
DISALEXI,2023-01-01,8-007,8-007,BIG MEADOWS VALLEY,BIG MEADOWS VALLEY,,0
DISALEXI,2023-01-01,1-045,1-045,BIG RIVER VALLEY,BIG RIVER VALLEY,,0
DISALEXI,2023-01-01,3-047,3-047,BIG SPRING AREA,BIG SPRING AREA,16.578431,918
DISALEXI,2023-01-01,5-015,5-015,BIG VALLEY,BIG VALLEY,15.425491,12938
DISALEXI,2023-01-01,5-004,5-004,BIG VALLEY,BIG VALLEY,18.383893,131331
DISALEXI,2023-01-01,3-030,3-030,BITTER WATER VALLEY,BITTER WATER VALLEY,16.864818,7575
DISALEXI,2023-01-01,6-013,6-013,BLACK SPRINGS VALLEY,BLACK SPRINGS VALLEY,,0
DISALEXI,2023-01-01,5-092,5-092,BLANCHARD VALLEY,BLANCHARD VALLEY,13.713274,1130
DISALEXI,2023-01-01,1-057,1-057,BODEGA BAY AREA,BODEGA BAY AREA,8.386364,88
DISALEXI,2023-01-01,7-024.01,7-024,BORREGO VALLEY,BORREGO VALLEY - BORREGO SPRINGS,11.567224,17397
DISALEXI,2023-01-01,7-024.02,7-024,BORREGO VALLEY,BORREGO VALLEY - OCOTILLO WELLS,13.083333,12
DISALEXI,2023-01-01,1-039,1-039,BRANSCOMB TOWN AREA,BRANSCOMB TOWN AREA,,0
