Model,Date,Basin_Subb,Basin_Numb,Basin_Name,Basin_Su_1,ET,Pixel_Count
DISALEXI,2013-01-01,4-005,4-005,ACTON VALLEY,ACTON VALLEY,4.098802,668
DISALEXI,2013-01-01,6-010,6-010,ADOBE LAKE VALLEY,ADOBE LAKE VALLEY,,0
DISALEXI,2013-01-01,1-054.01,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - ALEXANDER AREA,26.510387,29989
DISALEXI,2013-01-01,1-054.02,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - CLOVERDALE AREA,27.868075,7292
DISALEXI,2013-01-01,5-002.01,5-002,ALTURAS AREA,ALTURAS AREA - SOUTH FORK PITT RIVER,,0
DISALEXI,2013-01-01,5-002.02,5-002,ALTURAS AREA,ALTURAS AREA - WARM SPRINGS VALLEY,,0
DISALEXI,2013-01-01,5-010,5-010,AMERICAN VALLEY,AMERICAN VALLEY,28.114407,1180
DISALEXI,2013-01-01,7-016,7-016,AMES VALLEY,AMES VALLEY,,0
DISALEXI,2013-01-01,7-034,7-034,AMOS VALLEY,AMOS VALLEY,,0
DISALEXI,2013-01-01,1-019,1-019,ANDERSON VALLEY,ANDERSON VALLEY,28.922171,2377
DISALEXI,2013-01-01,1-049,1-049,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,16.086735,2352
DISALEXI,2013-01-01,5-091,5-091,ANTELOPE CREEK,ANTELOPE CREEK,18.904956,1473
DISALEXI,2013-01-01,6-044,6-044,ANTELOPE VALLEY,ANTELOPE VALLEY,15.285107,136910
DISALEXI,2013-01-01,6-007,6-007,ANTELOPE VALLEY,ANTELOPE VALLEY,25.848663,24680
DISALEXI,2013-01-01,3-034,3-034,ARROYO DE LA CRUZ VALLEY,ARROYO DE LA CRUZ VALLEY,20.512064,373
DISALEXI,2013-01-01,2-031,2-031,ARROYO DEL HAMBRE VALLEY,ARROYO DEL HAMBRE VALLEY,,0
DISALEXI,2013-01-01,4-007,4-007,ARROYO SANTA ROSA VALLEY,ARROYO SANTA ROSA VALLEY,16.202884,7004
DISALEXI,2013-01-01,7-037,7-037,ARROYO SECO VALLEY,ARROYO SECO VALLEY,,0
DISALEXI,2013-01-01,5-054,5-054,ASH VALLEY,ASH VALLEY,,0
DISALEXI,2013-01-01,6-026,6-026,AVAWATZ VALLEY,AVAWATZ VALLEY,,0
DISALEXI,2013-01-01,3-020,3-020,A�O NUEVO AREA,A�O NUEVO AREA,38.937666,1877
DISALEXI,2013-01-01,9-022,9-022,BATIQUITOS LAGOON VALLEY,BATIQUITOS LAGOON VALLEY,14.879032,620
DISALEXI,2013-01-01,8-009,8-009,BEAR VALLEY,BEAR VALLEY,44.142857,7
DISALEXI,2013-01-01,5-064,5-064,BEAR VALLEY,BEAR VALLEY,12.430303,495
DISALEXI,2013-01-01,5-020,5-020,BERRYESSA VALLEY,BERRYESSA VALLEY,,0
DISALEXI,2013-01-01,7-015,7-015,BESSEMER VALLEY,BESSEMER VALLEY,,0
DISALEXI,2013-01-01,6-025,6-025,BICYCLE VALLEY,BICYCLE VALLEY,,0
DISALEXI,2013-01-01,1-027,1-027,BIG LAGOON AREA,BIG LAGOON AREA,,0
DISALEXI,2013-01-01,8-007,8-007,BIG MEADOWS VALLEY,BIG MEADOWS VALLEY,,0
DISALEXI,2013-01-01,1-045,1-045,BIG RIVER VALLEY,BIG RIVER VALLEY,,0
DISALEXI,2013-01-01,3-047,3-047,BIG SPRING AREA,BIG SPRING AREA,1.482571,918
DISALEXI,2013-01-01,5-015,5-015,BIG VALLEY,BIG VALLEY,22.925029,31252
DISALEXI,2013-01-01,5-004,5-004,BIG VALLEY,BIG VALLEY,,0
DISALEXI,2013-01-01,3-030,3-030,BITTER WATER VALLEY,BITTER WATER VALLEY,13.849421,7511
DISALEXI,2013-01-01,6-013,6-013,BLACK SPRINGS VALLEY,BLACK SPRINGS VALLEY,,0
DISALEXI,2013-01-01,5-092,5-092,BLANCHARD VALLEY,BLANCHARD VALLEY,16.346667,1050
DISALEXI,2013-01-01,1-057,1-057,BODEGA BAY AREA,BODEGA BAY AREA,14.136364,88
