Model,Date,Basin_Subb,Basin_Numb,Basin_Name,Basin_Su_1,ET,Pixel_Count
DISALEXI,2020-08-01,4-005,4-005,ACTON VALLEY,ACTON VALLEY,21.778443,668
DISALEXI,2020-08-01,6-010,6-010,ADOBE LAKE VALLEY,ADOBE LAKE VALLEY,,0
DISALEXI,2020-08-01,1-054.01,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - ALEXANDER AREA,66.599779,39743
DISALEXI,2020-08-01,1-054.02,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - CLOVERDALE AREA,58.044306,9502
DISALEXI,2020-08-01,5-002.01,5-002,ALTURAS AREA,ALTURAS AREA - SOUTH FORK PITT RIVER,80.086249,159643
DISALEXI,2020-08-01,5-002.02,5-002,ALTURAS AREA,ALTURAS AREA - WARM SPRINGS VALLEY,51.211918,74425
DISALEXI,2020-08-01,5-010,5-010,AMERICAN VALLEY,AMERICAN VALLEY,53.766879,9746
DISALEXI,2020-08-01,7-016,7-016,AMES VALLEY,AMES VALLEY,,0
DISALEXI,2020-08-01,7-034,7-034,AMOS VALLEY,AMOS VALLEY,,0
DISALEXI,2020-08-01,1-019,1-019,ANDERSON VALLEY,ANDERSON VALLEY,27.762621,5982
DISALEXI,2020-08-01,1-049,1-049,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,32.742031,2353
DISALEXI,2020-08-01,5-091,5-091,ANTELOPE CREEK,ANTELOPE CREEK,2.161371,1605
DISALEXI,2020-08-01,6-044,6-044,ANTELOPE VALLEY,ANTELOPE VALLEY,63.439478,137884
DISALEXI,2020-08-01,6-007,6-007,ANTELOPE VALLEY,ANTELOPE VALLEY,86.887748,48489
DISALEXI,2020-08-01,3-034,3-034,ARROYO DE LA CRUZ VALLEY,ARROYO DE LA CRUZ VALLEY,114.278075,374
DISALEXI,2020-08-01,2-031,2-031,ARROYO DEL HAMBRE VALLEY,ARROYO DEL HAMBRE VALLEY,,0
DISALEXI,2020-08-01,4-007,4-007,ARROYO SANTA ROSA VALLEY,ARROYO SANTA ROSA VALLEY,83.525286,7870
DISALEXI,2020-08-01,7-037,7-037,ARROYO SECO VALLEY,ARROYO SECO VALLEY,,0
DISALEXI,2020-08-01,5-054,5-054,ASH VALLEY,ASH VALLEY,30.002561,12106
DISALEXI,2020-08-01,6-026,6-026,AVAWATZ VALLEY,AVAWATZ VALLEY,,0
DISALEXI,2020-08-01,3-020,3-020,A�O NUEVO AREA,A�O NUEVO AREA,99.980288,1877
DISALEXI,2020-08-01,9-022,9-022,BATIQUITOS LAGOON VALLEY,BATIQUITOS LAGOON VALLEY,120.559677,620
DISALEXI,2020-08-01,8-009,8-009,BEAR VALLEY,BEAR VALLEY,83.164384,219
DISALEXI,2020-08-01,5-064,5-064,BEAR VALLEY,BEAR VALLEY,0.0,510
DISALEXI,2020-08-01,5-020,5-020,BERRYESSA VALLEY,BERRYESSA VALLEY,,0
DISALEXI,2020-08-01,7-015,7-015,BESSEMER VALLEY,BESSEMER VALLEY,,0
DISALEXI,2020-08-01,6-025,6-025,BICYCLE VALLEY,BICYCLE VALLEY,,0
DISALEXI,2020-08-01,1-027,1-027,BIG LAGOON AREA,BIG LAGOON AREA,,0
DISALEXI,2020-08-01,8-007,8-007,BIG MEADOWS VALLEY,BIG MEADOWS VALLEY,,0
DISALEXI,2020-08-01,1-045,1-045,BIG RIVER VALLEY,BIG RIVER VALLEY,,0
DISALEXI,2020-08-01,3-047,3-047,BIG SPRING AREA,BIG SPRING AREA,2.100218,918
DISALEXI,2020-08-01,5-015,5-015,BIG VALLEY,BIG VALLEY,59.787358,39663
DISALEXI,2020-08-01,5-004,5-004,BIG VALLEY,BIG VALLEY,57.253372,163108
DISALEXI,2020-08-01,3-030,3-030,BITTER WATER VALLEY,BITTER WATER VALLEY,24.101518,7575
DISALEXI,2020-08-01,6-013,6-013,BLACK SPRINGS VALLEY,BLACK SPRINGS VALLEY,,0
DISALEXI,2020-08-01,5-092,5-092,BLANCHARD VALLEY,BLANCHARD VALLEY,17.387611,1130
DISALEXI,2020-08-01,1-057,1-057,BODEGA BAY AREA,BODEGA BAY AREA,,0
DISALEXI,2020-08-01,7-024.01,7-024,BORREGO VALLEY,BORREGO VALLEY - BORREGO SPRINGS,51.794907,17397
DISALEXI,2020-08-01,7-024.02,7-024,BORREGO VALLEY,BORREGO VALLEY - OCOTILLO WELLS,31.916667,12
DISALEXI,2020-08-01,1-039,1-039,BRANSCOMB TOWN AREA,BRANSCOMB TOWN AREA,,0
DISALEXI,2020-08-01,1-017,1-017,BRAY TOWN AREA,BRAY TOWN AREA,43.559059,4250
DISALEXI,2020-08-01,6-008,6-008,BRIDGEPORT VALLEY,BRIDGEPORT VALLEY,44.960161,74902
DISALEXI,2020-08-01,7-008,7-008,BRISTOL VALLEY,BRISTOL VALLEY,28.872912,7963
DISALEXI,2020-08-01,5-080,5-080,BRITE VALLEY,BRITE VALLEY,84.401057,1324
DISALEXI,2020-08-01,6-032,6-032,BROADWELL VALLEY,BROADWELL VALLEY,,0
DISALEXI,2020-08-01,6-076,6-076,BROWN MOUNTAIN VALLEY,BROWN MOUNTAIN VALLEY,,0
DISALEXI,2020-08-01,7-054,7-054,BUCK RIDGE FAULT VALLEY,BUCK RIDGE FAULT VALLEY,,0
DISALEXI,2020-08-01,6-101,6-101,BULL FLAT,BULL FLAT,33.3125,48
DISALEXI,2020-08-01,5-048,5-048,BURNEY CREEK VALLEY,BURNEY CREEK VALLEY,36.598803,6852
DISALEXI,2020-08-01,5-017,5-017,BURNS VALLEY,BURNS VALLEY,22.523645,1734
DISALEXI,2020-08-01,5-051,5-051,BUTTE CREEK VALLEY,BUTTE CREEK VALLEY,,0
DISALEXI,2020-08-01,1-003,1-003,BUTTE VALLEY,BUTTE VALLEY,65.801951,149448
DISALEXI,2020-08-01,6-081,6-081,BUTTE VALLEY,BUTTE VALLEY,,0
DISALEXI,2020-08-01,6-070,6-070,CACTUS FLAT,CACTUS FLAT,,0
DISALEXI,2020-08-01,7-007,7-007,CADIZ VALLEY,CADIZ VALLEY,,0
DISALEXI,2020-08-01,6-090,6-090,CADY FAULT AREA,CADY FAULT AREA,,0
DISALEXI,2020-08-01,9-006,9-006,CAHUILLA VALLEY,CAHUILLA VALLEY,15.11456,6250
DISALEXI,2020-08-01,6-079,6-079,CALIFORNIA VALLEY,CALIFORNIA VALLEY,,0
DISALEXI,2020-08-01,7-041,7-041,CALZONA VALLEY,CALZONA VALLEY,,0
DISALEXI,2020-08-01,6-061,6-061,CAMEO AREA,CAMEO AREA,,0
DISALEXI,2020-08-01,9-028,9-028,CAMPO VALLEY,CAMPO VALLEY,25.02381,126
DISALEXI,2020-08-01,7-046,7-046,CANEBRAKE VALLEY,CANEBRAKE VALLEY,,0
DISALEXI,2020-08-01,3-007,3-007,CARMEL VALLEY,CARMEL VALLEY,77.152666,1238
DISALEXI,2020-08-01,3-018,3-018,CARPINTERIA,CARPINTERIA,98.765095,12388
