MODEL,DATE,Basin_Subb,Basin_Numb,Basin_Name,Basin_Su_1,ET_MEAN,ET_MEDIAN,ET_PCT25,ET_PCT75,ET_STDDEV,PIXEL_COUNT
DISALEXI,2003-11-01,4-005,4-005,ACTON VALLEY,ACTON VALLEY,16.8164,14.0,5.0,25.0,14.4456,37173
DISALEXI,2003-11-01,6-010,6-010,ADOBE LAKE VALLEY,ADOBE LAKE VALLEY,6.5745,4.0,0.0,9.0,8.6937,171031
DISALEXI,2003-11-01,1-054.01,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - ALEXANDER AREA,20.8257,20.0,16.0,26.0,8.4341,110082
DISALEXI,2003-11-01,1-054.02,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - CLOVERDALE AREA,17.6706,18.0,13.0,22.0,6.8736,29276
DISALEXI,2003-11-01,5-002.01,5-002,ALTURAS AREA,ALTURAS AREA - SOUTH FORK PITT RIVER,14.5278,13.0,7.0,20.0,9.9607,441190
DISALEXI,2003-11-01,5-002.02,5-002,ALTURAS AREA,ALTURAS AREA - WARM SPRINGS VALLEY,13.2708,12.0,6.0,19.0,9.9515,286500
DISALEXI,2003-11-01,5-010,5-010,AMERICAN VALLEY,AMERICAN VALLEY,17.5561,16.0,10.0,24.0,9.1334,30274
DISALEXI,2003-11-01,7-016,7-016,AMES VALLEY,AMES VALLEY,11.6954,10.0,7.0,15.0,7.6707,487562
DISALEXI,2003-11-01,7-034,7-034,AMOS VALLEY,AMOS VALLEY,8.382,7.0,5.0,11.0,6.4279,584255
DISALEXI,2003-11-01,1-019,1-019,ANDERSON VALLEY,ANDERSON VALLEY,22.4687,21.0,14.0,31.0,10.948,22353
DISALEXI,2003-11-01,1-049,1-049,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,20.833,20.0,14.0,28.0,10.1569,38897
DISALEXI,2003-11-01,5-091,5-091,ANTELOPE CREEK,ANTELOPE CREEK,5.8586,6.0,3.0,8.0,3.6695,9175
DISALEXI,2003-11-01,6-044,6-044,ANTELOPE VALLEY,ANTELOPE VALLEY,12.0261,10.0,6.0,16.0,8.6,4540657
DISALEXI,2003-11-01,6-007,6-007,ANTELOPE VALLEY,ANTELOPE VALLEY,17.3046,17.0,11.0,22.0,9.3073,89741
DISALEXI,2003-11-01,3-034,3-034,ARROYO DE LA CRUZ VALLEY,ARROYO DE LA CRUZ VALLEY,27.8248,25.0,17.0,38.0,14.2765,2911
DISALEXI,2003-11-01,2-031,2-031,ARROYO DEL HAMBRE VALLEY,ARROYO DEL HAMBRE VALLEY,19.1128,19.0,15.0,23.0,6.7381,1135
DISALEXI,2003-11-01,4-007,4-007,ARROYO SANTA ROSA VALLEY,ARROYO SANTA ROSA VALLEY,15.3076,15.0,9.0,21.0,8.1358,17646
DISALEXI,2003-11-01,7-037,7-037,ARROYO SECO VALLEY,ARROYO SECO VALLEY,7.6915,7.0,4.0,10.0,5.769,1152255
DISALEXI,2003-11-01,5-054,5-054,ASH VALLEY,ASH VALLEY,10.7409,9.0,4.0,15.0,8.4788,22841
DISALEXI,2003-11-01,6-026,6-026,AVAWATZ VALLEY,AVAWATZ VALLEY,9.6832,6.0,3.0,13.0,10.4443,124166
DISALEXI,2003-11-01,3-020,3-020,A�O NUEVO AREA,A�O NUEVO AREA,25.2114,25.0,18.0,32.0,9.2986,8702
DISALEXI,2003-11-01,9-022,9-022,BATIQUITOS LAGOON VALLEY,BATIQUITOS LAGOON VALLEY,34.9715,35.0,28.0,43.0,12.5421,3334
DISALEXI,2003-11-01,8-009,8-009,BEAR VALLEY,BEAR VALLEY,28.9471,28.0,18.0,40.0,14.9667,77238
DISALEXI,2003-11-01,5-064,5-064,BEAR VALLEY,BEAR VALLEY,8.8166,9.0,6.0,11.0,4.3187,40934
DISALEXI,2003-11-01,5-020,5-020,BERRYESSA VALLEY,BERRYESSA VALLEY,1.8844,0.0,0.0,2.0,4.0075,2700
DISALEXI,2003-11-01,7-015,7-015,BESSEMER VALLEY,BESSEMER VALLEY,12.2142,11.0,8.0,14.0,7.3527,175677
DISALEXI,2003-11-01,6-025,6-025,BICYCLE VALLEY,BICYCLE VALLEY,9.5877,7.0,3.0,14.0,8.8439,400548
DISALEXI,2003-11-01,1-027,1-027,BIG LAGOON AREA,BIG LAGOON AREA,25.3295,24.0,21.0,30.0,6.613,23516
DISALEXI,2003-11-01,8-007,8-007,BIG MEADOWS VALLEY,BIG MEADOWS VALLEY,20.0828,19.0,6.0,32.0,15.6343,58678
DISALEXI,2003-11-01,1-045,1-045,BIG RIVER VALLEY,BIG RIVER VALLEY,29.334,30.0,22.0,36.0,8.653,6919
DISALEXI,2003-11-01,3-047,3-047,BIG SPRING AREA,BIG SPRING AREA,10.7767,10.0,4.0,15.0,8.0046,32426
DISALEXI,2003-11-01,5-015,5-015,BIG VALLEY,BIG VALLEY,16.4469,16.0,11.0,21.0,7.3887,105424
DISALEXI,2003-11-01,5-004,5-004,BIG VALLEY,BIG VALLEY,12.9006,12.0,8.0,17.0,7.9835,396751
DISALEXI,2003-11-01,3-030,3-030,BITTER WATER VALLEY,BITTER WATER VALLEY,5.5234,0.0,0.0,5.0,10.4069,144867
DISALEXI,2003-11-01,6-013,6-013,BLACK SPRINGS VALLEY,BLACK SPRINGS VALLEY,5.3725,3.0,2.0,7.0,5.7562,138327
DISALEXI,2003-11-01,5-092,5-092,BLANCHARD VALLEY,BLANCHARD VALLEY,7.5824,7.0,4.0,10.0,5.5819,9994
DISALEXI,2003-11-01,1-057,1-057,BODEGA BAY AREA,BODEGA BAY AREA,24.6508,25.0,17.0,32.0,9.6303,1512
DISALEXI,2003-11-01,7-024.01,7-024,BORREGO VALLEY,BORREGO VALLEY - BORREGO SPRINGS,5.849,1.0,0.0,5.0,11.6785,282155
DISALEXI,2003-11-01,7-024.02,7-024,BORREGO VALLEY,BORREGO VALLEY - OCOTILLO WELLS,3.3262,2.0,0.0,5.0,5.4187,405068
DISALEXI,2003-11-01,1-039,1-039,BRANSCOMB TOWN AREA,BRANSCOMB TOWN AREA,25.0664,27.0,19.0,31.0,8.1002,6201
DISALEXI,2003-11-01,1-017,1-017,BRAY TOWN AREA,BRAY TOWN AREA,15.311,15.0,11.0,19.0,6.5523,35234
DISALEXI,2003-11-01,6-008,6-008,BRIDGEPORT VALLEY,BRIDGEPORT VALLEY,18.1706,17.0,8.0,26.0,12.3931,137689
DISALEXI,2003-11-01,7-008,7-008,BRISTOL VALLEY,BRISTOL VALLEY,7.459,6.0,2.0,11.0,6.9709,2233870
DISALEXI,2003-11-01,5-080,5-080,BRITE VALLEY,BRITE VALLEY,14.1213,12.0,7.0,18.0,10.0103,14092
DISALEXI,2003-11-01,6-032,6-032,BROADWELL VALLEY,BROADWELL VALLEY,14.1953,13.0,9.0,18.0,7.7139,413085
DISALEXI,2003-11-01,6-076,6-076,BROWN MOUNTAIN VALLEY,BROWN MOUNTAIN VALLEY,5.3717,3.0,1.0,7.0,7.3075,97672
DISALEXI,2003-11-01,7-054,7-054,BUCK RIDGE FAULT VALLEY,BUCK RIDGE FAULT VALLEY,7.535,3.0,0.0,10.0,10.9293,31076
DISALEXI,2003-11-01,6-101,6-101,BULL FLAT,BULL FLAT,7.7134,6.0,3.0,11.0,6.6704,65473
DISALEXI,2003-11-01,5-048,5-048,BURNEY CREEK VALLEY,BURNEY CREEK VALLEY,16.5591,15.0,12.0,20.0,6.4826,10565
DISALEXI,2003-11-01,5-017,5-017,BURNS VALLEY,BURNS VALLEY,11.6953,11.0,6.0,16.0,7.1989,12877
DISALEXI,2003-11-01,5-051,5-051,BUTTE CREEK VALLEY,BUTTE CREEK VALLEY,14.9626,16.0,7.0,22.0,9.4366,13467
DISALEXI,2003-11-01,1-003,1-003,BUTTE VALLEY,BUTTE VALLEY,14.1553,14.0,10.0,18.0,6.8187,326340
DISALEXI,2003-11-01,6-081,6-081,BUTTE VALLEY,BUTTE VALLEY,2.8444,0.0,0.0,2.0,7.4072,39581
DISALEXI,2003-11-01,6-070,6-070,CACTUS FLAT,CACTUS FLAT,8.9856,6.0,3.0,11.0,9.7492,31593
DISALEXI,2003-11-01,7-007,7-007,CADIZ VALLEY,CADIZ VALLEY,5.7502,4.0,1.0,9.0,6.0151,1213296
DISALEXI,2003-11-01,6-090,6-090,CADY FAULT AREA,CADY FAULT AREA,15.408,15.0,9.0,20.0,8.5789,35753
DISALEXI,2003-11-01,9-006,9-006,CAHUILLA VALLEY,CAHUILLA VALLEY,17.7109,17.0,11.0,24.0,10.054,81704
DISALEXI,2003-11-01,6-079,6-079,CALIFORNIA VALLEY,CALIFORNIA VALLEY,4.6477,3.0,1.0,6.0,7.4582,261285
DISALEXI,2003-11-01,7-041,7-041,CALZONA VALLEY,CALZONA VALLEY,6.5986,5.0,3.0,8.0,6.4476,340264
DISALEXI,2003-11-01,6-061,6-061,CAMEO AREA,CAMEO AREA,2.4403,0.0,0.0,1.0,7.1996,41840
DISALEXI,2003-11-01,9-028,9-028,CAMPO VALLEY,CAMPO VALLEY,16.9753,16.0,7.0,26.0,11.9453,15902
DISALEXI,2003-11-01,7-046,7-046,CANEBRAKE VALLEY,CANEBRAKE VALLEY,3.2283,0.0,0.0,0.0,9.6092,24310
DISALEXI,2003-11-01,3-007,3-007,CARMEL VALLEY,CARMEL VALLEY,17.2764,16.0,10.0,23.0,10.6115,15270
DISALEXI,2003-11-01,3-018,3-018,CARPINTERIA,CARPINTERIA,24.1132,22.0,14.0,32.0,13.6039,31847
DISALEXI,2003-11-01,3-019,3-019,CARRIZO PLAIN,CARRIZO PLAIN,5.4152,2.0,0.0,9.0,7.238,913246
DISALEXI,2003-11-01,6-006,6-006,CARSON VALLEY,CARSON VALLEY,22.9843,21.0,12.0,32.0,14.7311,43703
DISALEXI,2003-11-01,5-029,5-029,CASTAC LAKE VALLEY,CASTAC LAKE VALLEY,13.1819,8.0,2.0,19.0,13.9477,14795
DISALEXI,2003-11-01,2-008,2-008,CASTRO VALLEY,CASTRO VALLEY,17.6543,18.0,14.0,21.0,6.9577,7955
DISALEXI,2003-11-01,6-038,6-038,CAVES CANYON VALLEY,CAVES CANYON VALLEY,10.2047,8.0,4.0,14.0,9.3486,328032
DISALEXI,2003-11-01,5-045,5-045,CAYTON VALLEY,CAYTON VALLEY,18.6227,18.0,15.0,22.0,5.1866,5874
DISALEXI,2003-11-01,3-038,3-038,CAYUCOS VALLEY,CAYUCOS VALLEY,12.0199,12.0,6.0,17.0,7.514,804
DISALEXI,2003-11-01,7-043,7-043,CHEMEHUEVI VALLEY,CHEMEHUEVI VALLEY,5.6247,5.0,2.0,7.0,5.6148,1213339
DISALEXI,2003-11-01,7-032,7-032,CHOCOLATE VALLEY,CHOCOLATE VALLEY,8.4307,7.0,3.0,11.0,8.006,578877
DISALEXI,2003-11-01,3-005,3-005,CHOLAME VALLEY,CHOLAME VALLEY,9.9568,7.0,2.0,15.0,10.193,179042
DISALEXI,2003-11-01,3-042,3-042,CHORRO VALLEY,CHORRO VALLEY,19.8902,18.0,10.0,26.0,13.3828,3963
DISALEXI,2003-11-01,5-061,5-061,CHROME TOWN AREA,CHROME TOWN AREA,9.1044,9.0,7.0,11.0,3.2345,6334
DISALEXI,2003-11-01,7-005,7-005,CHUCKWALLA VALLEY,CHUCKWALLA VALLEY,7.2076,6.0,2.0,10.0,6.7758,2704834
DISALEXI,2003-11-01,2-005,2-005,CLAYTON VALLEY,CLAYTON VALLEY,15.1462,14.0,9.0,19.0,9.3218,63513
DISALEXI,2003-11-01,5-066,5-066,CLEAR LAKE CACHE FORMATION,CLEAR LAKE CACHE FORMATION,14.8563,15.0,6.0,23.0,9.7412,133746
DISALEXI,2003-11-01,5-058,5-058,CLOVER VALLEY,CLOVER VALLEY,14.0364,12.0,6.0,21.0,10.0907,75444
DISALEXI,2003-11-01,7-021.03,7-021,COACHELLA VALLEY,COACHELLA VALLEY - DESERT HOT SPRINGS,7.8923,3.0,0.0,10.0,11.307,453885
DISALEXI,2003-11-01,7-021.01,7-021,COACHELLA VALLEY,COACHELLA VALLEY - INDIO,15.1393,10.0,2.0,25.0,15.8131,1301157
DISALEXI,2003-11-01,7-021.02,7-021,COACHELLA VALLEY,COACHELLA VALLEY - MISSION CREEK,5.7424,1.0,0.0,6.0,10.0921,218413
DISALEXI,2003-11-01,7-021.04,7-021,COACHELLA VALLEY,COACHELLA VALLEY - SAN GORGONIO PASS,14.4369,13.0,4.0,21.0,12.6883,173279
DISALEXI,2003-11-01,4-011.04,4-011,COASTAL PLAIN OF LOS ANGELES,COASTAL PLAIN OF LOS ANGELES - CENTRAL,23.8306,25.0,18.0,31.0,10.5704,799138
DISALEXI,2003-11-01,4-011.02,4-011,COASTAL PLAIN OF LOS ANGELES,COASTAL PLAIN OF LOS ANGELES - HOLLYWOOD,18.601,19.0,9.0,27.0,11.0843,45278
DISALEXI,2003-11-01,4-011.01,4-011,COASTAL PLAIN OF LOS ANGELES,COASTAL PLAIN OF LOS ANGELES - SANTA MONICA,29.1158,30.0,23.0,36.0,11.6383,135241
DISALEXI,2003-11-01,4-011.03,4-011,COASTAL PLAIN OF LOS ANGELES,COASTAL PLAIN OF LOS ANGELES - WEST COAST,26.1197,27.0,19.0,34.0,11.4304,368220
DISALEXI,2003-11-01,8-001,8-001,COASTAL PLAIN OF ORANGE COUNTY,COASTAL PLAIN OF ORANGE COUNTY,23.6363,25.0,16.0,31.0,11.3455,982642
DISALEXI,2003-11-01,9-033,9-033,COASTAL PLAIN OF SAN DIEGO,COASTAL PLAIN OF SAN DIEGO,28.2804,28.0,18.0,37.0,14.2625,213340
DISALEXI,2003-11-01,6-072,6-072,COLES FLAT,COLES FLAT,11.9454,12.0,9.0,14.0,4.6792,13244
DISALEXI,2003-11-01,5-019,5-019,COLLAYOMI VALLEY,COLLAYOMI VALLEY,10.2381,10.0,6.0,14.0,5.6956,29229
DISALEXI,2003-11-01,7-055,7-055,COLLINS VALLEY,COLLINS VALLEY,2.564,0.0,0.0,0.0,7.7072,31751
DISALEXI,2003-11-01,4-010,4-010,CONEJO,CONEJO,16.0106,14.0,8.0,22.0,10.8727,84503
DISALEXI,2003-11-01,7-011,7-011,COPPER MOUNTAIN VALLEY,COPPER MOUNTAIN VALLEY,10.4243,9.0,6.0,13.0,6.556,136155
DISALEXI,2003-11-01,3-002.01,3-002,CORRALITOS,CORRALITOS - PAJARO VALLEY,22.9899,22.0,14.0,32.0,13.0158,293255
DISALEXI,2003-11-01,3-002.02,3-002,CORRALITOS,CORRALITOS - PURISIMA HIGHLANDS,26.9679,26.0,20.0,33.0,9.6464,48974
DISALEXI,2003-11-01,6-055,6-055,COSO VALLEY,COSO VALLEY,6.1898,5.0,2.0,8.0,6.3199,114929
DISALEXI,2003-11-01,1-037,1-037,COTTONEVA CREEK VALLEY,COTTONEVA CREEK VALLEY,24.651,25.0,18.0,31.0,9.0324,1318
DISALEXI,2003-11-01,9-027,9-027,COTTONWOOD VALLEY,COTTONWOOD VALLEY,16.8566,13.0,5.0,26.0,14.814,17262
DISALEXI,2003-11-01,1-011,1-011,COVELO ROUND VALLEY,COVELO ROUND VALLEY,16.9075,15.0,11.0,22.0,7.8892,73781
DISALEXI,2003-11-01,6-091,6-091,COW HEAD LAKE VALLEY,COW HEAD LAKE VALLEY,13.6642,13.0,9.0,17.0,5.7644,12944
DISALEXI,2003-11-01,6-037,6-037,COYOTE LAKE VALLEY,COYOTE LAKE VALLEY,8.258,6.0,2.0,12.0,8.1575,396167
DISALEXI,2003-11-01,5-018,5-018,COYOTE VALLEY,COYOTE VALLEY,11.8587,11.0,7.0,15.0,7.0741,28746
DISALEXI,2003-11-01,7-029,7-029,COYOTE WELLS VALLEY,COYOTE WELLS VALLEY,4.632,4.0,0.0,7.0,4.8545,637390
DISALEXI,2003-11-01,6-035,6-035,CRONISE VALLEY,CRONISE VALLEY,10.6936,9.0,5.0,15.0,8.1995,567894
DISALEXI,2003-11-01,6-050,6-050,CUDDEBACK VALLEY,CUDDEBACK VALLEY,11.0607,10.0,7.0,14.0,7.8705,426669
DISALEXI,2003-11-01,5-082,5-082,CUDDY CANYON VALLEY,CUDDY CANYON VALLEY,15.4709,14.0,4.0,24.0,12.308,14830
DISALEXI,2003-11-01,5-083,5-083,CUDDY RANCH AREA,CUDDY RANCH AREA,24.4254,26.0,16.0,33.0,12.7002,18906
DISALEXI,2003-11-01,5-084,5-084,CUDDY VALLEY,CUDDY VALLEY,18.7332,18.0,6.0,29.0,13.5062,15576
DISALEXI,2003-11-01,5-027,5-027,CUMMINGS VALLEY,CUMMINGS VALLEY,12.5266,11.0,6.0,18.0,9.0904,44952
DISALEXI,2003-11-01,3-013,3-013,CUYAMA VALLEY,CUYAMA VALLEY,8.9976,3.0,0.0,15.0,11.5349,1063119
DISALEXI,2003-11-01,7-009,7-009,DALE VALLEY,DALE VALLEY,9.4215,8.0,5.0,13.0,7.093,954654
DISALEXI,2003-11-01,6-057,6-057,DARWIN VALLEY,DARWIN VALLEY,9.2385,8.0,4.0,13.0,6.8766,198536
DISALEXI,2003-11-01,7-061,7-061,DAVIES VALLEY,DAVIES VALLEY,2.3228,0.0,0.0,1.0,7.2334,15213
DISALEXI,2003-11-01,7-013.01,7-013,DEADMAN VALLEY,DEADMAN VALLEY - DEADMAN LAKE,11.4865,10.0,6.0,16.0,7.3692,400267
DISALEXI,2003-11-01,7-013.02,7-013,DEADMAN VALLEY,DEADMAN VALLEY - SURPRISE SPRING,12.4311,12.0,9.0,15.0,5.1433,131543
DISALEXI,2003-11-01,6-018,6-018,DEATH VALLEY,DEATH VALLEY,6.1814,4.0,0.0,9.0,7.9394,4112319
DISALEXI,2003-11-01,6-015,6-015,DEEP SPRINGS VALLEY,DEEP SPRINGS VALLEY,8.5015,6.0,2.0,11.0,9.0639,131567
DISALEXI,2003-11-01,6-078,6-078,DENNING SPRING VALLEY,DENNING SPRING VALLEY,9.3113,4.0,1.0,12.0,13.216,32512
DISALEXI,2003-11-01,1-034,1-034,DINSMORES TOWN AREA,DINSMORES TOWN AREA,12.8114,12.0,7.0,18.0,7.168,10248
DISALEXI,2003-11-01,5-053,5-053,DIXIE VALLEY,DIXIE VALLEY,10.5846,9.0,5.0,14.0,8.3122,21775
DISALEXI,2003-11-01,2-040,2-040,DOWNTOWN,DOWNTOWN,18.1721,18.0,9.0,26.0,11.4457,17611
DISALEXI,2003-11-01,5-049,5-049,DRY BURNEY CREEK VALLEY,DRY BURNEY CREEK VALLEY,29.3012,30.0,27.0,33.0,5.9692,13817
DISALEXI,2003-11-01,3-029,3-029,DRY LAKE VALLEY,DRY LAKE VALLEY,1.7752,0.0,0.0,1.0,4.7273,6360
DISALEXI,2003-11-01,6-095,6-095,DRY VALLEY,DRY VALLEY,11.0761,10.0,6.0,15.0,7.2824,23677
DISALEXI,2003-11-01,6-096,6-096,EAGLE LAKE AREA,EAGLE LAKE AREA,20.6126,21.0,18.0,23.0,4.124,45704
DISALEXI,2003-11-01,7-033,7-033,EAST SALTON SEA,EAST SALTON SEA,9.1248,6.0,2.0,12.0,11.4007,854641
DISALEXI,2003-11-01,1-044,1-044,EDEN VALLEY,EDEN VALLEY,15.8684,13.0,9.0,23.0,8.4494,6168
DISALEXI,2003-11-01,1-010,1-010,EEL RIVER VALLEY,EEL RIVER VALLEY,17.1332,16.0,9.0,24.0,10.1311,266509
DISALEXI,2003-11-01,5-041,5-041,EGG LAKE VALLEY,EGG LAKE VALLEY,10.1244,7.0,3.0,15.0,9.5241,15327
DISALEXI,2003-11-01,9-016,9-016,EL CAJON VALLEY,EL CAJON VALLEY,18.8086,19.0,9.0,26.0,12.3008,32159
DISALEXI,2003-11-01,6-043,6-043,EL MIRAGE VALLEY,EL MIRAGE VALLEY,10.8806,8.0,5.0,13.0,8.7054,341252
DISALEXI,2003-11-01,5-062,5-062,ELK CREEK AREA,ELK CREEK AREA,11.2221,10.0,5.0,16.0,8.4162,6462
DISALEXI,2003-11-01,8-004.02,8-004,ELSINORE,ELSINORE - BEDFORD-COLDWATER,17.7806,16.0,8.0,25.0,12.2675,31583
DISALEXI,2003-11-01,8-004.01,8-004,ELSINORE,ELSINORE - ELSINORE VALLEY,18.2457,16.0,8.0,25.0,13.7514,95503
DISALEXI,2003-11-01,9-009,9-009,ESCONDIDO VALLEY,ESCONDIDO VALLEY,20.7858,22.0,15.0,28.0,9.5917,12956
DISALEXI,2003-11-01,1-009,1-009,EUREKA PLAIN,EUREKA PLAIN,25.2305,25.0,18.0,33.0,9.9291,138427
DISALEXI,2003-11-01,6-016,6-016,EUREKA VALLEY,EUREKA VALLEY,4.5921,2.0,0.0,5.0,8.1471,578672
DISALEXI,2003-11-01,1-022,1-022,FAIRCHILD SWAMP VALLEY,FAIRCHILD SWAMP VALLEY,9.131,9.0,4.0,14.0,6.4496,14707
DISALEXI,2003-11-01,5-005,5-005,FALL RIVER VALLEY,FALL RIVER VALLEY,16.4502,15.0,11.0,21.0,8.0257,217229
DISALEXI,2003-11-01,7-002,7-002,FENNER VALLEY,FENNER VALLEY,5.712,4.0,1.0,8.0,6.1548,2034581
DISALEXI,2003-11-01,6-014,6-014,FISH LAKE VALLEY,FISH LAKE VALLEY,12.8296,11.0,6.0,18.0,9.579,205826
DISALEXI,2003-11-01,3-053,3-053,FOOTHILL,FOOTHILL,16.4622,16.0,11.0,21.0,8.3911,14765
DISALEXI,2003-11-01,1-021,1-021,FORT BRAGG TERRACE AREA,FORT BRAGG TERRACE AREA,22.7697,23.0,20.0,27.0,6.3976,26973
DISALEXI,2003-11-01,1-061,1-061,FORT ROSS TERRACE DEPOSITS,FORT ROSS TERRACE DEPOSITS,20.7505,21.0,13.0,27.0,9.4138,11949
DISALEXI,2003-11-01,6-046,6-046,FREMONT VALLEY,FREMONT VALLEY,9.5001,8.0,5.0,12.0,7.2786,1507304
DISALEXI,2003-11-01,5-090,5-090,FUNKS CREEK,FUNKS CREEK,7.5234,7.0,4.0,10.0,4.4976,13564
DISALEXI,2003-11-01,1-032,1-032,GARBERVILLE TOWN AREA,GARBERVILLE TOWN AREA,23.3353,23.0,16.0,31.0,9.7374,9497
DISALEXI,2003-11-01,1-020,1-020,GARCIA RIVER VALLEY,GARCIA RIVER VALLEY,27.5622,27.0,20.0,34.0,8.296,1302
DISALEXI,2003-11-01,3-003.01,3-003,GILROY-HOLLISTER VALLEY,GILROY-HOLLISTER VALLEY - LLAGAS AREA,16.9515,17.0,11.0,22.0,8.5384,208903
DISALEXI,2003-11-01,3-003.05,3-003,GILROY-HOLLISTER VALLEY,GILROY-HOLLISTER VALLEY - NORTH SAN BENITO,12.4638,11.0,3.0,19.0,11.0089,588215
DISALEXI,2003-11-01,6-085,6-085,GOLD VALLEY,GOLD VALLEY,2.674,0.0,0.0,3.0,5.286,14407
DISALEXI,2003-11-01,6-048,6-048,GOLDSTONE VALLEY,GOLDSTONE VALLEY,6.8027,4.0,1.0,10.0,8.2807,124950
DISALEXI,2003-11-01,3-016,3-016,GOLETA,GOLETA,15.8162,15.0,10.0,21.0,8.1566,41436
DISALEXI,2003-11-01,5-001.02,5-001,GOOSE LAKE,GOOSE LAKE - FANDANGO VALLEY,14.2435,13.0,10.0,18.0,6.378,23696
DISALEXI,2003-11-01,5-001.01,5-001,GOOSE LAKE,GOOSE LAKE - GOOSE VALLEY,12.8064,12.0,8.0,17.0,6.5611,36737
DISALEXI,2003-11-01,5-047,5-047,GOOSE VALLEY,GOOSE VALLEY,23.8548,23.0,19.0,27.0,6.7235,18873
DISALEXI,2003-11-01,6-077,6-077,GRASS VALLEY,GRASS VALLEY,13.388,12.0,7.0,18.0,7.9373,44881
DISALEXI,2003-11-01,6-094,6-094,GRASSHOPPER VALLEY,GRASSHOPPER VALLEY,9.2966,9.0,5.0,12.0,6.4573,68254
DISALEXI,2003-11-01,1-048,1-048,GRAVELLY VALLEY,GRAVELLY VALLEY,17.7176,18.0,11.0,24.0,9.0031,13375
DISALEXI,2003-11-01,5-052,5-052,GRAYS VALLEY,GRAYS VALLEY,8.4057,6.0,2.0,12.0,8.0626,24461
DISALEXI,2003-11-01,6-084,6-084,GREENWATER VALLEY,GREENWATER VALLEY,6.1371,4.0,1.0,9.0,7.0595,268931
DISALEXI,2003-11-01,5-059,5-059,GRIZZLY VALLEY,GRIZZLY VALLEY,23.0659,23.0,15.0,31.0,9.9068,38251
DISALEXI,2003-11-01,2-022,2-022,HALF MOON BAY TERRACE,HALF MOON BAY TERRACE,20.8574,20.0,14.0,26.0,10.0558,13783
DISALEXI,2003-11-01,1-015,1-015,HAPPY CAMP TOWN AREA,HAPPY CAMP TOWN AREA,18.8845,19.0,13.0,26.0,8.3012,12456
DISALEXI,2003-11-01,6-047,6-047,HARPER VALLEY,HARPER VALLEY,12.1512,11.0,8.0,15.0,6.4898,1841125
DISALEXI,2003-11-01,6-074,6-074,HARRISBURG FLATS,HARRISBURG FLATS,7.9746,5.0,1.0,11.0,10.1569,112082
DISALEXI,2003-11-01,6-093,6-093,HARVEY VALLEY,HARVEY VALLEY,8.9409,5.0,2.0,12.0,9.5467,19319
DISALEXI,2003-11-01,1-006,1-006,HAYFORK VALLEY,HAYFORK VALLEY,14.4448,13.0,5.0,22.0,11.0832,14828
DISALEXI,2003-11-01,7-048,7-048,HELENDALE FAULT VALLEY,HELENDALE FAULT VALLEY,15.5738,16.0,6.0,23.0,10.837,11777
DISALEXI,2003-11-01,8-006,8-006,HEMET LAKE VALLEY,HEMET LAKE VALLEY,27.5788,27.0,17.0,37.0,13.0562,74091
DISALEXI,2003-11-01,3-031,3-031,HERNANDEZ VALLEY,HERNANDEZ VALLEY,6.6593,2.0,0.0,9.0,9.2844,12511
DISALEXI,2003-11-01,1-036,1-036,HETTENSHAW VALLEY,HETTENSHAW VALLEY,14.7121,14.0,11.0,17.0,5.5193,3807
DISALEXI,2003-11-01,7-053,7-053,HEXIE MOUNTAIN AREA,HEXIE MOUNTAIN AREA,8.4889,8.0,3.0,12.0,6.8238,50053
DISALEXI,2003-11-01,6-063,6-063,HIDDEN VALLEY,HIDDEN VALLEY,9.4798,6.0,2.0,13.0,11.0807,80544
DISALEXI,2003-11-01,4-016,4-016,HIDDEN VALLEY,HIDDEN VALLEY,12.6049,8.0,3.0,19.0,12.9765,9637
DISALEXI,2003-11-01,5-016,5-016,HIGH VALLEY,HIGH VALLEY,12.0971,10.0,7.0,15.0,7.5495,10592
DISALEXI,2003-11-01,6-004,6-004,HONEY LAKE VALLEY,HONEY LAKE VALLEY,9.338,8.0,4.0,13.0,7.1647,1338932
DISALEXI,2003-11-01,1-029,1-029,HONEYDEW TOWN AREA,HONEYDEW TOWN AREA,12.5726,11.0,5.0,19.0,9.8054,10658
DISALEXI,2003-11-01,1-007,1-007,HOOPA VALLEY,HOOPA VALLEY,14.4525,14.0,7.0,20.0,8.5368,17512
DISALEXI,2003-11-01,6-097,6-097,HORSE LAKE VALLEY,HORSE LAKE VALLEY,8.6185,7.0,2.0,13.0,7.7293,17156
DISALEXI,2003-11-01,5-040,5-040,HOT SPRINGS VALLEY,HOT SPRINGS VALLEY,13.0166,13.0,9.0,17.0,5.3448,10612
DISALEXI,2003-11-01,3-045,3-045,HUASNA VALLEY,HUASNA VALLEY,15.4901,14.0,8.0,21.0,9.6118,21147
DISALEXI,2003-11-01,5-060,5-060,HUMBUG VALLEY,HUMBUG VALLEY,25.2456,26.0,19.0,32.0,9.5384,44827
DISALEXI,2003-11-01,4-018,4-018,HUNGRY VALLEY,HUNGRY VALLEY,10.5919,10.0,6.0,14.0,7.1111,23859
