Model,Date,Basin_Subb,Basin_Numb,Basin_Name,Basin_Su_1,ET,Pixel_Count
SSEBOP,2021-12-01,4-005,4-005,ACTON VALLEY,ACTON VALLEY,2.299401,668
SSEBOP,2021-12-01,6-010,6-010,ADOBE LAKE VALLEY,ADOBE LAKE VALLEY,,0
SSEBOP,2021-12-01,1-054.01,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - ALEXANDER AREA,18.195556,39743
SSEBOP,2021-12-01,1-054.02,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - CLOVERDALE AREA,18.787837,9488
SSEBOP,2021-12-01,5-002.01,5-002,ALTURAS AREA,ALTURAS AREA - SOUTH FORK PITT RIVER,9.465846,159793
SSEBOP,2021-12-01,5-002.02,5-002,ALTURAS AREA,ALTURAS AREA - WARM SPRINGS VALLEY,9.161384,74425
SSEBOP,2021-12-01,5-010,5-010,AMERICAN VALLEY,AMERICAN VALLEY,10.824133,9746
SSEBOP,2021-12-01,7-016,7-016,AMES VALLEY,AMES VALLEY,,0
SSEBOP,2021-12-01,7-034,7-034,AMOS VALLEY,AMOS VALLEY,,0
SSEBOP,2021-12-01,1-019,1-019,ANDERSON VALLEY,ANDERSON VALLEY,21.934804,5982
SSEBOP,2021-12-01,1-049,1-049,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,18.884828,2353
SSEBOP,2021-12-01,5-091,5-091,ANTELOPE CREEK,ANTELOPE CREEK,23.468536,1605
SSEBOP,2021-12-01,6-044,6-044,ANTELOPE VALLEY,ANTELOPE VALLEY,14.216784,137884
SSEBOP,2021-12-01,6-007,6-007,ANTELOPE VALLEY,ANTELOPE VALLEY,16.606034,48489
SSEBOP,2021-12-01,3-034,3-034,ARROYO DE LA CRUZ VALLEY,ARROYO DE LA CRUZ VALLEY,29.726766,538
SSEBOP,2021-12-01,2-031,2-031,ARROYO DEL HAMBRE VALLEY,ARROYO DEL HAMBRE VALLEY,,0
SSEBOP,2021-12-01,4-007,4-007,ARROYO SANTA ROSA VALLEY,ARROYO SANTA ROSA VALLEY,28.130877,7870
SSEBOP,2021-12-01,7-037,7-037,ARROYO SECO VALLEY,ARROYO SECO VALLEY,,0
SSEBOP,2021-12-01,5-054,5-054,ASH VALLEY,ASH VALLEY,9.364477,12105
SSEBOP,2021-12-01,6-026,6-026,AVAWATZ VALLEY,AVAWATZ VALLEY,,0
SSEBOP,2021-12-01,3-020,3-020,A�O NUEVO AREA,A�O NUEVO AREA,21.479489,1877
SSEBOP,2021-12-01,9-022,9-022,BATIQUITOS LAGOON VALLEY,BATIQUITOS LAGOON VALLEY,21.890323,620
SSEBOP,2021-12-01,8-009,8-009,BEAR VALLEY,BEAR VALLEY,25.439394,198
SSEBOP,2021-12-01,5-064,5-064,BEAR VALLEY,BEAR VALLEY,21.992157,510
SSEBOP,2021-12-01,5-020,5-020,BERRYESSA VALLEY,BERRYESSA VALLEY,,0
SSEBOP,2021-12-01,7-015,7-015,BESSEMER VALLEY,BESSEMER VALLEY,,0
SSEBOP,2021-12-01,6-025,6-025,BICYCLE VALLEY,BICYCLE VALLEY,,0
SSEBOP,2021-12-01,1-027,1-027,BIG LAGOON AREA,BIG LAGOON AREA,12.461538,39
SSEBOP,2021-12-01,8-007,8-007,BIG MEADOWS VALLEY,BIG MEADOWS VALLEY,,0
SSEBOP,2021-12-01,1-045,1-045,BIG RIVER VALLEY,BIG RIVER VALLEY,,0
SSEBOP,2021-12-01,3-047,3-047,BIG SPRING AREA,BIG SPRING AREA,5.757081,918
SSEBOP,2021-12-01,5-015,5-015,BIG VALLEY,BIG VALLEY,17.408358,41040
SSEBOP,2021-12-01,5-004,5-004,BIG VALLEY,BIG VALLEY,10.230554,163107
SSEBOP,2021-12-01,3-030,3-030,BITTER WATER VALLEY,BITTER WATER VALLEY,12.389967,7575
SSEBOP,2021-12-01,6-013,6-013,BLACK SPRINGS VALLEY,BLACK SPRINGS VALLEY,,0
SSEBOP,2021-12-01,5-092,5-092,BLANCHARD VALLEY,BLANCHARD VALLEY,20.884956,1130
SSEBOP,2021-12-01,1-057,1-057,BODEGA BAY AREA,BODEGA BAY AREA,21.116883,154
SSEBOP,2021-12-01,7-024.01,7-024,BORREGO VALLEY,BORREGO VALLEY - BORREGO SPRINGS,28.686728,17397
SSEBOP,2021-12-01,7-024.02,7-024,BORREGO VALLEY,BORREGO VALLEY - OCOTILLO WELLS,19.166667,12
SSEBOP,2021-12-01,1-039,1-039,BRANSCOMB TOWN AREA,BRANSCOMB TOWN AREA,,0
SSEBOP,2021-12-01,1-017,1-017,BRAY TOWN AREA,BRAY TOWN AREA,4.972471,4250
SSEBOP,2021-12-01,6-008,6-008,BRIDGEPORT VALLEY,BRIDGEPORT VALLEY,4.147312,74902
SSEBOP,2021-12-01,7-008,7-008,BRISTOL VALLEY,BRISTOL VALLEY,16.472937,7963
SSEBOP,2021-12-01,5-080,5-080,BRITE VALLEY,BRITE VALLEY,10.980363,1324
SSEBOP,2021-12-01,6-032,6-032,BROADWELL VALLEY,BROADWELL VALLEY,,0
SSEBOP,2021-12-01,6-076,6-076,BROWN MOUNTAIN VALLEY,BROWN MOUNTAIN VALLEY,,0
SSEBOP,2021-12-01,7-054,7-054,BUCK RIDGE FAULT VALLEY,BUCK RIDGE FAULT VALLEY,,0
SSEBOP,2021-12-01,6-101,6-101,BULL FLAT,BULL FLAT,4.333333,48
SSEBOP,2021-12-01,5-048,5-048,BURNEY CREEK VALLEY,BURNEY CREEK VALLEY,10.33275,6852
SSEBOP,2021-12-01,5-017,5-017,BURNS VALLEY,BURNS VALLEY,14.790657,1734
SSEBOP,2021-12-01,5-051,5-051,BUTTE CREEK VALLEY,BUTTE CREEK VALLEY,,0
SSEBOP,2021-12-01,1-003,1-003,BUTTE VALLEY,BUTTE VALLEY,6.026098,144645
SSEBOP,2021-12-01,6-081,6-081,BUTTE VALLEY,BUTTE VALLEY,,0
SSEBOP,2021-12-01,6-070,6-070,CACTUS FLAT,CACTUS FLAT,,0
SSEBOP,2021-12-01,7-007,7-007,CADIZ VALLEY,CADIZ VALLEY,,0
SSEBOP,2021-12-01,6-090,6-090,CADY FAULT AREA,CADY FAULT AREA,,0
SSEBOP,2021-12-01,9-006,9-006,CAHUILLA VALLEY,CAHUILLA VALLEY,2.32176,6250
SSEBOP,2021-12-01,6-079,6-079,CALIFORNIA VALLEY,CALIFORNIA VALLEY,,0
SSEBOP,2021-12-01,7-041,7-041,CALZONA VALLEY,CALZONA VALLEY,,0
SSEBOP,2021-12-01,6-061,6-061,CAMEO AREA,CAMEO AREA,,0
SSEBOP,2021-12-01,9-028,9-028,CAMPO VALLEY,CAMPO VALLEY,9.0,126
SSEBOP,2021-12-01,7-046,7-046,CANEBRAKE VALLEY,CANEBRAKE VALLEY,,0
SSEBOP,2021-12-01,3-007,3-007,CARMEL VALLEY,CARMEL VALLEY,28.577223,1282
SSEBOP,2021-12-01,3-018,3-018,CARPINTERIA,CARPINTERIA,31.174551,13085
SSEBOP,2021-12-01,3-019,3-019,CARRIZO PLAIN,CARRIZO PLAIN,7.173403,22739
SSEBOP,2021-12-01,6-006,6-006,CARSON VALLEY,CARSON VALLEY,13.149732,10452
SSEBOP,2021-12-01,5-029,5-029,CASTAC LAKE VALLEY,CASTAC LAKE VALLEY,9.299054,846
SSEBOP,2021-12-01,2-008,2-008,CASTRO VALLEY,CASTRO VALLEY,,0
SSEBOP,2021-12-01,6-038,6-038,CAVES CANYON VALLEY,CAVES CANYON VALLEY,,0
SSEBOP,2021-12-01,5-045,5-045,CAYTON VALLEY,CAYTON VALLEY,11.340941,4250
SSEBOP,2021-12-01,3-038,3-038,CAYUCOS VALLEY,CAYUCOS VALLEY,,0
SSEBOP,2021-12-01,7-043,7-043,CHEMEHUEVI VALLEY,CHEMEHUEVI VALLEY,,0
SSEBOP,2021-12-01,7-032,7-032,CHOCOLATE VALLEY,CHOCOLATE VALLEY,5.835821,67
SSEBOP,2021-12-01,3-005,3-005,CHOLAME VALLEY,CHOLAME VALLEY,14.048369,17718
SSEBOP,2021-12-01,3-042,3-042,CHORRO VALLEY,CHORRO VALLEY,17.093436,1295
SSEBOP,2021-12-01,5-061,5-061,CHROME TOWN AREA,CHROME TOWN AREA,24.227006,511
SSEBOP,2021-12-01,7-005,7-005,CHUCKWALLA VALLEY,CHUCKWALLA VALLEY,28.606864,4604
SSEBOP,2021-12-01,2-005,2-005,CLAYTON VALLEY,CLAYTON VALLEY,18.523006,652
SSEBOP,2021-12-01,5-066,5-066,CLEAR LAKE CACHE FORMATION,CLEAR LAKE CACHE FORMATION,14.22766,940
SSEBOP,2021-12-01,5-058,5-058,CLOVER VALLEY,CLOVER VALLEY,8.067248,1606
SSEBOP,2021-12-01,7-021.03,7-021,COACHELLA VALLEY,COACHELLA VALLEY - DESERT HOT SPRINGS,30.885735,2713
