Model,Date,Basin_Subb,Basin_Numb,Basin_Name,Basin_Su_1,ET,Pixel_Count
SSEBOP,2017-06-01,4-005,4-005,ACTON VALLEY,ACTON VALLEY,15.35479,668
SSEBOP,2017-06-01,6-010,6-010,ADOBE LAKE VALLEY,ADOBE LAKE VALLEY,,0
SSEBOP,2017-06-01,1-054.01,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - ALEXANDER AREA,81.922351,39743
SSEBOP,2017-06-01,1-054.02,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - CLOVERDALE AREA,85.754683,9502
SSEBOP,2017-06-01,5-002.01,5-002,ALTURAS AREA,ALTURAS AREA - SOUTH FORK PITT RIVER,126.917212,159794
SSEBOP,2017-06-01,5-002.02,5-002,ALTURAS AREA,ALTURAS AREA - WARM SPRINGS VALLEY,113.200672,74425
SSEBOP,2017-06-01,5-010,5-010,AMERICAN VALLEY,AMERICAN VALLEY,155.03427,9746
SSEBOP,2017-06-01,7-016,7-016,AMES VALLEY,AMES VALLEY,,0
SSEBOP,2017-06-01,7-034,7-034,AMOS VALLEY,AMOS VALLEY,,0
SSEBOP,2017-06-01,1-019,1-019,ANDERSON VALLEY,ANDERSON VALLEY,84.853394,5982
SSEBOP,2017-06-01,1-049,1-049,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,79.443264,2353
SSEBOP,2017-06-01,5-091,5-091,ANTELOPE CREEK,ANTELOPE CREEK,47.991277,1605
SSEBOP,2017-06-01,6-044,6-044,ANTELOPE VALLEY,ANTELOPE VALLEY,86.264679,137884
SSEBOP,2017-06-01,6-007,6-007,ANTELOPE VALLEY,ANTELOPE VALLEY,147.783188,48489
SSEBOP,2017-06-01,3-034,3-034,ARROYO DE LA CRUZ VALLEY,ARROYO DE LA CRUZ VALLEY,91.299257,538
SSEBOP,2017-06-01,2-031,2-031,ARROYO DEL HAMBRE VALLEY,ARROYO DEL HAMBRE VALLEY,,0
SSEBOP,2017-06-01,4-007,4-007,ARROYO SANTA ROSA VALLEY,ARROYO SANTA ROSA VALLEY,64.188945,7870
SSEBOP,2017-06-01,7-037,7-037,ARROYO SECO VALLEY,ARROYO SECO VALLEY,,0
SSEBOP,2017-06-01,5-054,5-054,ASH VALLEY,ASH VALLEY,138.905667,12106
SSEBOP,2017-06-01,6-026,6-026,AVAWATZ VALLEY,AVAWATZ VALLEY,,0
SSEBOP,2017-06-01,3-020,3-020,A�O NUEVO AREA,A�O NUEVO AREA,51.424081,1877
SSEBOP,2017-06-01,9-022,9-022,BATIQUITOS LAGOON VALLEY,BATIQUITOS LAGOON VALLEY,97.05,620
SSEBOP,2017-06-01,8-009,8-009,BEAR VALLEY,BEAR VALLEY,155.43379,219
SSEBOP,2017-06-01,5-064,5-064,BEAR VALLEY,BEAR VALLEY,109.25098,510
SSEBOP,2017-06-01,5-020,5-020,BERRYESSA VALLEY,BERRYESSA VALLEY,,0
SSEBOP,2017-06-01,7-015,7-015,BESSEMER VALLEY,BESSEMER VALLEY,,0
SSEBOP,2017-06-01,6-025,6-025,BICYCLE VALLEY,BICYCLE VALLEY,,0
SSEBOP,2017-06-01,1-027,1-027,BIG LAGOON AREA,BIG LAGOON AREA,,0
SSEBOP,2017-06-01,8-007,8-007,BIG MEADOWS VALLEY,BIG MEADOWS VALLEY,,0
SSEBOP,2017-06-01,1-045,1-045,BIG RIVER VALLEY,BIG RIVER VALLEY,,0
SSEBOP,2017-06-01,3-047,3-047,BIG SPRING AREA,BIG SPRING AREA,30.295207,918
SSEBOP,2017-06-01,5-015,5-015,BIG VALLEY,BIG VALLEY,87.635819,41040
SSEBOP,2017-06-01,5-004,5-004,BIG VALLEY,BIG VALLEY,114.232716,163109
SSEBOP,2017-06-01,3-030,3-030,BITTER WATER VALLEY,BITTER WATER VALLEY,43.336898,7575
SSEBOP,2017-06-01,6-013,6-013,BLACK SPRINGS VALLEY,BLACK SPRINGS VALLEY,,0
SSEBOP,2017-06-01,5-092,5-092,BLANCHARD VALLEY,BLANCHARD VALLEY,33.60177,1130
SSEBOP,2017-06-01,1-057,1-057,BODEGA BAY AREA,BODEGA BAY AREA,92.88961,154
SSEBOP,2017-06-01,7-024.01,7-024,BORREGO VALLEY,BORREGO VALLEY - BORREGO SPRINGS,96.322814,17397
SSEBOP,2017-06-01,7-024.02,7-024,BORREGO VALLEY,BORREGO VALLEY - OCOTILLO WELLS,15.666667,12
SSEBOP,2017-06-01,1-039,1-039,BRANSCOMB TOWN AREA,BRANSCOMB TOWN AREA,,0
SSEBOP,2017-06-01,1-017,1-017,BRAY TOWN AREA,BRAY TOWN AREA,140.733412,4250
SSEBOP,2017-06-01,6-008,6-008,BRIDGEPORT VALLEY,BRIDGEPORT VALLEY,147.691023,74902
SSEBOP,2017-06-01,7-008,7-008,BRISTOL VALLEY,BRISTOL VALLEY,2.658546,7963
SSEBOP,2017-06-01,5-080,5-080,BRITE VALLEY,BRITE VALLEY,101.655589,1324
SSEBOP,2017-06-01,6-032,6-032,BROADWELL VALLEY,BROADWELL VALLEY,,0
SSEBOP,2017-06-01,6-076,6-076,BROWN MOUNTAIN VALLEY,BROWN MOUNTAIN VALLEY,,0
SSEBOP,2017-06-01,7-054,7-054,BUCK RIDGE FAULT VALLEY,BUCK RIDGE FAULT VALLEY,,0
SSEBOP,2017-06-01,6-101,6-101,BULL FLAT,BULL FLAT,72.895833,48
SSEBOP,2017-06-01,5-048,5-048,BURNEY CREEK VALLEY,BURNEY CREEK VALLEY,135.978255,6852
SSEBOP,2017-06-01,5-017,5-017,BURNS VALLEY,BURNS VALLEY,69.788351,1734
SSEBOP,2017-06-01,5-051,5-051,BUTTE CREEK VALLEY,BUTTE CREEK VALLEY,,0
SSEBOP,2017-06-01,1-003,1-003,BUTTE VALLEY,BUTTE VALLEY,85.158296,149448
SSEBOP,2017-06-01,6-081,6-081,BUTTE VALLEY,BUTTE VALLEY,,0
SSEBOP,2017-06-01,6-070,6-070,CACTUS FLAT,CACTUS FLAT,,0
SSEBOP,2017-06-01,7-007,7-007,CADIZ VALLEY,CADIZ VALLEY,,0
SSEBOP,2017-06-01,6-090,6-090,CADY FAULT AREA,CADY FAULT AREA,,0
SSEBOP,2017-06-01,9-006,9-006,CAHUILLA VALLEY,CAHUILLA VALLEY,56.844,6250
SSEBOP,2017-06-01,6-079,6-079,CALIFORNIA VALLEY,CALIFORNIA VALLEY,,0
SSEBOP,2017-06-01,7-041,7-041,CALZONA VALLEY,CALZONA VALLEY,,0
SSEBOP,2017-06-01,6-061,6-061,CAMEO AREA,CAMEO AREA,,0
SSEBOP,2017-06-01,9-028,9-028,CAMPO VALLEY,CAMPO VALLEY,42.666667,126
SSEBOP,2017-06-01,7-046,7-046,CANEBRAKE VALLEY,CANEBRAKE VALLEY,,0
SSEBOP,2017-06-01,3-007,3-007,CARMEL VALLEY,CARMEL VALLEY,69.096724,1282
SSEBOP,2017-06-01,3-018,3-018,CARPINTERIA,CARPINTERIA,82.608228,13102
SSEBOP,2017-06-01,3-019,3-019,CARRIZO PLAIN,CARRIZO PLAIN,16.224064,22739
SSEBOP,2017-06-01,6-006,6-006,CARSON VALLEY,CARSON VALLEY,149.084443,10516
SSEBOP,2017-06-01,5-029,5-029,CASTAC LAKE VALLEY,CASTAC LAKE VALLEY,21.678487,846
SSEBOP,2017-06-01,2-008,2-008,CASTRO VALLEY,CASTRO VALLEY,,0
SSEBOP,2017-06-01,6-038,6-038,CAVES CANYON VALLEY,CAVES CANYON VALLEY,,0
SSEBOP,2017-06-01,5-045,5-045,CAYTON VALLEY,CAYTON VALLEY,146.740471,4250
