Model,Date,Basin_Subb,Basin_Numb,Basin_Name,Basin_Su_1,ET,Pixel_Count
ENSEMBLE,2011-05-01,4-005,4-005,ACTON VALLEY,ACTON VALLEY,58.447605,668
ENSEMBLE,2011-05-01,6-010,6-010,ADOBE LAKE VALLEY,ADOBE LAKE VALLEY,,0
ENSEMBLE,2011-05-01,1-054.01,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - ALEXANDER AREA,54.705307,39743
ENSEMBLE,2011-05-01,1-054.02,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - CLOVERDALE AREA,55.181856,9502
ENSEMBLE,2011-05-01,5-002.01,5-002,ALTURAS AREA,ALTURAS AREA - SOUTH FORK PITT RIVER,97.987778,159794
ENSEMBLE,2011-05-01,5-002.02,5-002,ALTURAS AREA,ALTURAS AREA - WARM SPRINGS VALLEY,88.210333,74425
ENSEMBLE,2011-05-01,5-010,5-010,AMERICAN VALLEY,AMERICAN VALLEY,111.586702,9746
ENSEMBLE,2011-05-01,7-016,7-016,AMES VALLEY,AMES VALLEY,,0
ENSEMBLE,2011-05-01,7-034,7-034,AMOS VALLEY,AMOS VALLEY,,0
ENSEMBLE,2011-05-01,1-019,1-019,ANDERSON VALLEY,ANDERSON VALLEY,82.34888,5982
ENSEMBLE,2011-05-01,1-049,1-049,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,63.294943,2353
ENSEMBLE,2011-05-01,5-091,5-091,ANTELOPE CREEK,ANTELOPE CREEK,92.328972,1605
ENSEMBLE,2011-05-01,6-044,6-044,ANTELOPE VALLEY,ANTELOPE VALLEY,86.98741,137884
ENSEMBLE,2011-05-01,6-007,6-007,ANTELOPE VALLEY,ANTELOPE VALLEY,93.801171,48489
ENSEMBLE,2011-05-01,3-034,3-034,ARROYO DE LA CRUZ VALLEY,ARROYO DE LA CRUZ VALLEY,124.249071,538
ENSEMBLE,2011-05-01,2-031,2-031,ARROYO DEL HAMBRE VALLEY,ARROYO DEL HAMBRE VALLEY,,0
ENSEMBLE,2011-05-01,4-007,4-007,ARROYO SANTA ROSA VALLEY,ARROYO SANTA ROSA VALLEY,86.446252,7870
ENSEMBLE,2011-05-01,7-037,7-037,ARROYO SECO VALLEY,ARROYO SECO VALLEY,,0
ENSEMBLE,2011-05-01,5-054,5-054,ASH VALLEY,ASH VALLEY,98.431522,12106
ENSEMBLE,2011-05-01,6-026,6-026,AVAWATZ VALLEY,AVAWATZ VALLEY,,0
ENSEMBLE,2011-05-01,3-020,3-020,A�O NUEVO AREA,A�O NUEVO AREA,85.709643,1877
ENSEMBLE,2011-05-01,9-022,9-022,BATIQUITOS LAGOON VALLEY,BATIQUITOS LAGOON VALLEY,84.783871,620
ENSEMBLE,2011-05-01,8-009,8-009,BEAR VALLEY,BEAR VALLEY,95.716895,219
ENSEMBLE,2011-05-01,5-064,5-064,BEAR VALLEY,BEAR VALLEY,116.419608,510
ENSEMBLE,2011-05-01,5-020,5-020,BERRYESSA VALLEY,BERRYESSA VALLEY,,0
ENSEMBLE,2011-05-01,7-015,7-015,BESSEMER VALLEY,BESSEMER VALLEY,,0
ENSEMBLE,2011-05-01,6-025,6-025,BICYCLE VALLEY,BICYCLE VALLEY,,0
ENSEMBLE,2011-05-01,1-027,1-027,BIG LAGOON AREA,BIG LAGOON AREA,95.358974,39
ENSEMBLE,2011-05-01,8-007,8-007,BIG MEADOWS VALLEY,BIG MEADOWS VALLEY,,0
ENSEMBLE,2011-05-01,1-045,1-045,BIG RIVER VALLEY,BIG RIVER VALLEY,,0
ENSEMBLE,2011-05-01,3-047,3-047,BIG SPRING AREA,BIG SPRING AREA,60.586057,918
