Model,Date,Basin_Subb,Basin_Numb,Basin_Name,Basin_Su_1,ET,Pixel_Count
ENSEMBLE,2011-01-01,4-005,4-005,ACTON VALLEY,ACTON VALLEY,20.109281,668
ENSEMBLE,2011-01-01,6-010,6-010,ADOBE LAKE VALLEY,ADOBE LAKE VALLEY,,0
ENSEMBLE,2011-01-01,1-054.01,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - ALEXANDER AREA,25.077875,39743
ENSEMBLE,2011-01-01,1-054.02,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - CLOVERDALE AREA,27.898114,9491
ENSEMBLE,2011-01-01,5-002.01,5-002,ALTURAS AREA,ALTURAS AREA - SOUTH FORK PITT RIVER,14.836521,159794
ENSEMBLE,2011-01-01,5-002.02,5-002,ALTURAS AREA,ALTURAS AREA - WARM SPRINGS VALLEY,15.851268,74389
ENSEMBLE,2011-01-01,5-010,5-010,AMERICAN VALLEY,AMERICAN VALLEY,23.465011,9746
ENSEMBLE,2011-01-01,7-016,7-016,AMES VALLEY,AMES VALLEY,,0
ENSEMBLE,2011-01-01,7-034,7-034,AMOS VALLEY,AMOS VALLEY,,0
ENSEMBLE,2011-01-01,1-019,1-019,ANDERSON VALLEY,ANDERSON VALLEY,33.292706,5374
ENSEMBLE,2011-01-01,1-049,1-049,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,28.114322,2353
ENSEMBLE,2011-01-01,5-091,5-091,ANTELOPE CREEK,ANTELOPE CREEK,21.558879,1605
ENSEMBLE,2011-01-01,6-044,6-044,ANTELOPE VALLEY,ANTELOPE VALLEY,23.423233,137884
ENSEMBLE,2011-01-01,6-007,6-007,ANTELOPE VALLEY,ANTELOPE VALLEY,23.557805,48447
ENSEMBLE,2011-01-01,3-034,3-034,ARROYO DE LA CRUZ VALLEY,ARROYO DE LA CRUZ VALLEY,50.698885,538
ENSEMBLE,2011-01-01,2-031,2-031,ARROYO DEL HAMBRE VALLEY,ARROYO DEL HAMBRE VALLEY,,0
ENSEMBLE,2011-01-01,4-007,4-007,ARROYO SANTA ROSA VALLEY,ARROYO SANTA ROSA VALLEY,33.643964,7870
ENSEMBLE,2011-01-01,7-037,7-037,ARROYO SECO VALLEY,ARROYO SECO VALLEY,,0
ENSEMBLE,2011-01-01,5-054,5-054,ASH VALLEY,ASH VALLEY,14.704857,12106
ENSEMBLE,2011-01-01,6-026,6-026,AVAWATZ VALLEY,AVAWATZ VALLEY,,0
ENSEMBLE,2011-01-01,3-020,3-020,A�O NUEVO AREA,A�O NUEVO AREA,35.052744,1877
ENSEMBLE,2011-01-01,9-022,9-022,BATIQUITOS LAGOON VALLEY,BATIQUITOS LAGOON VALLEY,37.358065,620
ENSEMBLE,2011-01-01,8-009,8-009,BEAR VALLEY,BEAR VALLEY,16.607143,28
ENSEMBLE,2011-01-01,5-064,5-064,BEAR VALLEY,BEAR VALLEY,22.568627,510
ENSEMBLE,2011-01-01,5-020,5-020,BERRYESSA VALLEY,BERRYESSA VALLEY,,0
ENSEMBLE,2011-01-01,7-015,7-015,BESSEMER VALLEY,BESSEMER VALLEY,,0
ENSEMBLE,2011-01-01,6-025,6-025,BICYCLE VALLEY,BICYCLE VALLEY,,0
ENSEMBLE,2011-01-01,1-027,1-027,BIG LAGOON AREA,BIG LAGOON AREA,42.205128,39
ENSEMBLE,2011-01-01,8-007,8-007,BIG MEADOWS VALLEY,BIG MEADOWS VALLEY,,0
ENSEMBLE,2011-01-01,1-045,1-045,BIG RIVER VALLEY,BIG RIVER VALLEY,,0
ENSEMBLE,2011-01-01,3-047,3-047,BIG SPRING AREA,BIG SPRING AREA,20.910675,918
ENSEMBLE,2011-01-01,5-015,5-015,BIG VALLEY,BIG VALLEY,26.683576,41002
