Model,Date,Basin_Subb,Basin_Numb,Basin_Name,Basin_Su_1,ET,Pixel_Count
ENSEMBLE,2010-10-01,4-005,4-005,ACTON VALLEY,ACTON VALLEY,14.600299,668
ENSEMBLE,2010-10-01,6-010,6-010,ADOBE LAKE VALLEY,ADOBE LAKE VALLEY,,0
ENSEMBLE,2010-10-01,1-054.01,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - ALEXANDER AREA,44.114712,39743
ENSEMBLE,2010-10-01,1-054.02,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - CLOVERDALE AREA,38.9237,9502
ENSEMBLE,2010-10-01,5-002.01,5-002,ALTURAS AREA,ALTURAS AREA - SOUTH FORK PITT RIVER,42.993905,159794
ENSEMBLE,2010-10-01,5-002.02,5-002,ALTURAS AREA,ALTURAS AREA - WARM SPRINGS VALLEY,32.95347,74425
ENSEMBLE,2010-10-01,5-010,5-010,AMERICAN VALLEY,AMERICAN VALLEY,42.957931,9746
ENSEMBLE,2010-10-01,7-016,7-016,AMES VALLEY,AMES VALLEY,,0
ENSEMBLE,2010-10-01,7-034,7-034,AMOS VALLEY,AMOS VALLEY,,0
ENSEMBLE,2010-10-01,1-019,1-019,ANDERSON VALLEY,ANDERSON VALLEY,35.216148,5982
ENSEMBLE,2010-10-01,1-049,1-049,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,37.860603,2353
ENSEMBLE,2010-10-01,5-091,5-091,ANTELOPE CREEK,ANTELOPE CREEK,14.088474,1605
ENSEMBLE,2010-10-01,6-044,6-044,ANTELOPE VALLEY,ANTELOPE VALLEY,37.431312,137884
ENSEMBLE,2010-10-01,6-007,6-007,ANTELOPE VALLEY,ANTELOPE VALLEY,46.649158,48489
ENSEMBLE,2010-10-01,3-034,3-034,ARROYO DE LA CRUZ VALLEY,ARROYO DE LA CRUZ VALLEY,67.275093,538
ENSEMBLE,2010-10-01,2-031,2-031,ARROYO DEL HAMBRE VALLEY,ARROYO DEL HAMBRE VALLEY,,0
ENSEMBLE,2010-10-01,4-007,4-007,ARROYO SANTA ROSA VALLEY,ARROYO SANTA ROSA VALLEY,44.937738,7870
ENSEMBLE,2010-10-01,7-037,7-037,ARROYO SECO VALLEY,ARROYO SECO VALLEY,,0
ENSEMBLE,2010-10-01,5-054,5-054,ASH VALLEY,ASH VALLEY,31.231703,12106
ENSEMBLE,2010-10-01,6-026,6-026,AVAWATZ VALLEY,AVAWATZ VALLEY,,0
ENSEMBLE,2010-10-01,3-020,3-020,A�O NUEVO AREA,A�O NUEVO AREA,44.75919,1877
ENSEMBLE,2010-10-01,9-022,9-022,BATIQUITOS LAGOON VALLEY,BATIQUITOS LAGOON VALLEY,67.314516,620
ENSEMBLE,2010-10-01,8-009,8-009,BEAR VALLEY,BEAR VALLEY,59.0,219
ENSEMBLE,2010-10-01,5-064,5-064,BEAR VALLEY,BEAR VALLEY,13.42549,510
ENSEMBLE,2010-10-01,5-020,5-020,BERRYESSA VALLEY,BERRYESSA VALLEY,,0
ENSEMBLE,2010-10-01,7-015,7-015,BESSEMER VALLEY,BESSEMER VALLEY,,0
ENSEMBLE,2010-10-01,6-025,6-025,BICYCLE VALLEY,BICYCLE VALLEY,,0
ENSEMBLE,2010-10-01,1-027,1-027,BIG LAGOON AREA,BIG LAGOON AREA,56.076923,39
ENSEMBLE,2010-10-01,8-007,8-007,BIG MEADOWS VALLEY,BIG MEADOWS VALLEY,,0
ENSEMBLE,2010-10-01,1-045,1-045,BIG RIVER VALLEY,BIG RIVER VALLEY,,0
ENSEMBLE,2010-10-01,3-047,3-047,BIG SPRING AREA,BIG SPRING AREA,15.311547,918
ENSEMBLE,2010-10-01,5-015,5-015,BIG VALLEY,BIG VALLEY,40.209089,41040
ENSEMBLE,2010-10-01,5-004,5-004,BIG VALLEY,BIG VALLEY,27.136001,163109
ENSEMBLE,2010-10-01,3-030,3-030,BITTER WATER VALLEY,BITTER WATER VALLEY,17.000132,7575
ENSEMBLE,2010-10-01,6-013,6-013,BLACK SPRINGS VALLEY,BLACK SPRINGS VALLEY,,0
ENSEMBLE,2010-10-01,5-092,5-092,BLANCHARD VALLEY,BLANCHARD VALLEY,12.859292,1130
ENSEMBLE,2010-10-01,1-057,1-057,BODEGA BAY AREA,BODEGA BAY AREA,40.032468,154
ENSEMBLE,2010-10-01,7-024.01,7-024,BORREGO VALLEY,BORREGO VALLEY - BORREGO SPRINGS,58.703512,17397
ENSEMBLE,2010-10-01,7-024.02,7-024,BORREGO VALLEY,BORREGO VALLEY - OCOTILLO WELLS,11.916667,12
ENSEMBLE,2010-10-01,1-039,1-039,BRANSCOMB TOWN AREA,BRANSCOMB TOWN AREA,,0
ENSEMBLE,2010-10-01,1-017,1-017,BRAY TOWN AREA,BRAY TOWN AREA,32.864706,4250
ENSEMBLE,2010-10-01,6-008,6-008,BRIDGEPORT VALLEY,BRIDGEPORT VALLEY,33.374049,74902
ENSEMBLE,2010-10-01,7-008,7-008,BRISTOL VALLEY,BRISTOL VALLEY,18.342082,7963
ENSEMBLE,2010-10-01,5-080,5-080,BRITE VALLEY,BRITE VALLEY,32.537009,1324
ENSEMBLE,2010-10-01,6-032,6-032,BROADWELL VALLEY,BROADWELL VALLEY,,0
ENSEMBLE,2010-10-01,6-076,6-076,BROWN MOUNTAIN VALLEY,BROWN MOUNTAIN VALLEY,,0
ENSEMBLE,2010-10-01,7-054,7-054,BUCK RIDGE FAULT VALLEY,BUCK RIDGE FAULT VALLEY,,0
ENSEMBLE,2010-10-01,6-101,6-101,BULL FLAT,BULL FLAT,15.875,48
ENSEMBLE,2010-10-01,5-048,5-048,BURNEY CREEK VALLEY,BURNEY CREEK VALLEY,21.294221,6852
ENSEMBLE,2010-10-01,5-017,5-017,BURNS VALLEY,BURNS VALLEY,32.069781,1734
ENSEMBLE,2010-10-01,5-051,5-051,BUTTE CREEK VALLEY,BUTTE CREEK VALLEY,,0
ENSEMBLE,2010-10-01,1-003,1-003,BUTTE VALLEY,BUTTE VALLEY,32.487266,149448
ENSEMBLE,2010-10-01,6-081,6-081,BUTTE VALLEY,BUTTE VALLEY,,0
ENSEMBLE,2010-10-01,6-070,6-070,CACTUS FLAT,CACTUS FLAT,,0
ENSEMBLE,2010-10-01,7-007,7-007,CADIZ VALLEY,CADIZ VALLEY,,0
ENSEMBLE,2010-10-01,6-090,6-090,CADY FAULT AREA,CADY FAULT AREA,,0
ENSEMBLE,2010-10-01,9-006,9-006,CAHUILLA VALLEY,CAHUILLA VALLEY,28.14,6250
ENSEMBLE,2010-10-01,6-079,6-079,CALIFORNIA VALLEY,CALIFORNIA VALLEY,,0
ENSEMBLE,2010-10-01,7-041,7-041,CALZONA VALLEY,CALZONA VALLEY,,0
ENSEMBLE,2010-10-01,6-061,6-061,CAMEO AREA,CAMEO AREA,,0
ENSEMBLE,2010-10-01,9-028,9-028,CAMPO VALLEY,CAMPO VALLEY,27.150794,126
ENSEMBLE,2010-10-01,7-046,7-046,CANEBRAKE VALLEY,CANEBRAKE VALLEY,,0
ENSEMBLE,2010-10-01,3-007,3-007,CARMEL VALLEY,CARMEL VALLEY,42.00312,1282
ENSEMBLE,2010-10-01,3-018,3-018,CARPINTERIA,CARPINTERIA,45.263345,12964
ENSEMBLE,2010-10-01,3-019,3-019,CARRIZO PLAIN,CARRIZO PLAIN,27.637187,22739
ENSEMBLE,2010-10-01,6-006,6-006,CARSON VALLEY,CARSON VALLEY,42.207684,10516
