Model,Date,Basin_Subb,Basin_Numb,Basin_Name,Basin_Su_1,ET,Pixel_Count
ENSEMBLE,2017-08-01,4-005,4-005,ACTON VALLEY,ACTON VALLEY,33.592814,668
ENSEMBLE,2017-08-01,6-010,6-010,ADOBE LAKE VALLEY,ADOBE LAKE VALLEY,,0
ENSEMBLE,2017-08-01,1-054.01,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - ALEXANDER AREA,77.442166,39743
ENSEMBLE,2017-08-01,1-054.02,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - CLOVERDALE AREA,77.062197,9502
ENSEMBLE,2017-08-01,5-002.01,5-002,ALTURAS AREA,ALTURAS AREA - SOUTH FORK PITT RIVER,115.508135,159794
ENSEMBLE,2017-08-01,5-002.02,5-002,ALTURAS AREA,ALTURAS AREA - WARM SPRINGS VALLEY,93.835351,74425
ENSEMBLE,2017-08-01,5-010,5-010,AMERICAN VALLEY,AMERICAN VALLEY,115.049764,9746
ENSEMBLE,2017-08-01,7-016,7-016,AMES VALLEY,AMES VALLEY,,0
ENSEMBLE,2017-08-01,7-034,7-034,AMOS VALLEY,AMOS VALLEY,,0
ENSEMBLE,2017-08-01,1-019,1-019,ANDERSON VALLEY,ANDERSON VALLEY,60.761284,5982
ENSEMBLE,2017-08-01,1-049,1-049,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,55.271993,2353
ENSEMBLE,2017-08-01,5-091,5-091,ANTELOPE CREEK,ANTELOPE CREEK,32.380062,1605
ENSEMBLE,2017-08-01,6-044,6-044,ANTELOPE VALLEY,ANTELOPE VALLEY,64.871232,137884
ENSEMBLE,2017-08-01,6-007,6-007,ANTELOPE VALLEY,ANTELOPE VALLEY,133.458207,48489
ENSEMBLE,2017-08-01,3-034,3-034,ARROYO DE LA CRUZ VALLEY,ARROYO DE LA CRUZ VALLEY,102.087361,538
ENSEMBLE,2017-08-01,2-031,2-031,ARROYO DEL HAMBRE VALLEY,ARROYO DEL HAMBRE VALLEY,,0
ENSEMBLE,2017-08-01,4-007,4-007,ARROYO SANTA ROSA VALLEY,ARROYO SANTA ROSA VALLEY,88.100635,7870
ENSEMBLE,2017-08-01,7-037,7-037,ARROYO SECO VALLEY,ARROYO SECO VALLEY,,0
ENSEMBLE,2017-08-01,5-054,5-054,ASH VALLEY,ASH VALLEY,91.546919,12106
ENSEMBLE,2017-08-01,6-026,6-026,AVAWATZ VALLEY,AVAWATZ VALLEY,,0
ENSEMBLE,2017-08-01,3-020,3-020,A�O NUEVO AREA,A�O NUEVO AREA,88.474694,1877
ENSEMBLE,2017-08-01,9-022,9-022,BATIQUITOS LAGOON VALLEY,BATIQUITOS LAGOON VALLEY,128.414516,620
ENSEMBLE,2017-08-01,8-009,8-009,BEAR VALLEY,BEAR VALLEY,104.173516,219
ENSEMBLE,2017-08-01,5-064,5-064,BEAR VALLEY,BEAR VALLEY,60.492157,510
ENSEMBLE,2017-08-01,5-020,5-020,BERRYESSA VALLEY,BERRYESSA VALLEY,,0
ENSEMBLE,2017-08-01,7-015,7-015,BESSEMER VALLEY,BESSEMER VALLEY,,0
ENSEMBLE,2017-08-01,6-025,6-025,BICYCLE VALLEY,BICYCLE VALLEY,,0
ENSEMBLE,2017-08-01,1-027,1-027,BIG LAGOON AREA,BIG LAGOON AREA,118.358974,39
ENSEMBLE,2017-08-01,8-007,8-007,BIG MEADOWS VALLEY,BIG MEADOWS VALLEY,,0
ENSEMBLE,2017-08-01,1-045,1-045,BIG RIVER VALLEY,BIG RIVER VALLEY,,0
ENSEMBLE,2017-08-01,3-047,3-047,BIG SPRING AREA,BIG SPRING AREA,9.027233,918
ENSEMBLE,2017-08-01,5-015,5-015,BIG VALLEY,BIG VALLEY,74.123075,41040
ENSEMBLE,2017-08-01,5-004,5-004,BIG VALLEY,BIG VALLEY,93.108731,163109
ENSEMBLE,2017-08-01,3-030,3-030,BITTER WATER VALLEY,BITTER WATER VALLEY,29.633003,7575
ENSEMBLE,2017-08-01,6-013,6-013,BLACK SPRINGS VALLEY,BLACK SPRINGS VALLEY,,0
ENSEMBLE,2017-08-01,5-092,5-092,BLANCHARD VALLEY,BLANCHARD VALLEY,25.783186,1130
ENSEMBLE,2017-08-01,1-057,1-057,BODEGA BAY AREA,BODEGA BAY AREA,81.961039,154
ENSEMBLE,2017-08-01,7-024.01,7-024,BORREGO VALLEY,BORREGO VALLEY - BORREGO SPRINGS,75.049779,17397
ENSEMBLE,2017-08-01,7-024.02,7-024,BORREGO VALLEY,BORREGO VALLEY - OCOTILLO WELLS,13.916667,12
ENSEMBLE,2017-08-01,1-039,1-039,BRANSCOMB TOWN AREA,BRANSCOMB TOWN AREA,,0
ENSEMBLE,2017-08-01,1-017,1-017,BRAY TOWN AREA,BRAY TOWN AREA,117.310824,4250
ENSEMBLE,2017-08-01,6-008,6-008,BRIDGEPORT VALLEY,BRIDGEPORT VALLEY,122.488518,74902
ENSEMBLE,2017-08-01,7-008,7-008,BRISTOL VALLEY,BRISTOL VALLEY,7.96873,7963
ENSEMBLE,2017-08-01,5-080,5-080,BRITE VALLEY,BRITE VALLEY,73.567221,1324
ENSEMBLE,2017-08-01,6-032,6-032,BROADWELL VALLEY,BROADWELL VALLEY,,0
ENSEMBLE,2017-08-01,6-076,6-076,BROWN MOUNTAIN VALLEY,BROWN MOUNTAIN VALLEY,,0
ENSEMBLE,2017-08-01,7-054,7-054,BUCK RIDGE FAULT VALLEY,BUCK RIDGE FAULT VALLEY,,0
ENSEMBLE,2017-08-01,6-101,6-101,BULL FLAT,BULL FLAT,54.458333,48
ENSEMBLE,2017-08-01,5-048,5-048,BURNEY CREEK VALLEY,BURNEY CREEK VALLEY,88.844571,6852
ENSEMBLE,2017-08-01,5-017,5-017,BURNS VALLEY,BURNS VALLEY,44.831027,1734
ENSEMBLE,2017-08-01,5-051,5-051,BUTTE CREEK VALLEY,BUTTE CREEK VALLEY,,0
ENSEMBLE,2017-08-01,1-003,1-003,BUTTE VALLEY,BUTTE VALLEY,89.766688,149448
ENSEMBLE,2017-08-01,6-081,6-081,BUTTE VALLEY,BUTTE VALLEY,,0
ENSEMBLE,2017-08-01,6-070,6-070,CACTUS FLAT,CACTUS FLAT,,0
ENSEMBLE,2017-08-01,7-007,7-007,CADIZ VALLEY,CADIZ VALLEY,,0
ENSEMBLE,2017-08-01,6-090,6-090,CADY FAULT AREA,CADY FAULT AREA,,0
ENSEMBLE,2017-08-01,9-006,9-006,CAHUILLA VALLEY,CAHUILLA VALLEY,40.36688,6250
ENSEMBLE,2017-08-01,6-079,6-079,CALIFORNIA VALLEY,CALIFORNIA VALLEY,,0
ENSEMBLE,2017-08-01,7-041,7-041,CALZONA VALLEY,CALZONA VALLEY,,0
ENSEMBLE,2017-08-01,6-061,6-061,CAMEO AREA,CAMEO AREA,,0
ENSEMBLE,2017-08-01,9-028,9-028,CAMPO VALLEY,CAMPO VALLEY,39.174603,126
ENSEMBLE,2017-08-01,7-046,7-046,CANEBRAKE VALLEY,CANEBRAKE VALLEY,,0
ENSEMBLE,2017-08-01,3-007,3-007,CARMEL VALLEY,CARMEL VALLEY,85.311232,1282
ENSEMBLE,2017-08-01,3-018,3-018,CARPINTERIA,CARPINTERIA,98.970008,11703
ENSEMBLE,2017-08-01,3-019,3-019,CARRIZO PLAIN,CARRIZO PLAIN,13.628524,22739
ENSEMBLE,2017-08-01,6-006,6-006,CARSON VALLEY,CARSON VALLEY,122.95949,10516
ENSEMBLE,2017-08-01,5-029,5-029,CASTAC LAKE VALLEY,CASTAC LAKE VALLEY,23.547281,846
ENSEMBLE,2017-08-01,2-008,2-008,CASTRO VALLEY,CASTRO VALLEY,,0
ENSEMBLE,2017-08-01,6-038,6-038,CAVES CANYON VALLEY,CAVES CANYON VALLEY,,0
ENSEMBLE,2017-08-01,5-045,5-045,CAYTON VALLEY,CAYTON VALLEY,143.427059,4250
ENSEMBLE,2017-08-01,3-038,3-038,CAYUCOS VALLEY,CAYUCOS VALLEY,,0
ENSEMBLE,2017-08-01,7-043,7-043,CHEMEHUEVI VALLEY,CHEMEHUEVI VALLEY,,0
ENSEMBLE,2017-08-01,7-032,7-032,CHOCOLATE VALLEY,CHOCOLATE VALLEY,13.238806,67
ENSEMBLE,2017-08-01,3-005,3-005,CHOLAME VALLEY,CHOLAME VALLEY,41.994808,17718
ENSEMBLE,2017-08-01,3-042,3-042,CHORRO VALLEY,CHORRO VALLEY,103.426255,1295
ENSEMBLE,2017-08-01,5-061,5-061,CHROME TOWN AREA,CHROME TOWN AREA,7.320939,511
ENSEMBLE,2017-08-01,7-005,7-005,CHUCKWALLA VALLEY,CHUCKWALLA VALLEY,55.702867,4604
ENSEMBLE,2017-08-01,2-005,2-005,CLAYTON VALLEY,CLAYTON VALLEY,128.659509,652
ENSEMBLE,2017-08-01,5-066,5-066,CLEAR LAKE CACHE FORMATION,CLEAR LAKE CACHE FORMATION,49.688298,940
ENSEMBLE,2017-08-01,5-058,5-058,CLOVER VALLEY,CLOVER VALLEY,94.75467,1606
ENSEMBLE,2017-08-01,7-021.03,7-021,COACHELLA VALLEY,COACHELLA VALLEY - DESERT HOT SPRINGS,102.813491,2713
ENSEMBLE,2017-08-01,7-021.01,7-021,COACHELLA VALLEY,COACHELLA VALLEY - INDIO,98.68407,293745
ENSEMBLE,2017-08-01,7-021.02,7-021,COACHELLA VALLEY,COACHELLA VALLEY - MISSION CREEK,84.717791,978
ENSEMBLE,2017-08-01,7-021.04,7-021,COACHELLA VALLEY,COACHELLA VALLEY - SAN GORGONIO PASS,101.867978,356
ENSEMBLE,2017-08-01,4-011.04,4-011,COASTAL PLAIN OF LOS ANGELES,COASTAL PLAIN OF LOS ANGELES - CENTRAL,121.823983,7005
ENSEMBLE,2017-08-01,4-011.02,4-011,COASTAL PLAIN OF LOS ANGELES,COASTAL PLAIN OF LOS ANGELES - HOLLYWOOD,119.613003,323
ENSEMBLE,2017-08-01,4-011.01,4-011,COASTAL PLAIN OF LOS ANGELES,COASTAL PLAIN OF LOS ANGELES - SANTA MONICA,131.707836,4186
ENSEMBLE,2017-08-01,4-011.03,4-011,COASTAL PLAIN OF LOS ANGELES,COASTAL PLAIN OF LOS ANGELES - WEST COAST,111.119024,4058
ENSEMBLE,2017-08-01,8-001,8-001,COASTAL PLAIN OF ORANGE COUNTY,COASTAL PLAIN OF ORANGE COUNTY,106.255909,23946
ENSEMBLE,2017-08-01,9-033,9-033,COASTAL PLAIN OF SAN DIEGO,COASTAL PLAIN OF SAN DIEGO,96.09866,3507
ENSEMBLE,2017-08-01,6-072,6-072,COLES FLAT,COLES FLAT,,0
ENSEMBLE,2017-08-01,5-019,5-019,COLLAYOMI VALLEY,COLLAYOMI VALLEY,17.714694,3845
ENSEMBLE,2017-08-01,7-055,7-055,COLLINS VALLEY,COLLINS VALLEY,,0
ENSEMBLE,2017-08-01,4-010,4-010,CONEJO,CONEJO,106.937751,498
ENSEMBLE,2017-08-01,7-011,7-011,COPPER MOUNTAIN VALLEY,COPPER MOUNTAIN VALLEY,,0
ENSEMBLE,2017-08-01,3-002.01,3-002,CORRALITOS,CORRALITOS - PAJARO VALLEY,88.128512,109219
ENSEMBLE,2017-08-01,3-002.02,3-002,CORRALITOS,CORRALITOS - PURISIMA HIGHLANDS,64.618534,464
ENSEMBLE,2017-08-01,6-055,6-055,COSO VALLEY,COSO VALLEY,,0
ENSEMBLE,2017-08-01,1-037,1-037,COTTONEVA CREEK VALLEY,COTTONEVA CREEK VALLEY,,0
ENSEMBLE,2017-08-01,9-027,9-027,COTTONWOOD VALLEY,COTTONWOOD VALLEY,56.685714,70
ENSEMBLE,2017-08-01,1-011,1-011,COVELO ROUND VALLEY,COVELO ROUND VALLEY,59.065863,36576
ENSEMBLE,2017-08-01,6-091,6-091,COW HEAD LAKE VALLEY,COW HEAD LAKE VALLEY,97.814246,15639
ENSEMBLE,2017-08-01,6-037,6-037,COYOTE LAKE VALLEY,COYOTE LAKE VALLEY,50.176955,972
ENSEMBLE,2017-08-01,5-018,5-018,COYOTE VALLEY,COYOTE VALLEY,45.63116,6534
ENSEMBLE,2017-08-01,7-029,7-029,COYOTE WELLS VALLEY,COYOTE WELLS VALLEY,4.925,80
ENSEMBLE,2017-08-01,6-035,6-035,CRONISE VALLEY,CRONISE VALLEY,,0
ENSEMBLE,2017-08-01,6-050,6-050,CUDDEBACK VALLEY,CUDDEBACK VALLEY,,0
ENSEMBLE,2017-08-01,5-082,5-082,CUDDY CANYON VALLEY,CUDDY CANYON VALLEY,,0
ENSEMBLE,2017-08-01,5-083,5-083,CUDDY RANCH AREA,CUDDY RANCH AREA,,0
ENSEMBLE,2017-08-01,5-084,5-084,CUDDY VALLEY,CUDDY VALLEY,62.5625,16
ENSEMBLE,2017-08-01,5-027,5-027,CUMMINGS VALLEY,CUMMINGS VALLEY,102.078594,11464
ENSEMBLE,2017-08-01,3-013,3-013,CUYAMA VALLEY,CUYAMA VALLEY,48.491588,153773
ENSEMBLE,2017-08-01,7-009,7-009,DALE VALLEY,DALE VALLEY,3.164474,152
ENSEMBLE,2017-08-01,6-057,6-057,DARWIN VALLEY,DARWIN VALLEY,,0
ENSEMBLE,2017-08-01,7-061,7-061,DAVIES VALLEY,DAVIES VALLEY,,0
ENSEMBLE,2017-08-01,7-013.01,7-013,DEADMAN VALLEY,DEADMAN VALLEY - DEADMAN LAKE,,0
