Model,Date,Basin_Subb,Basin_Numb,Basin_Name,Basin_Su_1,ET,Pixel_Count
PTJPL,2015-03-01,4-005,4-005,ACTON VALLEY,ACTON VALLEY,52.95564,37173
PTJPL,2015-03-01,6-010,6-010,ADOBE LAKE VALLEY,ADOBE LAKE VALLEY,20.175364,179273
PTJPL,2015-03-01,1-054.01,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - ALEXANDER AREA,82.379831,110099
PTJPL,2015-03-01,1-054.02,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - CLOVERDALE AREA,74.156882,29366
PTJPL,2015-03-01,5-002.01,5-002,ALTURAS AREA,ALTURAS AREA - SOUTH FORK PITT RIVER,54.806956,513210
PTJPL,2015-03-01,5-002.02,5-002,ALTURAS AREA,ALTURAS AREA - WARM SPRINGS VALLEY,49.580004,305817
PTJPL,2015-03-01,5-010,5-010,AMERICAN VALLEY,AMERICAN VALLEY,67.55505,30572
PTJPL,2015-03-01,7-016,7-016,AMES VALLEY,AMES VALLEY,15.648828,487562
PTJPL,2015-03-01,7-034,7-034,AMOS VALLEY,AMOS VALLEY,10.852778,584286
PTJPL,2015-03-01,1-019,1-019,ANDERSON VALLEY,ANDERSON VALLEY,82.262139,22366
PTJPL,2015-03-01,1-049,1-049,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,95.277198,38900
PTJPL,2015-03-01,5-091,5-091,ANTELOPE CREEK,ANTELOPE CREEK,85.709537,9175
PTJPL,2015-03-01,6-044,6-044,ANTELOPE VALLEY,ANTELOPE VALLEY,34.459067,4542363
PTJPL,2015-03-01,6-007,6-007,ANTELOPE VALLEY,ANTELOPE VALLEY,37.345929,89741
PTJPL,2015-03-01,3-034,3-034,ARROYO DE LA CRUZ VALLEY,ARROYO DE LA CRUZ VALLEY,77.771866,3590
PTJPL,2015-03-01,2-031,2-031,ARROYO DEL HAMBRE VALLEY,ARROYO DEL HAMBRE VALLEY,90.440577,3534
PTJPL,2015-03-01,4-007,4-007,ARROYO SANTA ROSA VALLEY,ARROYO SANTA ROSA VALLEY,62.012071,17646
PTJPL,2015-03-01,7-037,7-037,ARROYO SECO VALLEY,ARROYO SECO VALLEY,13.532136,1152313
PTJPL,2015-03-01,5-054,5-054,ASH VALLEY,ASH VALLEY,58.043013,27015
PTJPL,2015-03-01,6-026,6-026,AVAWATZ VALLEY,AVAWATZ VALLEY,18.597692,124166
PTJPL,2015-03-01,3-020,3-020,A�O NUEVO AREA,A�O NUEVO AREA,90.428174,8980
PTJPL,2015-03-01,9-022,9-022,BATIQUITOS LAGOON VALLEY,BATIQUITOS LAGOON VALLEY,108.323935,3334
PTJPL,2015-03-01,8-009,8-009,BEAR VALLEY,BEAR VALLEY,52.711476,85473
PTJPL,2015-03-01,5-064,5-064,BEAR VALLEY,BEAR VALLEY,78.285606,40934
PTJPL,2015-03-01,5-020,5-020,BERRYESSA VALLEY,BERRYESSA VALLEY,87.947343,6191
PTJPL,2015-03-01,7-015,7-015,BESSEMER VALLEY,BESSEMER VALLEY,10.440599,175679
PTJPL,2015-03-01,6-025,6-025,BICYCLE VALLEY,BICYCLE VALLEY,12.824149,402232
PTJPL,2015-03-01,1-027,1-027,BIG LAGOON AREA,BIG LAGOON AREA,69.07218,57758
PTJPL,2015-03-01,8-007,8-007,BIG MEADOWS VALLEY,BIG MEADOWS VALLEY,51.594113,60300
PTJPL,2015-03-01,1-045,1-045,BIG RIVER VALLEY,BIG RIVER VALLEY,90.452783,7582
PTJPL,2015-03-01,3-047,3-047,BIG SPRING AREA,BIG SPRING AREA,61.968873,32897
PTJPL,2015-03-01,5-015,5-015,BIG VALLEY,BIG VALLEY,77.645016,108957
PTJPL,2015-03-01,5-004,5-004,BIG VALLEY,BIG VALLEY,57.519147,413987
PTJPL,2015-03-01,3-030,3-030,BITTER WATER VALLEY,BITTER WATER VALLEY,53.415416,144867
PTJPL,2015-03-01,6-013,6-013,BLACK SPRINGS VALLEY,BLACK SPRINGS VALLEY,13.53654,138327
PTJPL,2015-03-01,5-092,5-092,BLANCHARD VALLEY,BLANCHARD VALLEY,81.598659,9994
PTJPL,2015-03-01,1-057,1-057,BODEGA BAY AREA,BODEGA BAY AREA,91.091825,10128
PTJPL,2015-03-01,7-024.01,7-024,BORREGO VALLEY,BORREGO VALLEY - BORREGO SPRINGS,12.586227,282155
PTJPL,2015-03-01,7-024.02,7-024,BORREGO VALLEY,BORREGO VALLEY - OCOTILLO WELLS,3.279539,405078
PTJPL,2015-03-01,1-039,1-039,BRANSCOMB TOWN AREA,BRANSCOMB TOWN AREA,81.53572,6201
PTJPL,2015-03-01,1-017,1-017,BRAY TOWN AREA,BRAY TOWN AREA,89.037736,36119
PTJPL,2015-03-01,6-008,6-008,BRIDGEPORT VALLEY,BRIDGEPORT VALLEY,37.385012,146102
PTJPL,2015-03-01,7-008,7-008,BRISTOL VALLEY,BRISTOL VALLEY,4.130476,2234027
PTJPL,2015-03-01,5-080,5-080,BRITE VALLEY,BRITE VALLEY,59.130441,14244
PTJPL,2015-03-01,6-032,6-032,BROADWELL VALLEY,BROADWELL VALLEY,6.759704,413087
PTJPL,2015-03-01,6-076,6-076,BROWN MOUNTAIN VALLEY,BROWN MOUNTAIN VALLEY,22.14138,97673
PTJPL,2015-03-01,7-054,7-054,BUCK RIDGE FAULT VALLEY,BUCK RIDGE FAULT VALLEY,25.964893,31076
PTJPL,2015-03-01,6-101,6-101,BULL FLAT,BULL FLAT,43.718916,78457
PTJPL,2015-03-01,5-048,5-048,BURNEY CREEK VALLEY,BURNEY CREEK VALLEY,79.067587,10579
PTJPL,2015-03-01,5-017,5-017,BURNS VALLEY,BURNS VALLEY,79.665274,12924
PTJPL,2015-03-01,5-051,5-051,BUTTE CREEK VALLEY,BUTTE CREEK VALLEY,58.802342,14515
PTJPL,2015-03-01,1-003,1-003,BUTTE VALLEY,BUTTE VALLEY,79.756889,357914
PTJPL,2015-03-01,6-081,6-081,BUTTE VALLEY,BUTTE VALLEY,29.143251,39581
PTJPL,2015-03-01,6-070,6-070,CACTUS FLAT,CACTUS FLAT,19.138227,31593
PTJPL,2015-03-01,7-007,7-007,CADIZ VALLEY,CADIZ VALLEY,2.720925,1213056
PTJPL,2015-03-01,6-090,6-090,CADY FAULT AREA,CADY FAULT AREA,14.578861,35753
PTJPL,2015-03-01,9-006,9-006,CAHUILLA VALLEY,CAHUILLA VALLEY,54.25077,81848
PTJPL,2015-03-01,6-079,6-079,CALIFORNIA VALLEY,CALIFORNIA VALLEY,21.823596,261304
PTJPL,2015-03-01,7-041,7-041,CALZONA VALLEY,CALZONA VALLEY,30.165594,340869
PTJPL,2015-03-01,6-061,6-061,CAMEO AREA,CAMEO AREA,10.186129,41842
PTJPL,2015-03-01,9-028,9-028,CAMPO VALLEY,CAMPO VALLEY,71.030374,15902
PTJPL,2015-03-01,7-046,7-046,CANEBRAKE VALLEY,CANEBRAKE VALLEY,19.338503,24310
PTJPL,2015-03-01,3-007,3-007,CARMEL VALLEY,CARMEL VALLEY,79.32485,18978
PTJPL,2015-03-01,3-018,3-018,CARPINTERIA,CARPINTERIA,64.763287,33868
PTJPL,2015-03-01,3-019,3-019,CARRIZO PLAIN,CARRIZO PLAIN,55.572206,946870
PTJPL,2015-03-01,6-006,6-006,CARSON VALLEY,CARSON VALLEY,44.622251,44241
PTJPL,2015-03-01,5-029,5-029,CASTAC LAKE VALLEY,CASTAC LAKE VALLEY,62.453204,15920
PTJPL,2015-03-01,2-008,2-008,CASTRO VALLEY,CASTRO VALLEY,76.932992,8193
PTJPL,2015-03-01,6-038,6-038,CAVES CANYON VALLEY,CAVES CANYON VALLEY,9.156421,328088
PTJPL,2015-03-01,5-045,5-045,CAYTON VALLEY,CAYTON VALLEY,81.790092,5874
PTJPL,2015-03-01,3-038,3-038,CAYUCOS VALLEY,CAYUCOS VALLEY,69.651212,949
PTJPL,2015-03-01,7-043,7-043,CHEMEHUEVI VALLEY,CHEMEHUEVI VALLEY,20.419417,1221349
PTJPL,2015-03-01,7-032,7-032,CHOCOLATE VALLEY,CHOCOLATE VALLEY,6.548693,580540
PTJPL,2015-03-01,3-005,3-005,CHOLAME VALLEY,CHOLAME VALLEY,78.583978,179070
PTJPL,2015-03-01,3-042,3-042,CHORRO VALLEY,CHORRO VALLEY,68.618943,6377
PTJPL,2015-03-01,5-061,5-061,CHROME TOWN AREA,CHROME TOWN AREA,79.3988,6334
PTJPL,2015-03-01,7-005,7-005,CHUCKWALLA VALLEY,CHUCKWALLA VALLEY,8.591823,2704920
PTJPL,2015-03-01,2-005,2-005,CLAYTON VALLEY,CLAYTON VALLEY,91.761902,80257
PTJPL,2015-03-01,5-066,5-066,CLEAR LAKE CACHE FORMATION,CLEAR LAKE CACHE FORMATION,86.99274,133749
PTJPL,2015-03-01,5-058,5-058,CLOVER VALLEY,CLOVER VALLEY,61.969275,75444
PTJPL,2015-03-01,7-021.03,7-021,COACHELLA VALLEY,COACHELLA VALLEY - DESERT HOT SPRINGS,6.181221,453937
PTJPL,2015-03-01,7-021.01,7-021,COACHELLA VALLEY,COACHELLA VALLEY - INDIO,32.286987,1336097
PTJPL,2015-03-01,7-021.02,7-021,COACHELLA VALLEY,COACHELLA VALLEY - MISSION CREEK,16.283745,218411
PTJPL,2015-03-01,7-021.04,7-021,COACHELLA VALLEY,COACHELLA VALLEY - SAN GORGONIO PASS,51.736658,173060
PTJPL,2015-03-01,4-011.04,4-011,COASTAL PLAIN OF LOS ANGELES,COASTAL PLAIN OF LOS ANGELES - CENTRAL,68.84099,799288
PTJPL,2015-03-01,4-011.02,4-011,COASTAL PLAIN OF LOS ANGELES,COASTAL PLAIN OF LOS ANGELES - HOLLYWOOD,60.089799,45279
PTJPL,2015-03-01,4-011.01,4-011,COASTAL PLAIN OF LOS ANGELES,COASTAL PLAIN OF LOS ANGELES - SANTA MONICA,79.147803,135809
PTJPL,2015-03-01,4-011.03,4-011,COASTAL PLAIN OF LOS ANGELES,COASTAL PLAIN OF LOS ANGELES - WEST COAST,95.734022,400022
PTJPL,2015-03-01,8-001,8-001,COASTAL PLAIN OF ORANGE COUNTY,COASTAL PLAIN OF ORANGE COUNTY,70.596244,999375
PTJPL,2015-03-01,9-033,9-033,COASTAL PLAIN OF SAN DIEGO,COASTAL PLAIN OF SAN DIEGO,104.994182,240967
PTJPL,2015-03-01,6-072,6-072,COLES FLAT,COLES FLAT,18.235729,13244
PTJPL,2015-03-01,5-019,5-019,COLLAYOMI VALLEY,COLLAYOMI VALLEY,78.894357,29240
PTJPL,2015-03-01,7-055,7-055,COLLINS VALLEY,COLLINS VALLEY,24.524361,31751
PTJPL,2015-03-01,4-010,4-010,CONEJO,CONEJO,55.326048,84503
PTJPL,2015-03-01,7-011,7-011,COPPER MOUNTAIN VALLEY,COPPER MOUNTAIN VALLEY,18.101921,136155
PTJPL,2015-03-01,3-002.01,3-002,CORRALITOS,CORRALITOS - PAJARO VALLEY,75.264448,332288
PTJPL,2015-03-01,3-002.02,3-002,CORRALITOS,CORRALITOS - PURISIMA HIGHLANDS,96.007035,58134
PTJPL,2015-03-01,6-055,6-055,COSO VALLEY,COSO VALLEY,21.373535,114929
PTJPL,2015-03-01,1-037,1-037,COTTONEVA CREEK VALLEY,COTTONEVA CREEK VALLEY,83.125146,3436
PTJPL,2015-03-01,9-027,9-027,COTTONWOOD VALLEY,COTTONWOOD VALLEY,61.833391,17262
PTJPL,2015-03-01,1-011,1-011,COVELO ROUND VALLEY,COVELO ROUND VALLEY,71.409489,73792
PTJPL,2015-03-01,6-091,6-091,COW HEAD LAKE VALLEY,COW HEAD LAKE VALLEY,53.816243,25180
PTJPL,2015-03-01,6-037,6-037,COYOTE LAKE VALLEY,COYOTE LAKE VALLEY,12.184907,396167
PTJPL,2015-03-01,5-018,5-018,COYOTE VALLEY,COYOTE VALLEY,78.780594,29352
PTJPL,2015-03-01,7-029,7-029,COYOTE WELLS VALLEY,COYOTE WELLS VALLEY,4.442012,648419
PTJPL,2015-03-01,6-035,6-035,CRONISE VALLEY,CRONISE VALLEY,6.738665,567907
PTJPL,2015-03-01,6-050,6-050,CUDDEBACK VALLEY,CUDDEBACK VALLEY,29.362797,426688
PTJPL,2015-03-01,5-082,5-082,CUDDY CANYON VALLEY,CUDDY CANYON VALLEY,53.827096,14777
PTJPL,2015-03-01,5-083,5-083,CUDDY RANCH AREA,CUDDY RANCH AREA,62.532371,18906
PTJPL,2015-03-01,5-084,5-084,CUDDY VALLEY,CUDDY VALLEY,63.40434,15576
PTJPL,2015-03-01,5-027,5-027,CUMMINGS VALLEY,CUMMINGS VALLEY,57.86668,44487
PTJPL,2015-03-01,3-013,3-013,CUYAMA VALLEY,CUYAMA VALLEY,54.595777,1086945
PTJPL,2015-03-01,7-009,7-009,DALE VALLEY,DALE VALLEY,4.438537,955517
PTJPL,2015-03-01,6-057,6-057,DARWIN VALLEY,DARWIN VALLEY,18.258558,198536
PTJPL,2015-03-01,7-061,7-061,DAVIES VALLEY,DAVIES VALLEY,10.388458,15214
PTJPL,2015-03-01,7-013.01,7-013,DEADMAN VALLEY,DEADMAN VALLEY - DEADMAN LAKE,6.450593,400268
PTJPL,2015-03-01,7-013.02,7-013,DEADMAN VALLEY,DEADMAN VALLEY - SURPRISE SPRING,9.265404,131543
PTJPL,2015-03-01,6-018,6-018,DEATH VALLEY,DEATH VALLEY,8.179834,4133615
PTJPL,2015-03-01,6-015,6-015,DEEP SPRINGS VALLEY,DEEP SPRINGS VALLEY,16.80576,134586
PTJPL,2015-03-01,6-078,6-078,DENNING SPRING VALLEY,DENNING SPRING VALLEY,20.582762,32521
PTJPL,2015-03-01,1-034,1-034,DINSMORES TOWN AREA,DINSMORES TOWN AREA,65.350863,10249
PTJPL,2015-03-01,5-053,5-053,DIXIE VALLEY,DIXIE VALLEY,62.809012,21881
PTJPL,2015-03-01,2-040,2-040,DOWNTOWN,DOWNTOWN,92.25233,34340
PTJPL,2015-03-01,5-049,5-049,DRY BURNEY CREEK VALLEY,DRY BURNEY CREEK VALLEY,85.796048,13817
PTJPL,2015-03-01,3-029,3-029,DRY LAKE VALLEY,DRY LAKE VALLEY,60.129874,6360
PTJPL,2015-03-01,6-095,6-095,DRY VALLEY,DRY VALLEY,47.838142,29217
PTJPL,2015-03-01,6-096,6-096,EAGLE LAKE AREA,EAGLE LAKE AREA,59.198094,57089
PTJPL,2015-03-01,7-033,7-033,EAST SALTON SEA,EAST SALTON SEA,7.073589,876191
PTJPL,2015-03-01,1-044,1-044,EDEN VALLEY,EDEN VALLEY,66.54092,6195
PTJPL,2015-03-01,1-010,1-010,EEL RIVER VALLEY,EEL RIVER VALLEY,59.006471,325628
PTJPL,2015-03-01,5-041,5-041,EGG LAKE VALLEY,EGG LAKE VALLEY,72.915059,18448
PTJPL,2015-03-01,9-016,9-016,EL CAJON VALLEY,EL CAJON VALLEY,70.204944,32160
PTJPL,2015-03-01,6-043,6-043,EL MIRAGE VALLEY,EL MIRAGE VALLEY,21.057254,341252
PTJPL,2015-03-01,5-062,5-062,ELK CREEK AREA,ELK CREEK AREA,80.421996,6474
PTJPL,2015-03-01,8-004.02,8-004,ELSINORE,ELSINORE - BEDFORD-COLDWATER,57.277161,31599
PTJPL,2015-03-01,8-004.01,8-004,ELSINORE,ELSINORE - ELSINORE VALLEY,65.751107,106146
PTJPL,2015-03-01,9-009,9-009,ESCONDIDO VALLEY,ESCONDIDO VALLEY,68.314989,12956
PTJPL,2015-03-01,1-009,1-009,EUREKA PLAIN,EUREKA PLAIN,66.377963,156973
PTJPL,2015-03-01,6-016,6-016,EUREKA VALLEY,EUREKA VALLEY,10.27431,578991
PTJPL,2015-03-01,1-022,1-022,FAIRCHILD SWAMP VALLEY,FAIRCHILD SWAMP VALLEY,47.745996,14736
PTJPL,2015-03-01,5-005,5-005,FALL RIVER VALLEY,FALL RIVER VALLEY,77.407157,246566
PTJPL,2015-03-01,7-002,7-002,FENNER VALLEY,FENNER VALLEY,9.079923,2034583
PTJPL,2015-03-01,6-014,6-014,FISH LAKE VALLEY,FISH LAKE VALLEY,19.622619,206078
PTJPL,2015-03-01,3-053,3-053,FOOTHILL,FOOTHILL,72.194988,14765
PTJPL,2015-03-01,1-021,1-021,FORT BRAGG TERRACE AREA,FORT BRAGG TERRACE AREA,84.063481,101968
PTJPL,2015-03-01,1-061,1-061,FORT ROSS TERRACE DEPOSITS,FORT ROSS TERRACE DEPOSITS,90.657931,30029
PTJPL,2015-03-01,6-046,6-046,FREMONT VALLEY,FREMONT VALLEY,32.871125,1507249
PTJPL,2015-03-01,5-090,5-090,FUNKS CREEK,FUNKS CREEK,86.925907,13564
PTJPL,2015-03-01,1-032,1-032,GARBERVILLE TOWN AREA,GARBERVILLE TOWN AREA,77.395136,9498
PTJPL,2015-03-01,1-020,1-020,GARCIA RIVER VALLEY,GARCIA RIVER VALLEY,77.728222,9390
PTJPL,2015-03-01,3-003.01,3-003,GILROY-HOLLISTER VALLEY,GILROY-HOLLISTER VALLEY - LLAGAS AREA,67.508624,213008
PTJPL,2015-03-01,3-003.05,3-003,GILROY-HOLLISTER VALLEY,GILROY-HOLLISTER VALLEY - NORTH SAN BENITO,65.205231,589157
PTJPL,2015-03-01,6-085,6-085,GOLD VALLEY,GOLD VALLEY,28.8555,14436
PTJPL,2015-03-01,6-048,6-048,GOLDSTONE VALLEY,GOLDSTONE VALLEY,18.280821,126294
PTJPL,2015-03-01,3-016,3-016,GOLETA,GOLETA,74.498697,41440
