Model,Date,Basin_Subb,Basin_Numb,Basin_Name,Basin_Su_1,ET,Pixel_Count
EEMETRIC,2021-02-01,4-005,4-005,ACTON VALLEY,ACTON VALLEY,31.035928,668
EEMETRIC,2021-02-01,6-010,6-010,ADOBE LAKE VALLEY,ADOBE LAKE VALLEY,,0
EEMETRIC,2021-02-01,1-054.01,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - ALEXANDER AREA,17.546486,39743
EEMETRIC,2021-02-01,1-054.02,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - CLOVERDALE AREA,16.301515,9502
EEMETRIC,2021-02-01,5-002.01,5-002,ALTURAS AREA,ALTURAS AREA - SOUTH FORK PITT RIVER,11.441731,159794
EEMETRIC,2021-02-01,5-002.02,5-002,ALTURAS AREA,ALTURAS AREA - WARM SPRINGS VALLEY,13.503755,74425
EEMETRIC,2021-02-01,5-010,5-010,AMERICAN VALLEY,AMERICAN VALLEY,28.127847,9746
EEMETRIC,2021-02-01,7-016,7-016,AMES VALLEY,AMES VALLEY,,0
EEMETRIC,2021-02-01,7-034,7-034,AMOS VALLEY,AMOS VALLEY,,0
EEMETRIC,2021-02-01,1-019,1-019,ANDERSON VALLEY,ANDERSON VALLEY,43.053347,5961
EEMETRIC,2021-02-01,1-049,1-049,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,6.599235,2353
EEMETRIC,2021-02-01,5-091,5-091,ANTELOPE CREEK,ANTELOPE CREEK,33.350779,1605
EEMETRIC,2021-02-01,6-044,6-044,ANTELOPE VALLEY,ANTELOPE VALLEY,49.507351,137871
EEMETRIC,2021-02-01,6-007,6-007,ANTELOPE VALLEY,ANTELOPE VALLEY,19.862051,48489
EEMETRIC,2021-02-01,3-034,3-034,ARROYO DE LA CRUZ VALLEY,ARROYO DE LA CRUZ VALLEY,50.899628,538
EEMETRIC,2021-02-01,2-031,2-031,ARROYO DEL HAMBRE VALLEY,ARROYO DEL HAMBRE VALLEY,,0
EEMETRIC,2021-02-01,4-007,4-007,ARROYO SANTA ROSA VALLEY,ARROYO SANTA ROSA VALLEY,36.41169,7870
EEMETRIC,2021-02-01,7-037,7-037,ARROYO SECO VALLEY,ARROYO SECO VALLEY,,0
EEMETRIC,2021-02-01,5-054,5-054,ASH VALLEY,ASH VALLEY,29.534776,12106
EEMETRIC,2021-02-01,6-026,6-026,AVAWATZ VALLEY,AVAWATZ VALLEY,,0
EEMETRIC,2021-02-01,3-020,3-020,A�O NUEVO AREA,A�O NUEVO AREA,44.309004,1877
EEMETRIC,2021-02-01,9-022,9-022,BATIQUITOS LAGOON VALLEY,BATIQUITOS LAGOON VALLEY,27.827419,620
EEMETRIC,2021-02-01,8-009,8-009,BEAR VALLEY,BEAR VALLEY,12.164384,73
EEMETRIC,2021-02-01,5-064,5-064,BEAR VALLEY,BEAR VALLEY,49.54902,510
EEMETRIC,2021-02-01,5-020,5-020,BERRYESSA VALLEY,BERRYESSA VALLEY,,0
EEMETRIC,2021-02-01,7-015,7-015,BESSEMER VALLEY,BESSEMER VALLEY,,0
EEMETRIC,2021-02-01,6-025,6-025,BICYCLE VALLEY,BICYCLE VALLEY,,0
EEMETRIC,2021-02-01,1-027,1-027,BIG LAGOON AREA,BIG LAGOON AREA,17.384615,39
EEMETRIC,2021-02-01,8-007,8-007,BIG MEADOWS VALLEY,BIG MEADOWS VALLEY,,0
EEMETRIC,2021-02-01,1-045,1-045,BIG RIVER VALLEY,BIG RIVER VALLEY,,0
EEMETRIC,2021-02-01,3-047,3-047,BIG SPRING AREA,BIG SPRING AREA,20.283224,918
EEMETRIC,2021-02-01,5-015,5-015,BIG VALLEY,BIG VALLEY,24.850877,41040
EEMETRIC,2021-02-01,5-004,5-004,BIG VALLEY,BIG VALLEY,17.828385,163109
EEMETRIC,2021-02-01,3-030,3-030,BITTER WATER VALLEY,BITTER WATER VALLEY,25.50495,7575
EEMETRIC,2021-02-01,6-013,6-013,BLACK SPRINGS VALLEY,BLACK SPRINGS VALLEY,,0
EEMETRIC,2021-02-01,5-092,5-092,BLANCHARD VALLEY,BLANCHARD VALLEY,28.00177,1130
EEMETRIC,2021-02-01,1-057,1-057,BODEGA BAY AREA,BODEGA BAY AREA,36.090909,154
EEMETRIC,2021-02-01,7-024.01,7-024,BORREGO VALLEY,BORREGO VALLEY - BORREGO SPRINGS,26.34983,17397
EEMETRIC,2021-02-01,7-024.02,7-024,BORREGO VALLEY,BORREGO VALLEY - OCOTILLO WELLS,8.833333,12
EEMETRIC,2021-02-01,1-039,1-039,BRANSCOMB TOWN AREA,BRANSCOMB TOWN AREA,,0
EEMETRIC,2021-02-01,1-017,1-017,BRAY TOWN AREA,BRAY TOWN AREA,33.949176,4250
EEMETRIC,2021-02-01,6-008,6-008,BRIDGEPORT VALLEY,BRIDGEPORT VALLEY,16.410636,74879
EEMETRIC,2021-02-01,7-008,7-008,BRISTOL VALLEY,BRISTOL VALLEY,6.124074,7963
EEMETRIC,2021-02-01,5-080,5-080,BRITE VALLEY,BRITE VALLEY,62.651057,1324
EEMETRIC,2021-02-01,6-032,6-032,BROADWELL VALLEY,BROADWELL VALLEY,,0
EEMETRIC,2021-02-01,6-076,6-076,BROWN MOUNTAIN VALLEY,BROWN MOUNTAIN VALLEY,,0
EEMETRIC,2021-02-01,7-054,7-054,BUCK RIDGE FAULT VALLEY,BUCK RIDGE FAULT VALLEY,,0
EEMETRIC,2021-02-01,6-101,6-101,BULL FLAT,BULL FLAT,7.4375,48
EEMETRIC,2021-02-01,5-048,5-048,BURNEY CREEK VALLEY,BURNEY CREEK VALLEY,43.53488,6852
EEMETRIC,2021-02-01,5-017,5-017,BURNS VALLEY,BURNS VALLEY,13.190311,1734
EEMETRIC,2021-02-01,5-051,5-051,BUTTE CREEK VALLEY,BUTTE CREEK VALLEY,,0
EEMETRIC,2021-02-01,1-003,1-003,BUTTE VALLEY,BUTTE VALLEY,25.271787,149249
EEMETRIC,2021-02-01,6-081,6-081,BUTTE VALLEY,BUTTE VALLEY,,0
EEMETRIC,2021-02-01,6-070,6-070,CACTUS FLAT,CACTUS FLAT,,0
EEMETRIC,2021-02-01,7-007,7-007,CADIZ VALLEY,CADIZ VALLEY,,0
EEMETRIC,2021-02-01,6-090,6-090,CADY FAULT AREA,CADY FAULT AREA,,0
EEMETRIC,2021-02-01,9-006,9-006,CAHUILLA VALLEY,CAHUILLA VALLEY,41.55456,6250
EEMETRIC,2021-02-01,6-079,6-079,CALIFORNIA VALLEY,CALIFORNIA VALLEY,,0
EEMETRIC,2021-02-01,7-041,7-041,CALZONA VALLEY,CALZONA VALLEY,,0
EEMETRIC,2021-02-01,6-061,6-061,CAMEO AREA,CAMEO AREA,,0
EEMETRIC,2021-02-01,9-028,9-028,CAMPO VALLEY,CAMPO VALLEY,56.52381,126
EEMETRIC,2021-02-01,7-046,7-046,CANEBRAKE VALLEY,CANEBRAKE VALLEY,,0
EEMETRIC,2021-02-01,3-007,3-007,CARMEL VALLEY,CARMEL VALLEY,33.931357,1282
EEMETRIC,2021-02-01,3-018,3-018,CARPINTERIA,CARPINTERIA,59.775107,13064
EEMETRIC,2021-02-01,3-019,3-019,CARRIZO PLAIN,CARRIZO PLAIN,19.593386,22739
EEMETRIC,2021-02-01,6-006,6-006,CARSON VALLEY,CARSON VALLEY,29.6913,10149
EEMETRIC,2021-02-01,5-029,5-029,CASTAC LAKE VALLEY,CASTAC LAKE VALLEY,44.020311,837
EEMETRIC,2021-02-01,2-008,2-008,CASTRO VALLEY,CASTRO VALLEY,,0
EEMETRIC,2021-02-01,6-038,6-038,CAVES CANYON VALLEY,CAVES CANYON VALLEY,,0
EEMETRIC,2021-02-01,5-045,5-045,CAYTON VALLEY,CAYTON VALLEY,31.846118,4250
EEMETRIC,2021-02-01,3-038,3-038,CAYUCOS VALLEY,CAYUCOS VALLEY,,0
EEMETRIC,2021-02-01,7-043,7-043,CHEMEHUEVI VALLEY,CHEMEHUEVI VALLEY,,0
EEMETRIC,2021-02-01,7-032,7-032,CHOCOLATE VALLEY,CHOCOLATE VALLEY,2.104478,67
EEMETRIC,2021-02-01,3-005,3-005,CHOLAME VALLEY,CHOLAME VALLEY,27.816796,17718
EEMETRIC,2021-02-01,3-042,3-042,CHORRO VALLEY,CHORRO VALLEY,39.498842,1295
EEMETRIC,2021-02-01,5-061,5-061,CHROME TOWN AREA,CHROME TOWN AREA,43.816047,511
EEMETRIC,2021-02-01,7-005,7-005,CHUCKWALLA VALLEY,CHUCKWALLA VALLEY,21.538662,4604
EEMETRIC,2021-02-01,2-005,2-005,CLAYTON VALLEY,CLAYTON VALLEY,37.806748,652
EEMETRIC,2021-02-01,5-066,5-066,CLEAR LAKE CACHE FORMATION,CLEAR LAKE CACHE FORMATION,19.996809,940
EEMETRIC,2021-02-01,5-058,5-058,CLOVER VALLEY,CLOVER VALLEY,13.372354,1606
EEMETRIC,2021-02-01,7-021.03,7-021,COACHELLA VALLEY,COACHELLA VALLEY - DESERT HOT SPRINGS,26.151493,2713
EEMETRIC,2021-02-01,7-021.01,7-021,COACHELLA VALLEY,COACHELLA VALLEY - INDIO,40.52581,293745
EEMETRIC,2021-02-01,7-021.02,7-021,COACHELLA VALLEY,COACHELLA VALLEY - MISSION CREEK,49.710634,978
EEMETRIC,2021-02-01,7-021.04,7-021,COACHELLA VALLEY,COACHELLA VALLEY - SAN GORGONIO PASS,65.592697,356
EEMETRIC,2021-02-01,4-011.04,4-011,COASTAL PLAIN OF LOS ANGELES,COASTAL PLAIN OF LOS ANGELES - CENTRAL,42.276802,7005
EEMETRIC,2021-02-01,4-011.02,4-011,COASTAL PLAIN OF LOS ANGELES,COASTAL PLAIN OF LOS ANGELES - HOLLYWOOD,37.798762,323
EEMETRIC,2021-02-01,4-011.01,4-011,COASTAL PLAIN OF LOS ANGELES,COASTAL PLAIN OF LOS ANGELES - SANTA MONICA,49.651935,4186
EEMETRIC,2021-02-01,4-011.03,4-011,COASTAL PLAIN OF LOS ANGELES,COASTAL PLAIN OF LOS ANGELES - WEST COAST,33.885904,4058
EEMETRIC,2021-02-01,8-001,8-001,COASTAL PLAIN OF ORANGE COUNTY,COASTAL PLAIN OF ORANGE COUNTY,33.553662,23946
EEMETRIC,2021-02-01,9-033,9-033,COASTAL PLAIN OF SAN DIEGO,COASTAL PLAIN OF SAN DIEGO,35.530938,3507
EEMETRIC,2021-02-01,6-072,6-072,COLES FLAT,COLES FLAT,,0
EEMETRIC,2021-02-01,5-019,5-019,COLLAYOMI VALLEY,COLLAYOMI VALLEY,18.837711,3845
EEMETRIC,2021-02-01,7-055,7-055,COLLINS VALLEY,COLLINS VALLEY,,0
EEMETRIC,2021-02-01,4-010,4-010,CONEJO,CONEJO,38.305221,498
EEMETRIC,2021-02-01,7-011,7-011,COPPER MOUNTAIN VALLEY,COPPER MOUNTAIN VALLEY,,0
EEMETRIC,2021-02-01,3-002.01,3-002,CORRALITOS,CORRALITOS - PAJARO VALLEY,37.270585,109219
EEMETRIC,2021-02-01,3-002.02,3-002,CORRALITOS,CORRALITOS - PURISIMA HIGHLANDS,24.454741,464
EEMETRIC,2021-02-01,6-055,6-055,COSO VALLEY,COSO VALLEY,,0
EEMETRIC,2021-02-01,1-037,1-037,COTTONEVA CREEK VALLEY,COTTONEVA CREEK VALLEY,,0
EEMETRIC,2021-02-01,9-027,9-027,COTTONWOOD VALLEY,COTTONWOOD VALLEY,47.742857,70
EEMETRIC,2021-02-01,1-011,1-011,COVELO ROUND VALLEY,COVELO ROUND VALLEY,45.678095,36576
EEMETRIC,2021-02-01,6-091,6-091,COW HEAD LAKE VALLEY,COW HEAD LAKE VALLEY,19.103779,15639
EEMETRIC,2021-02-01,6-037,6-037,COYOTE LAKE VALLEY,COYOTE LAKE VALLEY,25.504115,972
EEMETRIC,2021-02-01,5-018,5-018,COYOTE VALLEY,COYOTE VALLEY,33.683961,6534
EEMETRIC,2021-02-01,7-029,7-029,COYOTE WELLS VALLEY,COYOTE WELLS VALLEY,0.375,80
EEMETRIC,2021-02-01,6-035,6-035,CRONISE VALLEY,CRONISE VALLEY,,0
EEMETRIC,2021-02-01,6-050,6-050,CUDDEBACK VALLEY,CUDDEBACK VALLEY,,0
EEMETRIC,2021-02-01,5-082,5-082,CUDDY CANYON VALLEY,CUDDY CANYON VALLEY,,0
EEMETRIC,2021-02-01,5-083,5-083,CUDDY RANCH AREA,CUDDY RANCH AREA,,0
EEMETRIC,2021-02-01,5-084,5-084,CUDDY VALLEY,CUDDY VALLEY,33.4375,16
EEMETRIC,2021-02-01,5-027,5-027,CUMMINGS VALLEY,CUMMINGS VALLEY,68.011973,10190
EEMETRIC,2021-02-01,3-013,3-013,CUYAMA VALLEY,CUYAMA VALLEY,21.505414,153773
EEMETRIC,2021-02-01,7-009,7-009,DALE VALLEY,DALE VALLEY,17.144737,152
EEMETRIC,2021-02-01,6-057,6-057,DARWIN VALLEY,DARWIN VALLEY,,0
EEMETRIC,2021-02-01,7-061,7-061,DAVIES VALLEY,DAVIES VALLEY,,0
EEMETRIC,2021-02-01,7-013.01,7-013,DEADMAN VALLEY,DEADMAN VALLEY - DEADMAN LAKE,,0
EEMETRIC,2021-02-01,7-013.02,7-013,DEADMAN VALLEY,DEADMAN VALLEY - SURPRISE SPRING,,0
EEMETRIC,2021-02-01,6-018,6-018,DEATH VALLEY,DEATH VALLEY,7.944444,18
EEMETRIC,2021-02-01,6-015,6-015,DEEP SPRINGS VALLEY,DEEP SPRINGS VALLEY,10.79685,635
EEMETRIC,2021-02-01,6-078,6-078,DENNING SPRING VALLEY,DENNING SPRING VALLEY,,0
EEMETRIC,2021-02-01,1-034,1-034,DINSMORES TOWN AREA,DINSMORES TOWN AREA,26.116279,86
EEMETRIC,2021-02-01,5-053,5-053,DIXIE VALLEY,DIXIE VALLEY,20.598131,11449
EEMETRIC,2021-02-01,2-040,2-040,DOWNTOWN,DOWNTOWN,,0
EEMETRIC,2021-02-01,5-049,5-049,DRY BURNEY CREEK VALLEY,DRY BURNEY CREEK VALLEY,,0
EEMETRIC,2021-02-01,3-029,3-029,DRY LAKE VALLEY,DRY LAKE VALLEY,19.744444,540
EEMETRIC,2021-02-01,6-095,6-095,DRY VALLEY,DRY VALLEY,,0
EEMETRIC,2021-02-01,6-096,6-096,EAGLE LAKE AREA,EAGLE LAKE AREA,,0
EEMETRIC,2021-02-01,7-033,7-033,EAST SALTON SEA,EAST SALTON SEA,20.784213,40262
EEMETRIC,2021-02-01,1-044,1-044,EDEN VALLEY,EDEN VALLEY,41.641475,1654
EEMETRIC,2021-02-01,1-010,1-010,EEL RIVER VALLEY,EEL RIVER VALLEY,22.080103,97662
EEMETRIC,2021-02-01,5-041,5-041,EGG LAKE VALLEY,EGG LAKE VALLEY,,0
