Model,Date,Basin_Subb,Basin_Numb,Basin_Name,Basin_Su_1,ET,Pixel_Count
EEMETRIC,2006-02-01,4-005,4-005,ACTON VALLEY,ACTON VALLEY,9.97006,668
EEMETRIC,2006-02-01,6-010,6-010,ADOBE LAKE VALLEY,ADOBE LAKE VALLEY,,0
EEMETRIC,2006-02-01,1-054.01,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - ALEXANDER AREA,28.093299,39743
EEMETRIC,2006-02-01,1-054.02,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - CLOVERDALE AREA,25.402091,9468
EEMETRIC,2006-02-01,5-002.01,5-002,ALTURAS AREA,ALTURAS AREA - SOUTH FORK PITT RIVER,16.024632,159794
EEMETRIC,2006-02-01,5-002.02,5-002,ALTURAS AREA,ALTURAS AREA - WARM SPRINGS VALLEY,15.314384,74425
EEMETRIC,2006-02-01,5-010,5-010,AMERICAN VALLEY,AMERICAN VALLEY,43.819208,9746
EEMETRIC,2006-02-01,7-016,7-016,AMES VALLEY,AMES VALLEY,,0
EEMETRIC,2006-02-01,7-034,7-034,AMOS VALLEY,AMOS VALLEY,,0
EEMETRIC,2006-02-01,1-019,1-019,ANDERSON VALLEY,ANDERSON VALLEY,47.953694,5982
EEMETRIC,2006-02-01,1-049,1-049,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,28.380365,2353
EEMETRIC,2006-02-01,5-091,5-091,ANTELOPE CREEK,ANTELOPE CREEK,18.660436,1605
EEMETRIC,2006-02-01,6-044,6-044,ANTELOPE VALLEY,ANTELOPE VALLEY,25.486311,137881
EEMETRIC,2006-02-01,6-007,6-007,ANTELOPE VALLEY,ANTELOPE VALLEY,41.967333,48489
EEMETRIC,2006-02-01,3-034,3-034,ARROYO DE LA CRUZ VALLEY,ARROYO DE LA CRUZ VALLEY,77.226766,538
EEMETRIC,2006-02-01,2-031,2-031,ARROYO DEL HAMBRE VALLEY,ARROYO DEL HAMBRE VALLEY,,0
EEMETRIC,2006-02-01,4-007,4-007,ARROYO SANTA ROSA VALLEY,ARROYO SANTA ROSA VALLEY,51.316391,7870
EEMETRIC,2006-02-01,7-037,7-037,ARROYO SECO VALLEY,ARROYO SECO VALLEY,,0
EEMETRIC,2006-02-01,5-054,5-054,ASH VALLEY,ASH VALLEY,21.120436,12106
EEMETRIC,2006-02-01,6-026,6-026,AVAWATZ VALLEY,AVAWATZ VALLEY,,0
EEMETRIC,2006-02-01,3-020,3-020,A�O NUEVO AREA,A�O NUEVO AREA,49.99414,1877
EEMETRIC,2006-02-01,9-022,9-022,BATIQUITOS LAGOON VALLEY,BATIQUITOS LAGOON VALLEY,65.866129,620
EEMETRIC,2006-02-01,8-009,8-009,BEAR VALLEY,BEAR VALLEY,32.767123,219
EEMETRIC,2006-02-01,5-064,5-064,BEAR VALLEY,BEAR VALLEY,32.162745,510
EEMETRIC,2006-02-01,5-020,5-020,BERRYESSA VALLEY,BERRYESSA VALLEY,,0
EEMETRIC,2006-02-01,7-015,7-015,BESSEMER VALLEY,BESSEMER VALLEY,,0
EEMETRIC,2006-02-01,6-025,6-025,BICYCLE VALLEY,BICYCLE VALLEY,,0
EEMETRIC,2006-02-01,1-027,1-027,BIG LAGOON AREA,BIG LAGOON AREA,40.410256,39
EEMETRIC,2006-02-01,8-007,8-007,BIG MEADOWS VALLEY,BIG MEADOWS VALLEY,,0
EEMETRIC,2006-02-01,1-045,1-045,BIG RIVER VALLEY,BIG RIVER VALLEY,,0
EEMETRIC,2006-02-01,3-047,3-047,BIG SPRING AREA,BIG SPRING AREA,7.465142,918
EEMETRIC,2006-02-01,5-015,5-015,BIG VALLEY,BIG VALLEY,24.643526,41024
EEMETRIC,2006-02-01,5-004,5-004,BIG VALLEY,BIG VALLEY,21.595234,163109
EEMETRIC,2006-02-01,3-030,3-030,BITTER WATER VALLEY,BITTER WATER VALLEY,10.164884,7575
EEMETRIC,2006-02-01,6-013,6-013,BLACK SPRINGS VALLEY,BLACK SPRINGS VALLEY,,0
EEMETRIC,2006-02-01,5-092,5-092,BLANCHARD VALLEY,BLANCHARD VALLEY,8.384956,1130
EEMETRIC,2006-02-01,1-057,1-057,BODEGA BAY AREA,BODEGA BAY AREA,27.097403,154
EEMETRIC,2006-02-01,7-024.01,7-024,BORREGO VALLEY,BORREGO VALLEY - BORREGO SPRINGS,51.075185,17397
EEMETRIC,2006-02-01,7-024.02,7-024,BORREGO VALLEY,BORREGO VALLEY - OCOTILLO WELLS,16.833333,12
EEMETRIC,2006-02-01,1-039,1-039,BRANSCOMB TOWN AREA,BRANSCOMB TOWN AREA,,0
EEMETRIC,2006-02-01,1-017,1-017,BRAY TOWN AREA,BRAY TOWN AREA,21.797389,3830
EEMETRIC,2006-02-01,6-008,6-008,BRIDGEPORT VALLEY,BRIDGEPORT VALLEY,12.333924,74451
EEMETRIC,2006-02-01,7-008,7-008,BRISTOL VALLEY,BRISTOL VALLEY,8.844782,7963
EEMETRIC,2006-02-01,5-080,5-080,BRITE VALLEY,BRITE VALLEY,25.305136,1324
EEMETRIC,2006-02-01,6-032,6-032,BROADWELL VALLEY,BROADWELL VALLEY,,0
