Model,Date,Basin_Subb,Basin_Numb,Basin_Name,Basin_Su_1,ET,Pixel_Count
EEMETRIC,2022-09-01,4-005,4-005,ACTON VALLEY,ACTON VALLEY,24.833832,668
EEMETRIC,2022-09-01,6-010,6-010,ADOBE LAKE VALLEY,ADOBE LAKE VALLEY,,0
EEMETRIC,2022-09-01,1-054.01,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - ALEXANDER AREA,73.654254,39743
EEMETRIC,2022-09-01,1-054.02,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - CLOVERDALE AREA,78.711008,9502
EEMETRIC,2022-09-01,5-002.01,5-002,ALTURAS AREA,ALTURAS AREA - SOUTH FORK PITT RIVER,93.828873,159794
EEMETRIC,2022-09-01,5-002.02,5-002,ALTURAS AREA,ALTURAS AREA - WARM SPRINGS VALLEY,55.215358,74425
EEMETRIC,2022-09-01,5-010,5-010,AMERICAN VALLEY,AMERICAN VALLEY,89.092961,9746
EEMETRIC,2022-09-01,7-016,7-016,AMES VALLEY,AMES VALLEY,,0
EEMETRIC,2022-09-01,7-034,7-034,AMOS VALLEY,AMOS VALLEY,,0
EEMETRIC,2022-09-01,1-019,1-019,ANDERSON VALLEY,ANDERSON VALLEY,66.801237,5982
EEMETRIC,2022-09-01,1-049,1-049,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,70.348491,2353
EEMETRIC,2022-09-01,5-091,5-091,ANTELOPE CREEK,ANTELOPE CREEK,25.435514,1605
EEMETRIC,2022-09-01,6-044,6-044,ANTELOPE VALLEY,ANTELOPE VALLEY,49.620217,137884
EEMETRIC,2022-09-01,6-007,6-007,ANTELOPE VALLEY,ANTELOPE VALLEY,104.122811,48489
EEMETRIC,2022-09-01,3-034,3-034,ARROYO DE LA CRUZ VALLEY,ARROYO DE LA CRUZ VALLEY,114.581784,538
EEMETRIC,2022-09-01,2-031,2-031,ARROYO DEL HAMBRE VALLEY,ARROYO DEL HAMBRE VALLEY,,0
EEMETRIC,2022-09-01,4-007,4-007,ARROYO SANTA ROSA VALLEY,ARROYO SANTA ROSA VALLEY,90.07014,7870
EEMETRIC,2022-09-01,7-037,7-037,ARROYO SECO VALLEY,ARROYO SECO VALLEY,,0
EEMETRIC,2022-09-01,5-054,5-054,ASH VALLEY,ASH VALLEY,89.764332,12106
EEMETRIC,2022-09-01,6-026,6-026,AVAWATZ VALLEY,AVAWATZ VALLEY,,0
EEMETRIC,2022-09-01,3-020,3-020,A�O NUEVO AREA,A�O NUEVO AREA,89.129462,1877
