Model,Date,Basin_Subb,Basin_Numb,Basin_Name,Basin_Su_1,ET,Pixel_Count
EEMETRIC,2008-06-01,4-005,4-005,ACTON VALLEY,ACTON VALLEY,34.344311,668
EEMETRIC,2008-06-01,6-010,6-010,ADOBE LAKE VALLEY,ADOBE LAKE VALLEY,,0
EEMETRIC,2008-06-01,1-054.01,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - ALEXANDER AREA,39.639861,39743
EEMETRIC,2008-06-01,1-054.02,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - CLOVERDALE AREA,34.767733,9502
EEMETRIC,2008-06-01,5-002.01,5-002,ALTURAS AREA,ALTURAS AREA - SOUTH FORK PITT RIVER,131.169312,159794
EEMETRIC,2008-06-01,5-002.02,5-002,ALTURAS AREA,ALTURAS AREA - WARM SPRINGS VALLEY,103.961693,74425
EEMETRIC,2008-06-01,5-010,5-010,AMERICAN VALLEY,AMERICAN VALLEY,134.689616,9746
EEMETRIC,2008-06-01,7-016,7-016,AMES VALLEY,AMES VALLEY,,0
EEMETRIC,2008-06-01,7-034,7-034,AMOS VALLEY,AMOS VALLEY,,0
EEMETRIC,2008-06-01,1-019,1-019,ANDERSON VALLEY,ANDERSON VALLEY,36.014544,5982
EEMETRIC,2008-06-01,1-049,1-049,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,6.359541,2353
EEMETRIC,2008-06-01,5-091,5-091,ANTELOPE CREEK,ANTELOPE CREEK,35.796885,1605
EEMETRIC,2008-06-01,6-044,6-044,ANTELOPE VALLEY,ANTELOPE VALLEY,97.956275,137884
EEMETRIC,2008-06-01,6-007,6-007,ANTELOPE VALLEY,ANTELOPE VALLEY,155.496669,48489
EEMETRIC,2008-06-01,3-034,3-034,ARROYO DE LA CRUZ VALLEY,ARROYO DE LA CRUZ VALLEY,157.011152,538
EEMETRIC,2008-06-01,2-031,2-031,ARROYO DEL HAMBRE VALLEY,ARROYO DEL HAMBRE VALLEY,,0
EEMETRIC,2008-06-01,4-007,4-007,ARROYO SANTA ROSA VALLEY,ARROYO SANTA ROSA VALLEY,99.032783,7870
EEMETRIC,2008-06-01,7-037,7-037,ARROYO SECO VALLEY,ARROYO SECO VALLEY,,0
EEMETRIC,2008-06-01,5-054,5-054,ASH VALLEY,ASH VALLEY,126.144309,12106
EEMETRIC,2008-06-01,6-026,6-026,AVAWATZ VALLEY,AVAWATZ VALLEY,,0
EEMETRIC,2008-06-01,3-020,3-020,A�O NUEVO AREA,A�O NUEVO AREA,92.051145,1877
EEMETRIC,2008-06-01,9-022,9-022,BATIQUITOS LAGOON VALLEY,BATIQUITOS LAGOON VALLEY,152.424194,620
EEMETRIC,2008-06-01,8-009,8-009,BEAR VALLEY,BEAR VALLEY,137.90411,219
EEMETRIC,2008-06-01,5-064,5-064,BEAR VALLEY,BEAR VALLEY,27.87451,510
EEMETRIC,2008-06-01,5-020,5-020,BERRYESSA VALLEY,BERRYESSA VALLEY,,0
EEMETRIC,2008-06-01,7-015,7-015,BESSEMER VALLEY,BESSEMER VALLEY,,0
EEMETRIC,2008-06-01,6-025,6-025,BICYCLE VALLEY,BICYCLE VALLEY,,0
EEMETRIC,2008-06-01,1-027,1-027,BIG LAGOON AREA,BIG LAGOON AREA,128.384615,39
EEMETRIC,2008-06-01,8-007,8-007,BIG MEADOWS VALLEY,BIG MEADOWS VALLEY,,0
EEMETRIC,2008-06-01,1-045,1-045,BIG RIVER VALLEY,BIG RIVER VALLEY,,0
EEMETRIC,2008-06-01,3-047,3-047,BIG SPRING AREA,BIG SPRING AREA,3.259259,918
EEMETRIC,2008-06-01,5-015,5-015,BIG VALLEY,BIG VALLEY,52.956774,41040
EEMETRIC,2008-06-01,5-004,5-004,BIG VALLEY,BIG VALLEY,101.612566,163109
EEMETRIC,2008-06-01,3-030,3-030,BITTER WATER VALLEY,BITTER WATER VALLEY,38.945611,7575
EEMETRIC,2008-06-01,6-013,6-013,BLACK SPRINGS VALLEY,BLACK SPRINGS VALLEY,,0
EEMETRIC,2008-06-01,5-092,5-092,BLANCHARD VALLEY,BLANCHARD VALLEY,24.266372,1130
EEMETRIC,2008-06-01,1-057,1-057,BODEGA BAY AREA,BODEGA BAY AREA,114.279221,154
EEMETRIC,2008-06-01,7-024.01,7-024,BORREGO VALLEY,BORREGO VALLEY - BORREGO SPRINGS,57.927631,17397
EEMETRIC,2008-06-01,7-024.02,7-024,BORREGO VALLEY,BORREGO VALLEY - OCOTILLO WELLS,35.333333,12
EEMETRIC,2008-06-01,1-039,1-039,BRANSCOMB TOWN AREA,BRANSCOMB TOWN AREA,,0
EEMETRIC,2008-06-01,1-017,1-017,BRAY TOWN AREA,BRAY TOWN AREA,118.494353,4250
EEMETRIC,2008-06-01,6-008,6-008,BRIDGEPORT VALLEY,BRIDGEPORT VALLEY,142.088903,74902
EEMETRIC,2008-06-01,7-008,7-008,BRISTOL VALLEY,BRISTOL VALLEY,26.085897,7963
EEMETRIC,2008-06-01,5-080,5-080,BRITE VALLEY,BRITE VALLEY,69.154834,1324
EEMETRIC,2008-06-01,6-032,6-032,BROADWELL VALLEY,BROADWELL VALLEY,,0
EEMETRIC,2008-06-01,6-076,6-076,BROWN MOUNTAIN VALLEY,BROWN MOUNTAIN VALLEY,,0
EEMETRIC,2008-06-01,7-054,7-054,BUCK RIDGE FAULT VALLEY,BUCK RIDGE FAULT VALLEY,,0
EEMETRIC,2008-06-01,6-101,6-101,BULL FLAT,BULL FLAT,29.479167,48
EEMETRIC,2008-06-01,5-048,5-048,BURNEY CREEK VALLEY,BURNEY CREEK VALLEY,62.975336,6852
EEMETRIC,2008-06-01,5-017,5-017,BURNS VALLEY,BURNS VALLEY,26.933679,1734
EEMETRIC,2008-06-01,5-051,5-051,BUTTE CREEK VALLEY,BUTTE CREEK VALLEY,,0
EEMETRIC,2008-06-01,1-003,1-003,BUTTE VALLEY,BUTTE VALLEY,102.266119,149448
EEMETRIC,2008-06-01,6-081,6-081,BUTTE VALLEY,BUTTE VALLEY,,0
EEMETRIC,2008-06-01,6-070,6-070,CACTUS FLAT,CACTUS FLAT,,0
EEMETRIC,2008-06-01,7-007,7-007,CADIZ VALLEY,CADIZ VALLEY,,0
EEMETRIC,2008-06-01,6-090,6-090,CADY FAULT AREA,CADY FAULT AREA,,0
EEMETRIC,2008-06-01,9-006,9-006,CAHUILLA VALLEY,CAHUILLA VALLEY,75.03536,6250
EEMETRIC,2008-06-01,6-079,6-079,CALIFORNIA VALLEY,CALIFORNIA VALLEY,,0
EEMETRIC,2008-06-01,7-041,7-041,CALZONA VALLEY,CALZONA VALLEY,,0
EEMETRIC,2008-06-01,6-061,6-061,CAMEO AREA,CAMEO AREA,,0
EEMETRIC,2008-06-01,9-028,9-028,CAMPO VALLEY,CAMPO VALLEY,48.571429,126
EEMETRIC,2008-06-01,7-046,7-046,CANEBRAKE VALLEY,CANEBRAKE VALLEY,,0
EEMETRIC,2008-06-01,3-007,3-007,CARMEL VALLEY,CARMEL VALLEY,91.148986,1282
EEMETRIC,2008-06-01,3-018,3-018,CARPINTERIA,CARPINTERIA,129.15719,11203
EEMETRIC,2008-06-01,3-019,3-019,CARRIZO PLAIN,CARRIZO PLAIN,21.942786,22739
