Model,Date,Basin_Subb,Basin_Numb,Basin_Name,Basin_Su_1,ET,Pixel_Count
GEESEBAL,2021-08-01,4-005,4-005,ACTON VALLEY,ACTON VALLEY,14.164671,668
GEESEBAL,2021-08-01,6-010,6-010,ADOBE LAKE VALLEY,ADOBE LAKE VALLEY,,0
GEESEBAL,2021-08-01,1-054.01,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - ALEXANDER AREA,67.317238,39743
GEESEBAL,2021-08-01,1-054.02,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - CLOVERDALE AREA,55.573037,9502
GEESEBAL,2021-08-01,5-002.01,5-002,ALTURAS AREA,ALTURAS AREA - SOUTH FORK PITT RIVER,104.710922,159794
GEESEBAL,2021-08-01,5-002.02,5-002,ALTURAS AREA,ALTURAS AREA - WARM SPRINGS VALLEY,81.763588,74425
GEESEBAL,2021-08-01,5-010,5-010,AMERICAN VALLEY,AMERICAN VALLEY,89.012518,9746
GEESEBAL,2021-08-01,7-016,7-016,AMES VALLEY,AMES VALLEY,,0
GEESEBAL,2021-08-01,7-034,7-034,AMOS VALLEY,AMOS VALLEY,,0
GEESEBAL,2021-08-01,1-019,1-019,ANDERSON VALLEY,ANDERSON VALLEY,35.128218,5982
GEESEBAL,2021-08-01,1-049,1-049,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,39.586485,2353
GEESEBAL,2021-08-01,5-091,5-091,ANTELOPE CREEK,ANTELOPE CREEK,0.446106,1605
GEESEBAL,2021-08-01,6-044,6-044,ANTELOPE VALLEY,ANTELOPE VALLEY,33.573678,137884
GEESEBAL,2021-08-01,6-007,6-007,ANTELOPE VALLEY,ANTELOPE VALLEY,88.570294,48489
GEESEBAL,2021-08-01,3-034,3-034,ARROYO DE LA CRUZ VALLEY,ARROYO DE LA CRUZ VALLEY,125.187732,538
GEESEBAL,2021-08-01,2-031,2-031,ARROYO DEL HAMBRE VALLEY,ARROYO DEL HAMBRE VALLEY,,0
GEESEBAL,2021-08-01,4-007,4-007,ARROYO SANTA ROSA VALLEY,ARROYO SANTA ROSA VALLEY,156.808132,7870
GEESEBAL,2021-08-01,7-037,7-037,ARROYO SECO VALLEY,ARROYO SECO VALLEY,,0
GEESEBAL,2021-08-01,5-054,5-054,ASH VALLEY,ASH VALLEY,86.765158,12106
GEESEBAL,2021-08-01,6-026,6-026,AVAWATZ VALLEY,AVAWATZ VALLEY,,0
GEESEBAL,2021-08-01,3-020,3-020,A�O NUEVO AREA,A�O NUEVO AREA,131.784763,1877
GEESEBAL,2021-08-01,9-022,9-022,BATIQUITOS LAGOON VALLEY,BATIQUITOS LAGOON VALLEY,172.577419,620
GEESEBAL,2021-08-01,8-009,8-009,BEAR VALLEY,BEAR VALLEY,106.255708,219
GEESEBAL,2021-08-01,5-064,5-064,BEAR VALLEY,BEAR VALLEY,0.105882,510
GEESEBAL,2021-08-01,5-020,5-020,BERRYESSA VALLEY,BERRYESSA VALLEY,,0
GEESEBAL,2021-08-01,7-015,7-015,BESSEMER VALLEY,BESSEMER VALLEY,,0
GEESEBAL,2021-08-01,6-025,6-025,BICYCLE VALLEY,BICYCLE VALLEY,,0
GEESEBAL,2021-08-01,1-027,1-027,BIG LAGOON AREA,BIG LAGOON AREA,132.205128,39
GEESEBAL,2021-08-01,8-007,8-007,BIG MEADOWS VALLEY,BIG MEADOWS VALLEY,,0
GEESEBAL,2021-08-01,1-045,1-045,BIG RIVER VALLEY,BIG RIVER VALLEY,,0
GEESEBAL,2021-08-01,3-047,3-047,BIG SPRING AREA,BIG SPRING AREA,8.795207,918
GEESEBAL,2021-08-01,5-015,5-015,BIG VALLEY,BIG VALLEY,25.164108,41040
GEESEBAL,2021-08-01,5-004,5-004,BIG VALLEY,BIG VALLEY,90.390923,163109
GEESEBAL,2021-08-01,3-030,3-030,BITTER WATER VALLEY,BITTER WATER VALLEY,12.446073,7575
GEESEBAL,2021-08-01,6-013,6-013,BLACK SPRINGS VALLEY,BLACK SPRINGS VALLEY,,0
GEESEBAL,2021-08-01,5-092,5-092,BLANCHARD VALLEY,BLANCHARD VALLEY,0.919469,1130
GEESEBAL,2021-08-01,1-057,1-057,BODEGA BAY AREA,BODEGA BAY AREA,112.668831,154
GEESEBAL,2021-08-01,7-024.01,7-024,BORREGO VALLEY,BORREGO VALLEY - BORREGO SPRINGS,48.38955,17397
GEESEBAL,2021-08-01,7-024.02,7-024,BORREGO VALLEY,BORREGO VALLEY - OCOTILLO WELLS,38.916667,12
GEESEBAL,2021-08-01,1-039,1-039,BRANSCOMB TOWN AREA,BRANSCOMB TOWN AREA,,0
GEESEBAL,2021-08-01,1-017,1-017,BRAY TOWN AREA,BRAY TOWN AREA,85.482118,4250
GEESEBAL,2021-08-01,6-008,6-008,BRIDGEPORT VALLEY,BRIDGEPORT VALLEY,35.883982,74902
GEESEBAL,2021-08-01,7-008,7-008,BRISTOL VALLEY,BRISTOL VALLEY,19.68542,7963
GEESEBAL,2021-08-01,5-080,5-080,BRITE VALLEY,BRITE VALLEY,78.592145,1324
GEESEBAL,2021-08-01,6-032,6-032,BROADWELL VALLEY,BROADWELL VALLEY,,0
GEESEBAL,2021-08-01,6-076,6-076,BROWN MOUNTAIN VALLEY,BROWN MOUNTAIN VALLEY,,0
GEESEBAL,2021-08-01,7-054,7-054,BUCK RIDGE FAULT VALLEY,BUCK RIDGE FAULT VALLEY,,0
GEESEBAL,2021-08-01,6-101,6-101,BULL FLAT,BULL FLAT,52.020833,48
GEESEBAL,2021-08-01,5-048,5-048,BURNEY CREEK VALLEY,BURNEY CREEK VALLEY,69.777291,6852
GEESEBAL,2021-08-01,5-017,5-017,BURNS VALLEY,BURNS VALLEY,1.074971,1734
GEESEBAL,2021-08-01,5-051,5-051,BUTTE CREEK VALLEY,BUTTE CREEK VALLEY,,0
GEESEBAL,2021-08-01,1-003,1-003,BUTTE VALLEY,BUTTE VALLEY,86.605502,149448
GEESEBAL,2021-08-01,6-081,6-081,BUTTE VALLEY,BUTTE VALLEY,,0
GEESEBAL,2021-08-01,6-070,6-070,CACTUS FLAT,CACTUS FLAT,,0
GEESEBAL,2021-08-01,7-007,7-007,CADIZ VALLEY,CADIZ VALLEY,,0
GEESEBAL,2021-08-01,6-090,6-090,CADY FAULT AREA,CADY FAULT AREA,,0
GEESEBAL,2021-08-01,9-006,9-006,CAHUILLA VALLEY,CAHUILLA VALLEY,22.47408,6250
GEESEBAL,2021-08-01,6-079,6-079,CALIFORNIA VALLEY,CALIFORNIA VALLEY,,0
GEESEBAL,2021-08-01,7-041,7-041,CALZONA VALLEY,CALZONA VALLEY,,0
GEESEBAL,2021-08-01,6-061,6-061,CAMEO AREA,CAMEO AREA,,0
GEESEBAL,2021-08-01,9-028,9-028,CAMPO VALLEY,CAMPO VALLEY,21.404762,126
GEESEBAL,2021-08-01,7-046,7-046,CANEBRAKE VALLEY,CANEBRAKE VALLEY,,0
GEESEBAL,2021-08-01,3-007,3-007,CARMEL VALLEY,CARMEL VALLEY,119.588924,1282
GEESEBAL,2021-08-01,3-018,3-018,CARPINTERIA,CARPINTERIA,157.664962,12903
GEESEBAL,2021-08-01,3-019,3-019,CARRIZO PLAIN,CARRIZO PLAIN,1.992172,22739
GEESEBAL,2021-08-01,6-006,6-006,CARSON VALLEY,CARSON VALLEY,86.193705,10516
GEESEBAL,2021-08-01,5-029,5-029,CASTAC LAKE VALLEY,CASTAC LAKE VALLEY,6.125296,846
GEESEBAL,2021-08-01,2-008,2-008,CASTRO VALLEY,CASTRO VALLEY,,0
GEESEBAL,2021-08-01,6-038,6-038,CAVES CANYON VALLEY,CAVES CANYON VALLEY,,0
GEESEBAL,2021-08-01,5-045,5-045,CAYTON VALLEY,CAYTON VALLEY,127.423765,4250
GEESEBAL,2021-08-01,3-038,3-038,CAYUCOS VALLEY,CAYUCOS VALLEY,,0
GEESEBAL,2021-08-01,7-043,7-043,CHEMEHUEVI VALLEY,CHEMEHUEVI VALLEY,,0
GEESEBAL,2021-08-01,7-032,7-032,CHOCOLATE VALLEY,CHOCOLATE VALLEY,49.402985,67
GEESEBAL,2021-08-01,3-005,3-005,CHOLAME VALLEY,CHOLAME VALLEY,29.050119,17718
GEESEBAL,2021-08-01,3-042,3-042,CHORRO VALLEY,CHORRO VALLEY,96.22093,1290
GEESEBAL,2021-08-01,5-061,5-061,CHROME TOWN AREA,CHROME TOWN AREA,0.894325,511
GEESEBAL,2021-08-01,7-005,7-005,CHUCKWALLA VALLEY,CHUCKWALLA VALLEY,34.599479,4604
GEESEBAL,2021-08-01,2-005,2-005,CLAYTON VALLEY,CLAYTON VALLEY,123.055215,652
GEESEBAL,2021-08-01,5-066,5-066,CLEAR LAKE CACHE FORMATION,CLEAR LAKE CACHE FORMATION,9.218085,940
GEESEBAL,2021-08-01,5-058,5-058,CLOVER VALLEY,CLOVER VALLEY,33.993151,1606
GEESEBAL,2021-08-01,7-021.03,7-021,COACHELLA VALLEY,COACHELLA VALLEY - DESERT HOT SPRINGS,85.627718,2713
GEESEBAL,2021-08-01,7-021.01,7-021,COACHELLA VALLEY,COACHELLA VALLEY - INDIO,91.398917,293745
GEESEBAL,2021-08-01,7-021.02,7-021,COACHELLA VALLEY,COACHELLA VALLEY - MISSION CREEK,48.313906,978
GEESEBAL,2021-08-01,7-021.04,7-021,COACHELLA VALLEY,COACHELLA VALLEY - SAN GORGONIO PASS,104.502809,356
GEESEBAL,2021-08-01,4-011.04,4-011,COASTAL PLAIN OF LOS ANGELES,COASTAL PLAIN OF LOS ANGELES - CENTRAL,161.890507,7005
GEESEBAL,2021-08-01,4-011.02,4-011,COASTAL PLAIN OF LOS ANGELES,COASTAL PLAIN OF LOS ANGELES - HOLLYWOOD,179.619195,323
GEESEBAL,2021-08-01,4-011.01,4-011,COASTAL PLAIN OF LOS ANGELES,COASTAL PLAIN OF LOS ANGELES - SANTA MONICA,187.576445,4186
GEESEBAL,2021-08-01,4-011.03,4-011,COASTAL PLAIN OF LOS ANGELES,COASTAL PLAIN OF LOS ANGELES - WEST COAST,149.238541,4058
GEESEBAL,2021-08-01,8-001,8-001,COASTAL PLAIN OF ORANGE COUNTY,COASTAL PLAIN OF ORANGE COUNTY,155.379395,23946
GEESEBAL,2021-08-01,9-033,9-033,COASTAL PLAIN OF SAN DIEGO,COASTAL PLAIN OF SAN DIEGO,148.078985,3507
GEESEBAL,2021-08-01,6-072,6-072,COLES FLAT,COLES FLAT,,0
GEESEBAL,2021-08-01,5-019,5-019,COLLAYOMI VALLEY,COLLAYOMI VALLEY,3.661899,3845
GEESEBAL,2021-08-01,7-055,7-055,COLLINS VALLEY,COLLINS VALLEY,,0
GEESEBAL,2021-08-01,4-010,4-010,CONEJO,CONEJO,161.738956,498
GEESEBAL,2021-08-01,7-011,7-011,COPPER MOUNTAIN VALLEY,COPPER MOUNTAIN VALLEY,,0
GEESEBAL,2021-08-01,3-002.01,3-002,CORRALITOS,CORRALITOS - PAJARO VALLEY,130.570311,106626
GEESEBAL,2021-08-01,3-002.02,3-002,CORRALITOS,CORRALITOS - PURISIMA HIGHLANDS,79.443966,464
GEESEBAL,2021-08-01,6-055,6-055,COSO VALLEY,COSO VALLEY,,0
GEESEBAL,2021-08-01,1-037,1-037,COTTONEVA CREEK VALLEY,COTTONEVA CREEK VALLEY,,0
GEESEBAL,2021-08-01,9-027,9-027,COTTONWOOD VALLEY,COTTONWOOD VALLEY,33.257143,70
GEESEBAL,2021-08-01,1-011,1-011,COVELO ROUND VALLEY,COVELO ROUND VALLEY,34.732803,36576
GEESEBAL,2021-08-01,6-091,6-091,COW HEAD LAKE VALLEY,COW HEAD LAKE VALLEY,26.866296,15639
GEESEBAL,2021-08-01,6-037,6-037,COYOTE LAKE VALLEY,COYOTE LAKE VALLEY,11.945473,972
GEESEBAL,2021-08-01,5-018,5-018,COYOTE VALLEY,COYOTE VALLEY,10.221304,6534
GEESEBAL,2021-08-01,7-029,7-029,COYOTE WELLS VALLEY,COYOTE WELLS VALLEY,0.7875,80
GEESEBAL,2021-08-01,6-035,6-035,CRONISE VALLEY,CRONISE VALLEY,,0
GEESEBAL,2021-08-01,6-050,6-050,CUDDEBACK VALLEY,CUDDEBACK VALLEY,,0
