Model,Date,Basin_Subb,Basin_Numb,Basin_Name,Basin_Su_1,ET,Pixel_Count
GEESEBAL,2016-10-01,4-005,4-005,ACTON VALLEY,ACTON VALLEY,1.618263,668
GEESEBAL,2016-10-01,6-010,6-010,ADOBE LAKE VALLEY,ADOBE LAKE VALLEY,,0
GEESEBAL,2016-10-01,1-054.01,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - ALEXANDER AREA,14.924035,39742
GEESEBAL,2016-10-01,1-054.02,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - CLOVERDALE AREA,10.010524,9502
GEESEBAL,2016-10-01,5-002.01,5-002,ALTURAS AREA,ALTURAS AREA - SOUTH FORK PITT RIVER,19.8061,159794
GEESEBAL,2016-10-01,5-002.02,5-002,ALTURAS AREA,ALTURAS AREA - WARM SPRINGS VALLEY,21.676426,74425
GEESEBAL,2016-10-01,5-010,5-010,AMERICAN VALLEY,AMERICAN VALLEY,24.34274,9745
GEESEBAL,2016-10-01,7-016,7-016,AMES VALLEY,AMES VALLEY,,0
GEESEBAL,2016-10-01,7-034,7-034,AMOS VALLEY,AMOS VALLEY,,0
GEESEBAL,2016-10-01,1-019,1-019,ANDERSON VALLEY,ANDERSON VALLEY,7.226885,5981
GEESEBAL,2016-10-01,1-049,1-049,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,8.306417,2353
GEESEBAL,2016-10-01,5-091,5-091,ANTELOPE CREEK,ANTELOPE CREEK,9.856698,1605
GEESEBAL,2016-10-01,6-044,6-044,ANTELOPE VALLEY,ANTELOPE VALLEY,13.229541,137884
GEESEBAL,2016-10-01,6-007,6-007,ANTELOPE VALLEY,ANTELOPE VALLEY,30.759409,48489
GEESEBAL,2016-10-01,3-034,3-034,ARROYO DE LA CRUZ VALLEY,ARROYO DE LA CRUZ VALLEY,50.078067,538
GEESEBAL,2016-10-01,2-031,2-031,ARROYO DEL HAMBRE VALLEY,ARROYO DEL HAMBRE VALLEY,,0
GEESEBAL,2016-10-01,4-007,4-007,ARROYO SANTA ROSA VALLEY,ARROYO SANTA ROSA VALLEY,49.042313,7870
GEESEBAL,2016-10-01,7-037,7-037,ARROYO SECO VALLEY,ARROYO SECO VALLEY,,0
GEESEBAL,2016-10-01,5-054,5-054,ASH VALLEY,ASH VALLEY,22.249546,12106
GEESEBAL,2016-10-01,6-026,6-026,AVAWATZ VALLEY,AVAWATZ VALLEY,,0
GEESEBAL,2016-10-01,3-020,3-020,A�O NUEVO AREA,A�O NUEVO AREA,39.675013,1877
GEESEBAL,2016-10-01,9-022,9-022,BATIQUITOS LAGOON VALLEY,BATIQUITOS LAGOON VALLEY,91.783871,620
GEESEBAL,2016-10-01,8-009,8-009,BEAR VALLEY,BEAR VALLEY,47.347032,219
GEESEBAL,2016-10-01,5-064,5-064,BEAR VALLEY,BEAR VALLEY,5.735294,510
GEESEBAL,2016-10-01,5-020,5-020,BERRYESSA VALLEY,BERRYESSA VALLEY,,0
GEESEBAL,2016-10-01,7-015,7-015,BESSEMER VALLEY,BESSEMER VALLEY,,0
GEESEBAL,2016-10-01,6-025,6-025,BICYCLE VALLEY,BICYCLE VALLEY,,0
GEESEBAL,2016-10-01,1-027,1-027,BIG LAGOON AREA,BIG LAGOON AREA,14.641026,39
GEESEBAL,2016-10-01,8-007,8-007,BIG MEADOWS VALLEY,BIG MEADOWS VALLEY,,0
GEESEBAL,2016-10-01,1-045,1-045,BIG RIVER VALLEY,BIG RIVER VALLEY,,0
GEESEBAL,2016-10-01,3-047,3-047,BIG SPRING AREA,BIG SPRING AREA,4.783224,918
GEESEBAL,2016-10-01,5-015,5-015,BIG VALLEY,BIG VALLEY,18.564487,41039
GEESEBAL,2016-10-01,5-004,5-004,BIG VALLEY,BIG VALLEY,19.048624,163109
GEESEBAL,2016-10-01,3-030,3-030,BITTER WATER VALLEY,BITTER WATER VALLEY,2.02099,7575
GEESEBAL,2016-10-01,6-013,6-013,BLACK SPRINGS VALLEY,BLACK SPRINGS VALLEY,,0
GEESEBAL,2016-10-01,5-092,5-092,BLANCHARD VALLEY,BLANCHARD VALLEY,10.863717,1130
GEESEBAL,2016-10-01,1-057,1-057,BODEGA BAY AREA,BODEGA BAY AREA,18.74026,154
GEESEBAL,2016-10-01,7-024.01,7-024,BORREGO VALLEY,BORREGO VALLEY - BORREGO SPRINGS,37.785078,17397
GEESEBAL,2016-10-01,7-024.02,7-024,BORREGO VALLEY,BORREGO VALLEY - OCOTILLO WELLS,4.25,12
GEESEBAL,2016-10-01,1-039,1-039,BRANSCOMB TOWN AREA,BRANSCOMB TOWN AREA,,0
GEESEBAL,2016-10-01,1-017,1-017,BRAY TOWN AREA,BRAY TOWN AREA,19.613882,4250
GEESEBAL,2016-10-01,6-008,6-008,BRIDGEPORT VALLEY,BRIDGEPORT VALLEY,22.235855,74902
GEESEBAL,2016-10-01,7-008,7-008,BRISTOL VALLEY,BRISTOL VALLEY,3.459626,7963
GEESEBAL,2016-10-01,5-080,5-080,BRITE VALLEY,BRITE VALLEY,6.749245,1324
GEESEBAL,2016-10-01,6-032,6-032,BROADWELL VALLEY,BROADWELL VALLEY,,0
GEESEBAL,2016-10-01,6-076,6-076,BROWN MOUNTAIN VALLEY,BROWN MOUNTAIN VALLEY,,0
GEESEBAL,2016-10-01,7-054,7-054,BUCK RIDGE FAULT VALLEY,BUCK RIDGE FAULT VALLEY,,0
GEESEBAL,2016-10-01,6-101,6-101,BULL FLAT,BULL FLAT,5.291667,48
GEESEBAL,2016-10-01,5-048,5-048,BURNEY CREEK VALLEY,BURNEY CREEK VALLEY,22.035756,6852
GEESEBAL,2016-10-01,5-017,5-017,BURNS VALLEY,BURNS VALLEY,13.463091,1734
