Model,Date,Basin_Subb,Basin_Numb,Basin_Name,Basin_Su_1,ET,Pixel_Count
GEESEBAL,2023-07-01,4-005,4-005,ACTON VALLEY,ACTON VALLEY,26.82485,668
GEESEBAL,2023-07-01,6-010,6-010,ADOBE LAKE VALLEY,ADOBE LAKE VALLEY,,0
GEESEBAL,2023-07-01,1-054.01,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - ALEXANDER AREA,23.221574,39743
GEESEBAL,2023-07-01,1-054.02,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - CLOVERDALE AREA,16.709114,9502
GEESEBAL,2023-07-01,5-002.01,5-002,ALTURAS AREA,ALTURAS AREA - SOUTH FORK PITT RIVER,140.284829,159794
GEESEBAL,2023-07-01,5-002.02,5-002,ALTURAS AREA,ALTURAS AREA - WARM SPRINGS VALLEY,115.24692,74425
GEESEBAL,2023-07-01,5-010,5-010,AMERICAN VALLEY,AMERICAN VALLEY,151.875436,9746
GEESEBAL,2023-07-01,7-016,7-016,AMES VALLEY,AMES VALLEY,,0
GEESEBAL,2023-07-01,7-034,7-034,AMOS VALLEY,AMOS VALLEY,,0
GEESEBAL,2023-07-01,1-019,1-019,ANDERSON VALLEY,ANDERSON VALLEY,13.0555,5982
GEESEBAL,2023-07-01,1-049,1-049,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,25.042499,2353
GEESEBAL,2023-07-01,5-091,5-091,ANTELOPE CREEK,ANTELOPE CREEK,34.695327,1605
GEESEBAL,2023-07-01,6-044,6-044,ANTELOPE VALLEY,ANTELOPE VALLEY,31.137782,137884
GEESEBAL,2023-07-01,6-007,6-007,ANTELOPE VALLEY,ANTELOPE VALLEY,153.675741,48489
GEESEBAL,2023-07-01,3-034,3-034,ARROYO DE LA CRUZ VALLEY,ARROYO DE LA CRUZ VALLEY,163.057621,538
GEESEBAL,2023-07-01,2-031,2-031,ARROYO DEL HAMBRE VALLEY,ARROYO DEL HAMBRE VALLEY,,0
GEESEBAL,2023-07-01,4-007,4-007,ARROYO SANTA ROSA VALLEY,ARROYO SANTA ROSA VALLEY,170.196569,7870
GEESEBAL,2023-07-01,7-037,7-037,ARROYO SECO VALLEY,ARROYO SECO VALLEY,,0
GEESEBAL,2023-07-01,5-054,5-054,ASH VALLEY,ASH VALLEY,136.376094,12106
GEESEBAL,2023-07-01,6-026,6-026,AVAWATZ VALLEY,AVAWATZ VALLEY,,0
GEESEBAL,2023-07-01,3-020,3-020,A�O NUEVO AREA,A�O NUEVO AREA,145.354822,1877
GEESEBAL,2023-07-01,9-022,9-022,BATIQUITOS LAGOON VALLEY,BATIQUITOS LAGOON VALLEY,196.6,620
GEESEBAL,2023-07-01,8-009,8-009,BEAR VALLEY,BEAR VALLEY,133.438356,219
GEESEBAL,2023-07-01,5-064,5-064,BEAR VALLEY,BEAR VALLEY,10.737255,510
GEESEBAL,2023-07-01,5-020,5-020,BERRYESSA VALLEY,BERRYESSA VALLEY,,0
GEESEBAL,2023-07-01,7-015,7-015,BESSEMER VALLEY,BESSEMER VALLEY,,0
GEESEBAL,2023-07-01,6-025,6-025,BICYCLE VALLEY,BICYCLE VALLEY,,0
GEESEBAL,2023-07-01,1-027,1-027,BIG LAGOON AREA,BIG LAGOON AREA,173.794872,39
GEESEBAL,2023-07-01,8-007,8-007,BIG MEADOWS VALLEY,BIG MEADOWS VALLEY,,0
GEESEBAL,2023-07-01,1-045,1-045,BIG RIVER VALLEY,BIG RIVER VALLEY,,0
GEESEBAL,2023-07-01,3-047,3-047,BIG SPRING AREA,BIG SPRING AREA,23.179739,918
GEESEBAL,2023-07-01,5-015,5-015,BIG VALLEY,BIG VALLEY,5.638255,41040
GEESEBAL,2023-07-01,5-004,5-004,BIG VALLEY,BIG VALLEY,116.837133,163109
GEESEBAL,2023-07-01,3-030,3-030,BITTER WATER VALLEY,BITTER WATER VALLEY,51.583762,7575
GEESEBAL,2023-07-01,6-013,6-013,BLACK SPRINGS VALLEY,BLACK SPRINGS VALLEY,,0
GEESEBAL,2023-07-01,5-092,5-092,BLANCHARD VALLEY,BLANCHARD VALLEY,20.490265,1130
GEESEBAL,2023-07-01,1-057,1-057,BODEGA BAY AREA,BODEGA BAY AREA,151.012987,154
GEESEBAL,2023-07-01,7-024.01,7-024,BORREGO VALLEY,BORREGO VALLEY - BORREGO SPRINGS,40.313847,17397
