Model,Date,Basin_Subb,Basin_Numb,Basin_Name,Basin_Su_1,ET,Pixel_Count
SIMS,2008-05-01,4-005,4-005,ACTON VALLEY,ACTON VALLEY,33.895652,230
SIMS,2008-05-01,6-010,6-010,ADOBE LAKE VALLEY,ADOBE LAKE VALLEY,,0
SIMS,2008-05-01,1-054.01,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - ALEXANDER AREA,60.80461,37356
SIMS,2008-05-01,1-054.02,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - CLOVERDALE AREA,62.378143,9068
SIMS,2008-05-01,5-002.01,5-002,ALTURAS AREA,ALTURAS AREA - SOUTH FORK PITT RIVER,97.093539,147831
SIMS,2008-05-01,5-002.02,5-002,ALTURAS AREA,ALTURAS AREA - WARM SPRINGS VALLEY,91.535376,66796
SIMS,2008-05-01,5-010,5-010,AMERICAN VALLEY,AMERICAN VALLEY,130.8645,9048
SIMS,2008-05-01,7-016,7-016,AMES VALLEY,AMES VALLEY,,0
SIMS,2008-05-01,7-034,7-034,AMOS VALLEY,AMOS VALLEY,,0
SIMS,2008-05-01,1-019,1-019,ANDERSON VALLEY,ANDERSON VALLEY,86.302637,4930
SIMS,2008-05-01,1-049,1-049,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,75.831189,1943
SIMS,2008-05-01,5-091,5-091,ANTELOPE CREEK,ANTELOPE CREEK,93.065748,1597
SIMS,2008-05-01,6-044,6-044,ANTELOPE VALLEY,ANTELOPE VALLEY,72.511952,98140
SIMS,2008-05-01,6-007,6-007,ANTELOPE VALLEY,ANTELOPE VALLEY,102.780201,40496
SIMS,2008-05-01,3-034,3-034,ARROYO DE LA CRUZ VALLEY,ARROYO DE LA CRUZ VALLEY,100.335922,515
SIMS,2008-05-01,2-031,2-031,ARROYO DEL HAMBRE VALLEY,ARROYO DEL HAMBRE VALLEY,,0
SIMS,2008-05-01,4-007,4-007,ARROYO SANTA ROSA VALLEY,ARROYO SANTA ROSA VALLEY,64.845058,5544
SIMS,2008-05-01,7-037,7-037,ARROYO SECO VALLEY,ARROYO SECO VALLEY,,0
SIMS,2008-05-01,5-054,5-054,ASH VALLEY,ASH VALLEY,92.057054,5784
SIMS,2008-05-01,6-026,6-026,AVAWATZ VALLEY,AVAWATZ VALLEY,,0
SIMS,2008-05-01,3-020,3-020,A�O NUEVO AREA,A�O NUEVO AREA,45.539258,1834
SIMS,2008-05-01,9-022,9-022,BATIQUITOS LAGOON VALLEY,BATIQUITOS LAGOON VALLEY,111.777778,18
SIMS,2008-05-01,8-009,8-009,BEAR VALLEY,BEAR VALLEY,135.730159,126
SIMS,2008-05-01,5-064,5-064,BEAR VALLEY,BEAR VALLEY,122.256863,510
SIMS,2008-05-01,5-020,5-020,BERRYESSA VALLEY,BERRYESSA VALLEY,,0
SIMS,2008-05-01,7-015,7-015,BESSEMER VALLEY,BESSEMER VALLEY,,0
SIMS,2008-05-01,6-025,6-025,BICYCLE VALLEY,BICYCLE VALLEY,,0
SIMS,2008-05-01,1-027,1-027,BIG LAGOON AREA,BIG LAGOON AREA,138.96,25
SIMS,2008-05-01,8-007,8-007,BIG MEADOWS VALLEY,BIG MEADOWS VALLEY,,0
SIMS,2008-05-01,1-045,1-045,BIG RIVER VALLEY,BIG RIVER VALLEY,,0
SIMS,2008-05-01,3-047,3-047,BIG SPRING AREA,BIG SPRING AREA,41.194475,905
SIMS,2008-05-01,5-015,5-015,BIG VALLEY,BIG VALLEY,78.894312,30013
SIMS,2008-05-01,5-004,5-004,BIG VALLEY,BIG VALLEY,96.798018,153553
SIMS,2008-05-01,3-030,3-030,BITTER WATER VALLEY,BITTER WATER VALLEY,57.562991,7517
SIMS,2008-05-01,6-013,6-013,BLACK SPRINGS VALLEY,BLACK SPRINGS VALLEY,,0
SIMS,2008-05-01,5-092,5-092,BLANCHARD VALLEY,BLANCHARD VALLEY,96.265432,972
SIMS,2008-05-01,1-057,1-057,BODEGA BAY AREA,BODEGA BAY AREA,,0
SIMS,2008-05-01,7-024.01,7-024,BORREGO VALLEY,BORREGO VALLEY - BORREGO SPRINGS,91.186913,10224
SIMS,2008-05-01,7-024.02,7-024,BORREGO VALLEY,BORREGO VALLEY - OCOTILLO WELLS,101.0,2
SIMS,2008-05-01,1-039,1-039,BRANSCOMB TOWN AREA,BRANSCOMB TOWN AREA,,0
SIMS,2008-05-01,1-017,1-017,BRAY TOWN AREA,BRAY TOWN AREA,73.804429,2664
SIMS,2008-05-01,6-008,6-008,BRIDGEPORT VALLEY,BRIDGEPORT VALLEY,68.122135,59598
SIMS,2008-05-01,7-008,7-008,BRISTOL VALLEY,BRISTOL VALLEY,164.428571,7
SIMS,2008-05-01,5-080,5-080,BRITE VALLEY,BRITE VALLEY,82.17301,867
SIMS,2008-05-01,6-032,6-032,BROADWELL VALLEY,BROADWELL VALLEY,,0
SIMS,2008-05-01,6-076,6-076,BROWN MOUNTAIN VALLEY,BROWN MOUNTAIN VALLEY,,0
SIMS,2008-05-01,7-054,7-054,BUCK RIDGE FAULT VALLEY,BUCK RIDGE FAULT VALLEY,,0
SIMS,2008-05-01,6-101,6-101,BULL FLAT,BULL FLAT,80.888889,9
SIMS,2008-05-01,5-048,5-048,BURNEY CREEK VALLEY,BURNEY CREEK VALLEY,108.151597,6260
SIMS,2008-05-01,5-017,5-017,BURNS VALLEY,BURNS VALLEY,57.417712,1276
SIMS,2008-05-01,5-051,5-051,BUTTE CREEK VALLEY,BUTTE CREEK VALLEY,,0
SIMS,2008-05-01,1-003,1-003,BUTTE VALLEY,BUTTE VALLEY,72.429645,147438
SIMS,2008-05-01,6-081,6-081,BUTTE VALLEY,BUTTE VALLEY,,0
SIMS,2008-05-01,6-070,6-070,CACTUS FLAT,CACTUS FLAT,,0
SIMS,2008-05-01,7-007,7-007,CADIZ VALLEY,CADIZ VALLEY,,0
SIMS,2008-05-01,6-090,6-090,CADY FAULT AREA,CADY FAULT AREA,,0
SIMS,2008-05-01,9-006,9-006,CAHUILLA VALLEY,CAHUILLA VALLEY,73.935434,5870
