Model,Date,Basin_Subb,Basin_Numb,Basin_Name,Basin_Su_1,ET,Pixel_Count
SIMS,2024-10-01,4-005,4-005,ACTON VALLEY,ACTON VALLEY,27.268562,633
SIMS,2024-10-01,6-010,6-010,ADOBE LAKE VALLEY,ADOBE LAKE VALLEY,,0
SIMS,2024-10-01,1-054.01,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - ALEXANDER AREA,40.849345,39680
SIMS,2024-10-01,1-054.02,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - CLOVERDALE AREA,40.042237,9494
SIMS,2024-10-01,5-002.01,5-002,ALTURAS AREA,ALTURAS AREA - SOUTH FORK PITT RIVER,55.175576,159652
SIMS,2024-10-01,5-002.02,5-002,ALTURAS AREA,ALTURAS AREA - WARM SPRINGS VALLEY,49.073023,74346
SIMS,2024-10-01,5-010,5-010,AMERICAN VALLEY,AMERICAN VALLEY,63.668788,9743
SIMS,2024-10-01,7-016,7-016,AMES VALLEY,AMES VALLEY,,0
SIMS,2024-10-01,7-034,7-034,AMOS VALLEY,AMOS VALLEY,,0
SIMS,2024-10-01,1-019,1-019,ANDERSON VALLEY,ANDERSON VALLEY,41.578947,5947
SIMS,2024-10-01,1-049,1-049,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,39.962884,2344
SIMS,2024-10-01,5-091,5-091,ANTELOPE CREEK,ANTELOPE CREEK,28.469159,1605
SIMS,2024-10-01,6-044,6-044,ANTELOPE VALLEY,ANTELOPE VALLEY,34.805239,137589
SIMS,2024-10-01,6-007,6-007,ANTELOPE VALLEY,ANTELOPE VALLEY,81.747398,48432
SIMS,2024-10-01,3-034,3-034,ARROYO DE LA CRUZ VALLEY,ARROYO DE LA CRUZ VALLEY,43.057621,538
SIMS,2024-10-01,2-031,2-031,ARROYO DEL HAMBRE VALLEY,ARROYO DEL HAMBRE VALLEY,,0
SIMS,2024-10-01,4-007,4-007,ARROYO SANTA ROSA VALLEY,ARROYO SANTA ROSA VALLEY,55.451998,7781
SIMS,2024-10-01,7-037,7-037,ARROYO SECO VALLEY,ARROYO SECO VALLEY,,0
SIMS,2024-10-01,5-054,5-054,ASH VALLEY,ASH VALLEY,50.152582,12105
SIMS,2024-10-01,6-026,6-026,AVAWATZ VALLEY,AVAWATZ VALLEY,,0
SIMS,2024-10-01,3-020,3-020,A�O NUEVO AREA,A�O NUEVO AREA,29.59968,1876
SIMS,2024-10-01,9-022,9-022,BATIQUITOS LAGOON VALLEY,BATIQUITOS LAGOON VALLEY,72.752427,618
SIMS,2024-10-01,8-009,8-009,BEAR VALLEY,BEAR VALLEY,86.401826,219
SIMS,2024-10-01,5-064,5-064,BEAR VALLEY,BEAR VALLEY,9.505882,510
SIMS,2024-10-01,5-020,5-020,BERRYESSA VALLEY,BERRYESSA VALLEY,,0
SIMS,2024-10-01,7-015,7-015,BESSEMER VALLEY,BESSEMER VALLEY,,0
SIMS,2024-10-01,6-025,6-025,BICYCLE VALLEY,BICYCLE VALLEY,,0
SIMS,2024-10-01,1-027,1-027,BIG LAGOON AREA,BIG LAGOON AREA,47.72973,37
SIMS,2024-10-01,8-007,8-007,BIG MEADOWS VALLEY,BIG MEADOWS VALLEY,,0
SIMS,2024-10-01,1-045,1-045,BIG RIVER VALLEY,BIG RIVER VALLEY,,0
SIMS,2024-10-01,3-047,3-047,BIG SPRING AREA,BIG SPRING AREA,15.04902,918
SIMS,2024-10-01,5-015,5-015,BIG VALLEY,BIG VALLEY,42.24538,40965
SIMS,2024-10-01,5-004,5-004,BIG VALLEY,BIG VALLEY,46.581464,163078
SIMS,2024-10-01,3-030,3-030,BITTER WATER VALLEY,BITTER WATER VALLEY,32.32431,7573
SIMS,2024-10-01,6-013,6-013,BLACK SPRINGS VALLEY,BLACK SPRINGS VALLEY,,0
SIMS,2024-10-01,5-092,5-092,BLANCHARD VALLEY,BLANCHARD VALLEY,26.312389,1130
SIMS,2024-10-01,1-057,1-057,BODEGA BAY AREA,BODEGA BAY AREA,74.220779,154
SIMS,2024-10-01,7-024.01,7-024,BORREGO VALLEY,BORREGO VALLEY - BORREGO SPRINGS,43.613072,17365
SIMS,2024-10-01,7-024.02,7-024,BORREGO VALLEY,BORREGO VALLEY - OCOTILLO WELLS,34.583333,12
SIMS,2024-10-01,1-039,1-039,BRANSCOMB TOWN AREA,BRANSCOMB TOWN AREA,,0
SIMS,2024-10-01,1-017,1-017,BRAY TOWN AREA,BRAY TOWN AREA,47.981137,4241
SIMS,2024-10-01,6-008,6-008,BRIDGEPORT VALLEY,BRIDGEPORT VALLEY,65.81765,74889
SIMS,2024-10-01,7-008,7-008,BRISTOL VALLEY,BRISTOL VALLEY,61.033451,7952
SIMS,2024-10-01,5-080,5-080,BRITE VALLEY,BRITE VALLEY,39.852719,1324
SIMS,2024-10-01,6-032,6-032,BROADWELL VALLEY,BROADWELL VALLEY,,0
SIMS,2024-10-01,6-076,6-076,BROWN MOUNTAIN VALLEY,BROWN MOUNTAIN VALLEY,,0
SIMS,2024-10-01,7-054,7-054,BUCK RIDGE FAULT VALLEY,BUCK RIDGE FAULT VALLEY,,0
SIMS,2024-10-01,6-101,6-101,BULL FLAT,BULL FLAT,37.354167,48
SIMS,2024-10-01,5-048,5-048,BURNEY CREEK VALLEY,BURNEY CREEK VALLEY,46.942061,6852
SIMS,2024-10-01,5-017,5-017,BURNS VALLEY,BURNS VALLEY,33.749276,1727
