Model,Date,Basin_Subb,Basin_Numb,Basin_Name,Basin_Su_1,ET,Pixel_Count
SIMS,2004-02-01,4-005,4-005,ACTON VALLEY,ACTON VALLEY,50.552174,230
SIMS,2004-02-01,6-010,6-010,ADOBE LAKE VALLEY,ADOBE LAKE VALLEY,,0
SIMS,2004-02-01,1-054.01,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - ALEXANDER AREA,42.373407,37356
SIMS,2004-02-01,1-054.02,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - CLOVERDALE AREA,42.038597,9068
SIMS,2004-02-01,5-002.01,5-002,ALTURAS AREA,ALTURAS AREA - SOUTH FORK PITT RIVER,32.628388,146564
SIMS,2004-02-01,5-002.02,5-002,ALTURAS AREA,ALTURAS AREA - WARM SPRINGS VALLEY,34.558346,66697
SIMS,2004-02-01,5-010,5-010,AMERICAN VALLEY,AMERICAN VALLEY,43.877073,9046
SIMS,2004-02-01,7-016,7-016,AMES VALLEY,AMES VALLEY,,0
SIMS,2004-02-01,7-034,7-034,AMOS VALLEY,AMOS VALLEY,,0
SIMS,2004-02-01,1-019,1-019,ANDERSON VALLEY,ANDERSON VALLEY,44.438742,4930
SIMS,2004-02-01,1-049,1-049,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,42.565106,1943
SIMS,2004-02-01,5-091,5-091,ANTELOPE CREEK,ANTELOPE CREEK,50.953037,1597
SIMS,2004-02-01,6-044,6-044,ANTELOPE VALLEY,ANTELOPE VALLEY,41.084369,98140
SIMS,2004-02-01,6-007,6-007,ANTELOPE VALLEY,ANTELOPE VALLEY,35.504779,40493
SIMS,2004-02-01,3-034,3-034,ARROYO DE LA CRUZ VALLEY,ARROYO DE LA CRUZ VALLEY,54.071845,515
SIMS,2004-02-01,2-031,2-031,ARROYO DEL HAMBRE VALLEY,ARROYO DEL HAMBRE VALLEY,,0
SIMS,2004-02-01,4-007,4-007,ARROYO SANTA ROSA VALLEY,ARROYO SANTA ROSA VALLEY,58.857143,5544
SIMS,2004-02-01,7-037,7-037,ARROYO SECO VALLEY,ARROYO SECO VALLEY,,0
SIMS,2004-02-01,5-054,5-054,ASH VALLEY,ASH VALLEY,27.777624,5765
SIMS,2004-02-01,6-026,6-026,AVAWATZ VALLEY,AVAWATZ VALLEY,,0
SIMS,2004-02-01,3-020,3-020,A�O NUEVO AREA,A�O NUEVO AREA,48.567612,1834
SIMS,2004-02-01,9-022,9-022,BATIQUITOS LAGOON VALLEY,BATIQUITOS LAGOON VALLEY,72.166667,18
SIMS,2004-02-01,8-009,8-009,BEAR VALLEY,BEAR VALLEY,50.209302,86
SIMS,2004-02-01,5-064,5-064,BEAR VALLEY,BEAR VALLEY,43.696078,510
SIMS,2004-02-01,5-020,5-020,BERRYESSA VALLEY,BERRYESSA VALLEY,,0
SIMS,2004-02-01,7-015,7-015,BESSEMER VALLEY,BESSEMER VALLEY,,0
SIMS,2004-02-01,6-025,6-025,BICYCLE VALLEY,BICYCLE VALLEY,,0
SIMS,2004-02-01,1-027,1-027,BIG LAGOON AREA,BIG LAGOON AREA,49.88,25
